id,created_at,text
791381078560894980,2016-10-26 20:48:46,"Ja, det er i god tråd, med vores fremsatte beslutningsforslag https://t.co/2DwP0goFRp #dkpol @stiftendk https://t.co/jYxIV5N9qA"
789876359430569984,2016-10-22 17:09:33,"@cekicozlem @R4nd4hl @politikodk @Blixt22 @AnneSophiaHr Hmm, sagde du virkelig det fra talerstolen😂"
789873941200433153,2016-10-22 16:59:57,@cekicozlem @R4nd4hl @politikodk Dem har du efterhånden uddelt nogle stykker af😂😂
789872076203102208,2016-10-22 16:52:32,God bedring Morten @MrMesserschmidt
788701923830620160,2016-10-19 11:22:46,"@MHolsaae @EllemannKaren Ja, jeg venter på et positivt svar"
787221394828460032,2016-10-15 09:19:41,"Bred aftale om forebyggelse af vold på bosteder, alle partier på nær Enhedslisten er med #dkpol"
787058509817012224,2016-10-14 22:32:26,"Vi sidder her endnu, til forhandlinger om botilbud på 9. Time #dkpol https://t.co/jH1UP162rr"
787015603894845440,2016-10-14 19:41:56,"Forhandlinger på 6. Time, håber folk nyder kulturaftenen #dkpol https://t.co/UAIHRwfvVP"
786885179612786688,2016-10-14 11:03:41,"RT @MFjeppejakobsen: Oppositionen vil lade de ældre finansiere satspuljen, men de skal ikke have del i den, derfor igen forhandlinger, øv!…"
786483799962058752,2016-10-13 08:28:44,@PeterWedel6 DF
786461153434238976,2016-10-13 06:58:45,"Tja, er ikke overrasket. Siden 2009 er antallet af sigtelser mod kriminelle udlænd https://t.co/PLBIBz66lg #dkpol"
786335251383652352,2016-10-12 22:38:27,"Selvfølgelig skal vi have grænsekontrol, hvorfor skal Støjberg overhovedet spørge kommissionen om lov til det? Vi vil selv bestemme #dkpol"
786326122116091905,2016-10-12 22:02:11,"Jeg undre mig over, at ministeren ikke har inddraget paragraf 71 tilsynet, i forhold til øgede magtbeføjelser, omkring botilbud #dkpol"
786232704014622720,2016-10-12 15:50:58,"@berlingske så gælder det om, at have redningsvesten klar."
786232287251800064,2016-10-12 15:49:19,@Steensc @alternativet_  enig
786211092758405124,2016-10-12 14:25:06,@alternativet_  så alternativet deltager ikke i nogle møder eller debatter og andre ting hvor begge køn ikke er repræsenteret? Eller?
786209766741803008,2016-10-12 14:19:50,"@alternativet_  Aflyser alternativet også debatter, hvor det mandlige køn så mangler? #dkpol"
786209015617425408,2016-10-12 14:16:51,@MHolsaae @EllemannKaren @berlingske Det er fuldstændig uacceptabel at læse
786206632304844800,2016-10-12 14:07:22,"Vil alternativet så heller ikke deltage i debatter, hvor der kun er kvinder? #dkpol #ritzau @alternativet_"
785958665127878656,2016-10-11 21:42:02,"Det er skræmmende at nye tal viser, at antallet af barnebrude er stigende. #stop child marriges #dkpol #TV2NEWS https://t.co/z0KZ5ZhYSS"
785740125984751616,2016-10-11 07:13:39,"RT @UNDP_Danmark: ""Investing in girls is both the right thing to do, and the smart thing to do"" - #UNSG. Happy International #DayoftheGirl!…"
785052635653107712,2016-10-09 09:41:48,Gad vide hvad presselogen skal drøfte i deres næste udgave af presselogen🤔 #dkpol
784152735692255232,2016-10-06 22:05:55,"Tror at Anders Langballe er træt nu, næsten helt alene i presselogen gemakker #dkpol #ftlive https://t.co/StFmV4yxdq"
783985751486857216,2016-10-06 11:02:23,"RT @ClausKvist_DF: RødBlok må vise, hvor de vil finde godt 34 mia for at hæve u-landsbistanden igen. Sygehuslukninger, færre off. ansatte e…"
783958483657977856,2016-10-06 09:14:02,"konventionsbindingerne gør,at et flertal i folketinget gav statsborgerskab til en,som var vurderet til fare for rigets sikkerhed #ftlive"
783956603783507968,2016-10-06 09:06:34,"DF formanden på talerstolen, vi skal holde fast, i det vi holder af #dkpol #ftlive https://t.co/XbNp9f5pG0"
783947604195418112,2016-10-06 08:30:48,"Vil S lave den ulige førtids /fleksreform om, så mennesker der er syge og ramt af handicap kan få den rette hjælp? #dkpol #ftlive"
783945251895537664,2016-10-06 08:21:27,"Mette S må være Yvonne, siger dynamit Anders #dkpol"
783944773677813760,2016-10-06 08:19:33,"Det er nu meget smukkere med det danske flag i folketingssalen,end den tomme væg #dkpol #folketinget https://t.co/LbecSJMT9r"
783943472625618944,2016-10-06 08:14:23,"Vil S være med til, at skabe tryghed for boligejerne, spørger KTD om #dkpol"
783942875339980800,2016-10-06 08:12:01,"S på talerstolen,fortæller, at de ikke vil være med til ulighed, den steg netop, da de sad i ministerierne https://t.co/ectRiGpt2x #dkpol"
783719230646652928,2016-10-05 17:23:20,"Hvor er det fantastisk at se nyhederne. Dannevirke kostskole som besøger ældre på plejehjem, blev helt glad i låget #dkpol #news"
783325035666825216,2016-10-04 15:16:56,"@politikodk Ja, sådan starter Folketingets åbning hver gang"
