id,created_at,text
515100902865526784,2014-09-25 11:30:00,"@JessingMargit Er vist ikke så ofte på twitter:-), men tak"
515070979002105856,2014-09-25 09:31:05,"@MetteWithH kunne ikke være mere enig."
515070750785822721,2014-09-25 09:30:11,@MetteWithH Der bliver arrangeret dialogmøder med FRO og der er valgt FRO. Formand og FRO har deltaget i et møde vedr. ny struktur
515069449209389056,2014-09-25 09:25:00,"@MetteWithH Vi vil naturligvis et godt samarbejde med vores skolebestyrelser, uden tvivl, også selvom vi ikke er enige i alle beslutninger"
515069165276000256,2014-09-25 09:23:53,"@MetteWithH: Politisk skal vi tage ansvaret for styrelsesvedtægten og ikke tørre alle beslutninger af på skolebestyrelserne, det er normalt!"
515068890083491840,2014-09-25 09:22:47,"@MetteWithH : Jo, det ved jeg godt. Man citeres desværre ikke altid helt korrekt. Jeg nævnte både forældre og skolebestyrelser...."
401804603853127682,2013-11-16 20:10:57,"Status før valget tirsdag - 100 flyers tilbage, 26 vælgermøder overstået og ikke flere tilbage! #kvsyd #esbjergpol"
393910500394029056,2013-10-26 01:22:36,Så er plakaterne hængt op og jeg er klar til at se dyner! Tusind tak for hjælpen skønne SFere
392931372266188800,2013-10-23 08:31:54,Pause i debat på UCSyd - er stadig forarget over DF`s åbenlyse skræmmekampagne #dkpol  #esbjergpol #kvsyd
388377864875552770,2013-10-10 18:57:53,ser blodets bånd - man får helt ondt i maven!
387634826712743936,2013-10-08 17:45:19,"@jeppev Det ved jeg ikke. Tidligere leder er Ejnar søndergaard, men kig forbi dem og tag en snak"
387631537615011840,2013-10-08 17:32:15,"@jeppev Det gør jeg da, hvorfor?"
387311681124462592,2013-10-07 20:21:15,"Godt gået Ida Auken - Et Danmark uden affald er en fantastisk vision med mange arbejdspladser #kvsyd #Esbjergpol #kv13"
387310889286008832,2013-10-07 20:18:06,"28 ud af Byrådets 31 medlemmer i budgetforliget om Esbjerg kommunes budget - men alle 31 stemte for...Underligt forløb#kvsyd #esbjergpol"
385132093589966848,2013-10-01 20:00:21,netop hjemvendt efter et inspirerende møde omkring Stemmer på Kanten? #kvsyd #esbjergpol http://t.co/hwn6UVgQ0f
384734174533668865,2013-09-30 17:39:09,"til kandidatmøde i SF - engagerede mennesker, skønt:-)"
196687588529143808,2012-04-29 19:49:10,Frygtelig sag fra Esbjerg.... Får sku helt ondt i maven af at høre om de svigt systemet har leveret!
196138491057418240,2012-04-28 07:27:15,"Så er dagens løbetur overstået, hilste lige på Jakob Lose på turen:-)Godt nok nyt det her..."
