id,created_at,text
792439941649293312,2016-10-29 18:56:19,@sofiecn @DebattenDR2 @uffeellemann
604936455455166464,2015-05-31 09:04:24,"RT @tv2breaking: Ny måling: Rød blok vokser endnu mere og sætter sig på 48,8 pct. af stemmerne #tv2valg #dkpol #fv15 : http://t.co/tPAvvzBD…"
604936420915052544,2015-05-31 09:04:16,@tv2breaking @tv2newsdk
591528015181586434,2015-04-24 09:04:03,Stort tillykke til 3F Vejle overenskomst med den tidligere Vejlegården 😃
590864244884766720,2015-04-22 13:06:28,"Jeg havde igår aftens TV2 Lorry med på bagsmækken i min lille indsamlings tur, det bliver spændende at se resultatet i aften onsdag  :-)"
590060461615423488,2015-04-20 07:52:31,Facebook-opslag skaffer møbler til tomme flygtningehjem http://t.co/tUvcrRfGSE
585317841903210497,2015-04-07 05:47:02,"DA`s oplæg skaber desværre kun øget ulighed, men valgkampen er jo i gang ;-)"
513310542577274881,2014-09-20 12:55:44,RT @louimath: Jeg og  de andre lærere fik stående bifald af den socialdemokratiske kongres #skolechat #dkpol #Skongres http://t.co/QQHGArwx…
478058652654641153,2014-06-15 06:17:19,Så er vi alle på vej hjem fra Folkmødet en god weekend i godt selskab
401255402278363136,2013-11-15 07:48:37,"Så kom Greve nord i medierne for noget godt DR2 morgen nyhederne, de seje piger fra klubber i Gersagerparken Sara og Zone Fantastiske Piger"
398178960531816448,2013-11-06 20:03:56,"Det er dejligt befriende at opleve de unge aktivt spørgende på Greve ungdomsskole, politikere i krydsild;-)"
397248571612749824,2013-11-04 06:26:54,"Skal her til morgen op på Greve produktions skole, og overbevise de unge om hvorfor de skal stemme, det bliver en spændende morgen :-)"
396015286387625985,2013-10-31 20:46:16,"Jeg håber,ved at stille op til KV13 og som ansat i et boligselskab i Greve Nord, at jeg på den måde kan bidrage til, at vi hæver stemme %"
395921169712283649,2013-10-31 14:32:17,"@NiclasBekker he he 4 ugers ferie,det lyder rart ;-)"
395827900374478848,2013-10-31 08:21:40,"Jeg tror at ""Gud i Greve"" kommune har en rød nuance, der er næsten ingen af vores plakater der er taget af stormen ;-)"
395655854583582720,2013-10-30 20:58:01,"valgkampen er i fuld gang i Greve kommune, vi kæmper for Niclas Bekker Poulsen Socialdemokraternes borgmester kandidat"
