id,created_at,text
792275635955720192,2016-10-29 08:03:26,"@bach_henrik Fordi der ikke vokser tilstrækkeligt med biomasse ""lige uden for døren"". Elbaseret teknologi drevet af grøn strøm er fremtiden."
792060077247258624,2016-10-28 17:46:52,@AalborgKommune har i dag vundet årets Fjernvarmepris for vores arbejde med #grønomstilling. Tak til @DkFjernvarme!… https://t.co/m0Mah6rGy1
791870981493096448,2016-10-28 05:15:28,"Uacceptabelt, #nordjyllandsværket bliver sat i forbindelse med #blodkul. Leverandør må sikre hele forsyningskæden.https://t.co/Od2VaJNfSP"
791660552217042945,2016-10-27 15:19:18,"Flot #aalpol-fremmøde i politisk udpegede forsyningsbestyrelser, jeg er formand for. @P4Nord @nordjyskedk #Aalborghttps://t.co/pvgi8iN8Ob"
788826575663923200,2016-10-19 19:38:05,"RT @PerClausen3: Meget kan man sige om DF, men de er da villige til at gå langt for at afsløre fråds med penge i EU."
788826437537202176,2016-10-19 19:37:33,"RT @Danielpanduro: Sådan, nu har vi spist aftensmad og taget opvasken, eller som det hedder i DF: Været til MELD-konference. #dkpol"
788651144667160576,2016-10-19 08:00:59,"RT @j_esmann: VOGT JER, EU-SVINDLERE:""We want our money back"", sagde DF's ""budget-høg"" @AndersVistisen Kan du stave til boomerang?#dkpol…"
788651054908989440,2016-10-19 08:00:38,"RT @MaksBitter: Nu skal vi ikke være så fordømmende mod Messerschmidt. Der er trods alt folk, der har snydt mere end ham, der blev statsmin…"
788393853866897408,2016-10-18 14:58:37,#imesserschmidtsverden er åbenhed = lukkethed #hykleri https://t.co/ULnjvocqeH
788305007829450752,2016-10-18 09:05:34,Poetisk retfærdighed - DF-style https://t.co/CRbW6aqzGQ
788286810157973504,2016-10-18 07:53:15,"Fact: #imesserschmidtsverden er man MEP, når ens fond lige mangler et navn, og man i øvrigt ikke tænker over det.https://t.co/ZYrqpB2Gl8"
787587805421637632,2016-10-16 09:35:40,"#imesserschmidtsverden er alting godt.https://t.co/ukCDIM3xIr"
786565236774100992,2016-10-13 13:52:20,"""Er der noget, jeg er træt af at høre om, så er det overenskomster.""- Kirsten Algren, @DanskDf1995 #aalpol #dkpol… https://t.co/xJIQvCeZox"
776155237195190272,2016-09-14 20:26:43,"RT @NikolajSteen: Det KAN da ikke være skandaløst, at en familie på 4, køber et hus på 156 m2. Skandalen er vel at et hus i Valby skal kost…"
775983288989212672,2016-09-14 09:03:27,"Gruppeformanden skal i debat i TV2 Nord i aften, når byrådets tre største partier tørner sammen. #aalpol https://t.co/1pGoQQolqY"
775982970163367936,2016-09-14 09:02:11,"@KajBager Jeg kan ikke udelukke, at der findes nogen, men jeg har ikke tænkt mig at holde vejret, til jeg møder dem."
775381411779977216,2016-09-12 17:11:49,@Kong_Kret @MirRou64 Du spiser allerede kage?
775371093532090368,2016-09-12 16:30:49,"...og hvis det viser sig ikke at virke, kan ministeren passende foreslå de fattige at spise kage...#dkpol #asocialthttps://t.co/zYm2Tcqi7I"
771739885061496832,2016-09-02 16:01:41,"@L_Lauritsen Det forventer jeg, da grundlaget for forudsætning om nulvækst har ændret sig i løbet af ugen. Vil dog se det, før jeg tror det."
771715028479250432,2016-09-02 14:22:55,"@L_Lauritsen Vi afviser et budget, som er endnu mere pessimistisk på velfærdens vegne end regeringen. Der er ingen grund til nulbudget."
771672797726838784,2016-09-02 11:35:06,Magistratens budgetforslag indeholder offentlig nulvækst i 2018-2020. Endnu mere uambitiøst end regeringen. #aalpol https://t.co/SazWBKaUb3
771059343735357440,2016-08-31 18:57:27,"RT @BrianMork: Hey regering, S.U. ER et lån. Som man betaler tilbage i skat senere når man får et job som man kan få fordi man har taget en…"
771036293224599552,2016-08-31 17:25:52,God ide! https://t.co/F170B6TmSY
771034551095267329,2016-08-31 17:18:56,"RT @Thomas_Rohde: Det her pletskud fra i går fortjener altså at blive delt. Mange gange.https://t.co/zgL1KtQXZu #dkpol https://t.co/rrAvvH…"
771034454617972736,2016-08-31 17:18:33,RT @pelledragsted: https://t.co/hPnGn4xwHk
771033320897572869,2016-08-31 17:14:03,"Hvis jeg får en #topskattelettelse, vil hver en krone gå til partiskat og blive brugt på at bekæmpe regeringen. Så kan de lære det! #dkpol"
770310513091837953,2016-08-29 17:21:52,"Right. Og Rikke Karlsson er litauer. #dkpol #messerschmidtgate #dfhykleri https://t.co/CbOjZwOFb2"
770233700248420352,2016-08-29 12:16:39,"#rødtflertal i #aalpol har i dag vedtaget, at alle kommunens madleverandører skal overholde sociale klausuler - uanset indkøbets størrelse"
768515911796097024,2016-08-24 18:30:46,"@MaksBitter Men man må give @DanskDf1995, at de gør en indsats for at dokumentere omfanget af svig og korruption i EU."
768157831044407296,2016-08-23 18:47:53,@rasmuskongshoej @avisen_dk #goodluckwiththat
768149776474988544,2016-08-23 18:15:52,"DF's svar på politianmeldelse og beskyldninger om svindel.Forudsigeligt og usmageligt. #dkpol https://t.co/Lprcevy8uz"
768140018787450881,2016-08-23 17:37:06,I dag var jeg til møde i bestyrelsen for Nordjyllands #Beredskab hos #Beredskabsstyrelsen i… https://t.co/Rb0g3xNVxW
761537611747954688,2016-08-05 12:21:29,"RT @PerClausen3: Jeg er helt enig med Thomas og ser frem til, at vi kan få en snak om, hvad Aalborg Kommune kan gøre. #aalpol https://t.co/…"
757628023701143552,2016-07-25 17:26:11,Navarras turistagentur har delt et af mine insta-sommerferiebilleder. https://t.co/jThLZMqDjH
757627508401602560,2016-07-25 17:24:08,"RT @specialarbejder: Det blev sku en dyr omgang med den udlicitering.#KomPolDK #DKpol https://t.co/Io8XEFWBsx"
747835261296447488,2016-06-28 16:53:15,"Spansk MEP: Manglen på selvkritik hos EU efter #brexit gøder jorden for det ekstreme højre. https://t.co/62sZYDX4zb"
747667420622491648,2016-06-28 05:46:18,"A British online petition now calls for a rematch.#brexit #engisl #icesave"
747511457374408704,2016-06-27 19:26:34,Er Island i færd med at gentage sejren over imperiet i #Torskekrigen i 1976? Eller er det #BlodhævnForNorthernRock?
747167614175162368,2016-06-26 20:40:15,"Det spanske valg ligner en maveplasker for venstrefløjen. Øv!Kæmpe konservativ fremgang, men ikke højreflertal. https://t.co/znhzYe6wCU"
747124022614298624,2016-06-26 17:47:02,"Lækket #exitpoll med #venstrefløjsflertal i #SpanishElections, #UnidosPodemos størst til venstre. #UnidosPodemos26J  https://t.co/GaOv4iH6YD"
747107015617458176,2016-06-26 16:39:27,"#Selfie i anledning af #SpanishElections.#26J #UnidosPodemos #elecciones2016 #Podemos https://t.co/SZ4bDhQjxB"
747098224142458880,2016-06-26 16:04:31,RT @PerClausen3: Så stemte de unge alligevel ikke ja til EU I GB. De stemte slet ikke. Næppe udtryk for stor EU-begejstring.
747071631797981184,2016-06-26 14:18:51,"Deseo mucho éxito a l@s compañer@s de @ahorapodemos e @iunida en las elecciones del #26J. Sois una inspiración importante.#UnidosPodemos26J"
746815192131067904,2016-06-25 21:19:51,@troelseklund @naturloven @avisen_dk Eller altervin.
746815001193811968,2016-06-25 21:19:06,@Danielpanduro @vote_leave Do it!!! Og god tur.
746764232247631872,2016-06-25 17:57:21,@Danielpanduro Du skal da smage og prøve #Brexit
746635746073780224,2016-06-25 09:26:48,"Pesticidrester i urin. #PISticider? #tingesbenlundekaldernatur #dkpol #dkgreenhttps://t.co/bsVPIkdjC2"
746305202588950532,2016-06-24 11:33:20,"@rasmuskongshoej Jeg vil tro, at man i så fald er dybt uansvarlig."
746304903358840832,2016-06-24 11:32:09,"RT @rasmuskongshoej: At sige EU har et demokratisk underskud, svarer til at sige der er et iltunderskud på månens overflade. #dkpol #eupol…"
746221901459009537,2016-06-24 06:02:20,@Danielpanduro Nej. Det ved ingen.
746206871313227777,2016-06-24 05:02:36,It's #official! #brexit #euref https://t.co/tZxBxrhgc6
746191644517531649,2016-06-24 04:02:06,@Danielpanduro Meget god morgen!
746187829756059649,2016-06-24 03:46:56,BBC spår #brexit #euref https://t.co/EdgXZZwhyZ
744794676943740929,2016-06-20 07:31:03,"Talte i den udvidede magistrat for at skrotte omprioriteringskatalog inden budgetforhandlinger.Det synspunkt sad jeg alene med.#aalpol"
743353823633104896,2016-06-16 08:05:37,"Byrådet vedtog i mandags planen for åbning af Østerå gennem #Godsbanearealet, og Miljø- og… https://t.co/LFxVGE6uwI"
