id,created_at,text
793821085984813058,2016-11-02 14:24:30,Stærk S stemme @margotwallstrom t #nrsession. Ja tak t mer feministisk udenrigspolitik. Nej tak t DKs nedskæringer… https://t.co/vpoe6W9ldf
793704805755682816,2016-11-02 06:42:26,RT @politikdr: S: Unge kontanthjælpsmodtagere skal have SU-rettigheder https://t.co/F9IPYmWMNi https://t.co/vfPJNhqdxX
793565115111075842,2016-11-01 21:27:21,Tillykke t @TaenkKemi m nominering t Nordisk Råds Miljøpris. Løkke talte om nordisk naboskab. Håber han lyttede t n… https://t.co/gBpPwV7veH
793473303008665601,2016-11-01 15:22:32,Endelig ny (og feministisk) statsminister på talerstolen😀 #nrsession #snorden https://t.co/lyi3K9U8iz
793395989776310272,2016-11-01 10:15:19,".@MartinLunell Ka godt forstå V spørger, eftersom I ingen har. Vi vil fastholde DKs høje grønne ambitioner #dkpol #dkgreen"
793392661591973889,2016-11-01 10:02:05,"Strategi fra V: Fuld bak på alt grønt, som ellers prises i udlandet. Lige fra klima til kemi. Men d r pæredansk at… https://t.co/fg4PKtP6lH"
793362382835900416,2016-11-01 08:01:46,God stil af @ditCPH. Nej tak t Ubers piratkørsel. Vi ska holde fast i ordentlige løn- &amp; arbejdsforhold. Og at alle… https://t.co/OW69LMA8bO
793190875602022404,2016-10-31 20:40:16,"RT @SMSerup: Løkke 31.august: ""Jeg håber, at jeg lander en aftale, men gør jeg det ikke, så må jeg tage en valgkamp"" https://t.co/OzTFEfv4a…"
793176206556467200,2016-10-31 19:41:58,"Hvis Løkke var en ludobrik, var han så slået hjem nu? Sammenbruddet i blå blok r totalt #tyve25 #dkpol https://t.co/T5HLpuzaoY"
793173174456348672,2016-10-31 19:29:55,RT @MadsBrandstrup: Helle Ib: Ydmygende retræte fra Løkke #dkpol https://t.co/A1VJ3n5Ew1
792652221838163968,2016-10-30 08:59:51,RT @Trinebramsen: Så mange betjente er pt udlånt til grænsen - forståeligt at politikredse er presset #dkpol https://t.co/wTNM4SMOhM
792000570961825792,2016-10-28 13:50:25,RT @simonkollerup: Wow! Sgu da en skandale! 😡 Grov manipulation fra Fødevarestyrelsen gør Esben Lundes angreb på Gjerskov uanstændigt! http…
791263363196157952,2016-10-26 13:01:01,RT @blhenriksen: @LeaWermelin: Hvis havne og deres kunder leverer substans kan politikere levere rammer og infrastruktur. Det giver arbejds…
790894821313576960,2016-10-25 12:36:34,Samråd m @EllemannKaren. Ingen garanti for at voldsramte kvinder ik går forgæves på landets krisecentre. Men ingen hjælp fra V #dkpol
790885397958123520,2016-10-25 11:59:07,"RT @LisaHolmfjord: 10 @LeaWermelin uacceptabelt at voldsramte bliver afvist, ministeren må forholde sig til sådan som virkeligheden er nu o…"
790655884116500480,2016-10-24 20:47:07,Smag og behag sir V. Lærer åbenbart hurtigt af Trump. Reelt endnu mer New Speak og lemfældig omgang m sandhed #dkpol https://t.co/tpMUpP2MRF
790603515240542208,2016-10-24 17:19:01,RT @BentKalundbHavn: Kom t debat om fremtidens containerfeederhavn v. #danishmaritimedays m bl.a. @LeaWermelin. Læs mere https://t.co/kmppD…
789402446221090816,2016-10-21 09:46:24,RT @hansersej: DF tilbagebetaler blandt andet den støtte de fik til at udgive Messerschmidts bog om ... fråds og svindel med EU-midler #dkp…
788447561145352192,2016-10-18 18:32:01,"Man skal vidst være medlem af V for ik at sætte pris på d her. Forstår godt de 61 % af danskerne, der idag dumper V… https://t.co/16tAJjSnm2"
787909420193898496,2016-10-17 06:53:39,"RT @simonkollerup: Jeg er målløs!! Hvis det her er sandt, så har Esben Lunde Larsen talt usandt for Folketinget flere gange (!) Senest i ti…"
