id,created_at,text
682980565713350656,2016-01-01 17:43:50,Kræver ingen kommentar 😉 #dkpol https://t.co/S2hTM13caL
667685347623641088,2015-11-20 12:46:06,Velkommen her! | Rebild Kommune https://t.co/EZn8Dfrkpo
657884636778004480,2015-10-24 11:41:34,"Klar til start på den første Red Bull Rævejagt i DK, selvfølgelig i Triathland Rebild #cykelløb https://t.co/uf1QxUridF"
649352445982842880,2015-09-30 22:37:42,24 ud af 25 bag budgetforlig i Rebild Kommune. Et rigtig godt resultat. Tak til byrådskollegerne #dkpol #nordjylland
647345322499395584,2015-09-25 09:42:06,"Flygtninge - blot til nuancering #dkpol http://t.co/QzrlR5Yl4P"
639427425168945152,2015-09-03 13:19:12,Udeskolen gør hjernen klistret. Det er også folkeskolereform #dkpol http://t.co/SAxy4DCYX8
639092833840967680,2015-09-02 15:09:40,"Statslige arbejdspladser i provinsen, ja selvfølgelig #dkpol https://t.co/6ZspKqj4it"
616922657318137856,2015-07-03 10:53:18,Urealistiske forslag fra regeringen http://t.co/tsNJzRXpsn #dkpol #dkkompol
610350349333958656,2015-06-15 07:37:17,RT @fodterapeuterdk: Vi har fundet en 'ægte' LEON @LeonSebbelin som får fodtjek og stemmer om fodpolitik i Føddernes Telt #fmdk#fodpol http…
609687968480141312,2015-06-13 11:45:13,2xLeon. Laveste Effektive Omkostnings Niveau-lige noget for en borgmester Leon - gæt selv hvem det er #leondk http://t.co/VrSTCPIo0b
609620941597999105,2015-06-13 07:18:53,Så kaster vi os ud i dag 3 på et super Folkemøde #fmdk #fm2015 http://t.co/ibtLMTL60n
608739389699682304,2015-06-10 20:55:54,Fremme i Allinge klar til Folkemøde. Værelse tæt på byskilt - alt kan nås til fods - sådan 😊
606832744899952640,2015-06-05 14:39:35,"Så er der grundlovsfest i Terndruplund, med gademusikanter og det hele #dkpol #nordjylland http://t.co/KsS7bsA0Dn"
606757395579211776,2015-06-05 09:40:10,"Grundlovsmøde Sortebakkeskolen i Nørager. Unge, gamle, musik, sang og det hele. Tak til skolen. #dkpol #Nordjylland http://t.co/dYJHTgU0d5"
601042012398301185,2015-05-20 15:09:17,Så starter St. Øksø-løbet 2015 - ikke så tosset endda. Super arrangement http://t.co/I8TEnJSyqu
594449560749113344,2015-05-02 10:33:14,Kampklare borgere jublede over byrådet | Nordjyske.dk http://t.co/lPSpdRl9ws
594449052797947904,2015-05-02 10:31:13,Naturen får frit spil i ådalen | Nordjyske.dk http://t.co/4yD9KIDhq1
570172819700649984,2015-02-24 10:46:08,"IC togstop også i andre byer end landets største byer #dkpol #Nordjylland https://t.co/6t6BfmIPAv"
