id,created_at,text
788443238340452352,2016-10-18 18:14:51,"RT @j_esmann: VOGT JER, EU-SVINDLERE:""We want our money back"", sagde DF's ""budget-høg"" @AndersVistisen Kan du stave til boomerang?#dkpol…"
786467616437088256,2016-10-13 07:24:26,Et gymnasium der er velbesøgt idag! @PiaOlsen @oestergaard Håber stadig vi ses til demo klokken 16!… https://t.co/sMwBmRljW8
786465191894536193,2016-10-13 07:14:48,"Jeg har 30 timers mødepligt, 15 timers selvstudie og 15 timers studiearbejde. Selvfølgelig får unge stress! #milliardnedskæringer #dkpol"
786463910584922113,2016-10-13 07:09:42,Hvorfor er det et mål for de borgerlige at smadre alt det som generationer har kæmpet for at opbygge? #Milliardnedskæringer #dkpol
783952300675043328,2016-10-06 08:49:28,RT @BennyEngelbrech: Finansministeriet anerkender at der er strukturel balance i @Spolitik udspil til #tyve25 forhandlinger. Tak for det #d…
783306484834824192,2016-10-04 14:03:13,RT @j_esmann: 76% af dem der rammes af KH-loft er slet ikk jobparate. Argumentet for KH-loft var ellers et lille øko. incitament.#dkpol #dk…
783257536719912961,2016-10-04 10:48:43,"Hvis frihed er at sætte studerende i gæld, så det ikke frihed som jeg kender det... #dkpol #FTlive"
783256344128356352,2016-10-04 10:43:59,Ophæv skattestoppet nu! #dkpol #FTlive
783255658833580032,2016-10-04 10:41:15,"Hvis fremtiden byder på at dem der har meget, skal ha mere og dem der har mindre skal ha mere mindre, siger jeg NEJ tak Løkke!#dkpol #FTlive"
783255122264596480,2016-10-04 10:39:07,"Topskattelettelser for 7,8 mia. kr. Eller 28.000 varme hænder i form af SOSUer? Jeg ved godt hvad jeg vælge, hvad med dig LLR?#dkpol #Ftlive"
783253103705489408,2016-10-04 10:31:06,@MsMariaOien Kort eller langt uddannet. Du har vel ikke en højere uddannelse bare fordi du har en lang videregående uddannelse?
783252614540627968,2016-10-04 10:29:10,Kære Lars det hedder IKKE højt eller lavt uddannet... #dkpol #ftlive
783252252731568128,2016-10-04 10:27:43,"""Abitiøs klimapolik""????? Undskyld hvad! #dkpol #ftlive"
780807068810895360,2016-09-27 16:31:26,RT @eeodk: Over 14.000 unge står nu og mangler en praktikplads. Det er 13 % flere end for et år siden. Det kan simpelthen ikke være rigtigt…
780795927800012800,2016-09-27 15:47:10,"RT @BennyEngelbrech: Sammen med @SosseSass har jeg indkaldt Finansminister i samråd om hans meget kreative ""beregninger"" https://t.co/I8NGJ…"
774175929547403264,2016-09-09 09:21:39,@DanskeKommuner havde på et tidspunkt en analyse om at 1/3 kommunalpolitkere var blevet truet. #dkpol #KVpol @DKPolitik
773603826150572032,2016-09-07 19:28:19,@nikogrunfeld dropper du dit mandat i folketinget hvis du bliver valgt til #KV17 eller synes @alternativet_ det er kodylt med dobbeltmandat?
772865074100838400,2016-09-05 18:32:47,@Dresenmand jeg er imod en legalisering og mener at dem der bruger argument om kriminalitet skal stoppe med at købe fra kriminelle.
772843381613555712,2016-09-05 17:06:35,@Dresenmand hvordan er man ikke kriminel når man sælger hash?
772833895687528448,2016-09-05 16:28:53,"Hvis nu dem der ""bare"" godt kan li en hyggebønne stoppede med, at købe fra de krimielle var vi langt! Stop med at gi banderne penge! #dkpol"
772720182036922369,2016-09-05 08:57:02,@LilleholtC Nej
772509515136860164,2016-09-04 18:59:55,@LilleholtC man kunne droppe planerne omkring topskattelettelser. Så er der vidst penge nok! #dkpol
770310344237604864,2016-08-29 17:21:12,"Er officielt udtrådt fra #Fredericia. Tak for alt, kæft jeg holder af jer alle! Vi ses snart igen! #dkpol #kvpol https://t.co/A14Xd81rjg"
770191473883156480,2016-08-29 09:28:51,Den borgerlige regering er for mig lidt ligesom Robin Hood..... Altså bare fuldstændig omvendt. #dkpol
769910531444580352,2016-08-28 14:52:29,#TingTulleHellereVil sænke topskatten end at hjælpe de svageste i samfundet. #dkpol
767611379176071168,2016-08-22 06:36:28,@JakobSoelvhoej hvorfor er det at i ikke vil være med til at udvikle folkeskolereformen frem for bare at rulle den tilbage? #dkpol
767609962889613312,2016-08-22 06:30:51,@PSkipperEL er jeres svar på samfundets udforinger ikke altid bare at sætte skatten op? #dkpol
