id,created_at,text
783921637867618304,2016-10-06 06:47:37,https://t.co/WeBFQuaObY - Igen en meget lille straf for at smadre et andet menneske. #dkpol
782861947687632896,2016-10-03 08:36:47,https://t.co/iNFrC0U415 - Sort på hvidt – bankerne scorer kassen på realkreditten! #eupol #dkpol
781525188999540740,2016-09-29 16:04:59,"C. Hedegaard ansat hos VW, der systematisk har snydt tidl. arbejdsgiver, EU. Hvordan hænger det sammen? Stinker langt væk #eudkpol #dkpol"
780737723774697472,2016-09-27 11:55:53,https://t.co/KfNBGCV9qn -   Hvornår lærer Europa at sige stop? #eupol #dkpol
778211981677498368,2016-09-20 12:39:29,https://t.co/KXKLZgT4tu - Der er i høj grad grund til at være bekymret. Hvordan skal de unge så lære om danske værdier? #dkpol #eupol
776813810569060352,2016-09-16 16:03:39,RT @othmar_karas: Eröffne EU-Russland Treffen zu EU-Arktis Politik &amp;Rolle Russlands @spietikainen @Urmaspaet @MEPDohrmann @eu_eeas 1/2 http…
765122487097106432,2016-08-15 09:46:30,"https://t.co/bOJJvojtnT - Kom med ned og se, hvordan jeg arbejder i Bruxelles. Læs mere her. #dkpol #eupol https://t.co/dU6joyW89h"
757511463439331328,2016-07-25 09:43:01,"https://t.co/DfdL7IlxSn - Stop for flere immigranter, lav grænsekontrol, udvis ballademagere og lav grundige tjek af dem, der er her."
755076129266991105,2016-07-18 16:25:52,@EuropaMathias taler lidt om det her https://t.co/vPcOJYNXxn
755013083698003969,2016-07-18 12:15:21,EU-redningspakke til mælkebønder bliver i snit ca. 21.500kr. pr. bedrift i Danmark. Giver ikke meget kredit i banken #dkpol #eudk
748167855737298944,2016-06-29 14:54:51,Den hvide underklasse betaler indvandringens pris https://t.co/OGYdKyy5jt #dkpol #eupol
746245224343740416,2016-06-24 07:35:00,"Afstemning viser, at man ikke kan sætte sin lid til meningsmålinger. Det har vi jo også set i Danmark. #leave #dkpol #eupol"
746228686307786753,2016-06-24 06:29:17,"Tillykke til Storbritannien. Resultatet viser, at man skal lytte til  sin befolkning. EU kan ikke bare køre derudad med 180 i timen."
746208654198607872,2016-06-24 05:09:41,Leave! EU vågner op til ny virkelighed. Nu begynder det rigtige drama - hvad vil EU gøre nu? Spændende tider!! #leave #dkpol
745904497378082816,2016-06-23 09:01:05,Best of luck to my 🇬🇧British colleagues in @ecrgroup. Either way the result will help on the reformation of EU #brexit #bremain
745318723704193025,2016-06-21 18:13:25,Kommissær @MAC_europa anderkendte i dag DK landbrugs ☘-indsats. Behov for større fleksibilitet til frontløbere på emissionsreduktioner.
745186025283198976,2016-06-21 09:26:07,https://t.co/3ZnKRSdSVU - Vi er til grin! #dkpol
743500622331248640,2016-06-16 17:48:56,https://t.co/tdhbTJUm1j - Som forventet vil Nordea også have deres luns af bidragssatserne. #eupol #dkpol #bidragssatser @fairbidragssats
741168641476005888,2016-06-10 07:22:29,https://t.co/zUJIKgjv6f - Danske landmænd skal kunne producere under samme rammevilkår som deres udenlandske kolleger.#eupol #dkpol
740887396942774272,2016-06-09 12:44:55,"https://t.co/TG3zVIQ8ut -   Jeg græmmes! Tålt ophold! Få ryddet op i de konventioner, der gang på gang underminerer Danmark. #eupol #dkpol"
740487543800627200,2016-06-08 10:16:02,https://t.co/S8HCzaBQH9 - En god dag for demokratiet og danskerne. #eupol #dkpol
738345458163146752,2016-06-02 12:24:09,"Så blev jeg igen interviewet til Schweizisk tv, om den aktuelle  situation i EU. De følger godt med i EU-spørgsmål.#eupol"
737964352452603904,2016-06-01 11:09:46,"https://t.co/jH5g2cd5Rr -   Når selv Dalai Lama mener, at Europa har taget for mange flygtninge, må det give god karma at være DF’er."
737242036282220545,2016-05-30 11:19:33,https://t.co/9E6H3d8Xq7 - Uhh - pas på bidragsgribbene derude! #bidragssats #realkredit @fairbidragssats https://t.co/pc5YIeDmoO
