id,created_at,text
791284509673218048,2016-10-26 14:25:03,Min nye ringeklokke! https://t.co/gdQJ9pfiqT
791025669836791809,2016-10-25 21:16:30,RT @dr2deadline: @MarieKrarup: EU ødelægger Danmarks mulighed for at eksistere på lang sigt #dkpol https://t.co/XAxmqLQSTY
790943893839761409,2016-10-25 15:51:33,Tre syn på Rusland. Men i DK hører vi kun om det første!#dkpol https://t.co/nak4E3MjxR
790632303131254784,2016-10-24 19:13:24,@andreasbrethvad @FruSun Vi taler hele tiden for at hæve hjælpen til lejre i nærområderne. Ja! #dkpol
790632132439842816,2016-10-24 19:12:44,"@socialized_dk @FruSun EU samarbejdet virker ikke. Og det er torskedumt at vente på, at det kommer til st virke. Sker ALDRIG. #dkpol"
790631931893407745,2016-10-24 19:11:56,"@FruSun @danielnyboe Har jeg ret til at bo i Sydafrika, hvis DK og Norge er i krig, og jeg ikke vil være i Tyskland? Nej asylshopping.#dkpol"
790631334314184704,2016-10-24 19:09:33,"@FruSun Ja. Det er synd for dem. Det ville være bedre for DK og deres egne lande, at de gjorde sig klar til at bygge deres lande op. #dkpol"
790623348883619840,2016-10-24 18:37:50,@danielnyboe @FruSun Der er forskel på flygtninge og indvandrere. Den forskel er ophævet i dag til skade for Europa. Vi går under.#dkpol
790623141546565632,2016-10-24 18:37:00,"@danielnyboe @FruSun Det er til skade for både DK og Syrien. Krig betyder ikke, at folk skal integreres i andre lande.#dkpol"
790622997040201729,2016-10-24 18:36:26,"@danielnyboe @FruSun De var blevet i lejrenen. Og var klar til at tage tilbage. Nu ""integreres"" de i DK og kommer aldrig tilbage. Brainsrain"
790621933578625024,2016-10-24 18:32:12,"@socialized_dk @FruSun De betyder, at vi kan styre indvandringen. At vi ikke har gjort det indtil nu er torskedumt.#dkpol"
790621761096351744,2016-10-24 18:31:31,"@danielnyboe @FruSun De fleste kommer fra lande, der ikke er i krig i. Kun 40% af strømmen sidste år var fra Syrien. #dkpol"
790621242743283713,2016-10-24 18:29:27,@FruSun Rejse fra flygtningelejre sker pga muligheder. Ikke pga krig. Derfor: manglende restriktioner skaber indvandring i DK.#dkpol
790620790911823873,2016-10-24 18:27:40,"@FruSun Ja, man får traumer af krig. Men dem, der har det værst sidder i lejrene i nærområderne, og dem hjælper vi ikke.#dkpol"
790620657742647298,2016-10-24 18:27:08,"@FruSun Man er ikke flygtning, når man rejser gennem flere simre lande. Så er man migrant.#dkpol"
790620505917255680,2016-10-24 18:26:32,"@FruSun De er ikke flygtninge i DK, men migranter. Flygtningene er i lejrene i nærområderne. De rejser videre, fordi det er muligt.#dkpol"
790518816899989504,2016-10-24 11:42:27,"»Den reelle fare er ikke Rusland, men muslimsk ind https://t.co/96ZOGLlChU"
790470038239215616,2016-10-24 08:28:37,RT @ThomasSchjdt: Nu tweeter Marie Krarup selv på russisk #dkpol https://t.co/pGkUmQNuTz
790469963815477248,2016-10-24 08:28:20,Jeg er betalt af Danmark for at have en kvalificeret holdning til Rusland! #dkpol https://t.co/xx2dPEucXV
790463991214645248,2016-10-24 08:04:36,Новая информационная холодная война https://t.co/o3jVJkXaFL via @inosmi
789818482565066752,2016-10-22 13:19:35,"Den ufuldendte kirke i centrum af Kosovo. Da muslimerne og NATO vandt krigen i 1999, blev den… https://t.co/x2AqxhoB0F"
789817170280624130,2016-10-22 13:14:22,Kosovos natonialhelt. Kæmpede imod Serbien i 1999. I dag skal de tilbageværende 7% serbere… https://t.co/idGDnD09bz
789768885624971264,2016-10-22 10:02:30,"NATO konference om Kosovo. EU og NATO er enige om, at Kosovo er en mega succes. De er sovjetiske… https://t.co/20EHj0kCpO"
789556035371413504,2016-10-21 19:56:42,På besøg hos de danske soldater i Kosovo. https://t.co/oATTj4xp0j
789200650945044480,2016-10-20 20:24:32,En af årets sidste ture på vandet. Så står den på romaskine indtil april. https://t.co/8wu56p00cz
788458576163463168,2016-10-18 19:15:48,En dejlig blomstergave på en mærkedag. https://t.co/dF7N0oBTzS
788089425733509120,2016-10-17 18:48:55,Muslimske unge vil ikke være danskere. https://t.co/KOUZUrp36O
786623060493279235,2016-10-13 17:42:07,Forsvarsdebat på Forsvarsakademiet. https://t.co/hy4r53snpb
786622383402676224,2016-10-13 17:39:25,RT @stenrynning: Forsvarsordførere om DKs nye forsvarskurs efter oplæg fra CWS team @MarieKrarup @RasmusJarlov @martinlidegaard https://t.c…
785758767912804352,2016-10-11 08:27:43,@JeppeKofod @DanskDf1995 Vesten tabte Ruslands-politikken på gulvet. Det skaber mindre sikkerhed i Europa. Sørgeligt og farligt.#dkpol
785758504904716288,2016-10-11 08:26:40,@JeppeKofod @DanskDf1995 En ny Ruslandspolitik kunne skabe fred i Europa i mange år og samle kræfterne om egentlige trusler. #dkpol
785758236477628416,2016-10-11 08:25:36,"@JeppeKofod @DanskDf1995 Rusland er blevet en modstandermagt, vi selv har skabt og som vi ikke har brug for. Sørgeligt og farligt. #dkpol"
