id,created_at,text
615191116602851328,2015-06-28 16:12:46,DIREKTE på #Periscope: Roskilde 15!!! https://t.co/76AKFPS7ww
566823495104225280,2015-02-15 04:57:06,"@humanErr not at all. Closing accounts that exploit social media is sufficient. Not about rights, about Twitter TOA."
566818638389579778,2015-02-15 04:37:49,"@humanErr Venstre is mostly conservative, I would think Liberal Alliance is the best match for liberals."
566817677956882432,2015-02-15 04:34:00,@humanErr I'm not sure I understand?
566816932343844865,2015-02-15 04:31:02,@humanErr jep!
566816091968917506,2015-02-15 04:27:41,@humanErr no - I'm a member of the liberal party of Denmark. That does not equal me being a liberal.
566813520902516736,2015-02-15 04:17:28,"@humanErr did I say that I'm a liberal?I believe protective and preventive measures must be used in war situations."
566811861354819584,2015-02-15 04:10:53,@humanErr fighting illegal music downloads is not comparable to war.
566810891254259713,2015-02-15 04:07:01,"@humanErr well, we will have to disagree. No point in surrendering imo."
566810545551331328,2015-02-15 04:05:39,@humanErr Limiting the amount of exposure minimises number of conversions and amount of fear induced.
566808154546401280,2015-02-15 03:56:09,"@humanErr I agree, hence why I said filtering is not enough."
566805523732103169,2015-02-15 03:45:42,RT @Lorenzen87: Kunne være rart med et ISIS filter på twitter. #spam #everybodyhatesISIS #cphshooting #ivinderaldrig #sørgeligdagforDK
566804766945447937,2015-02-15 03:42:41,@humanErr even though it results in conversion and unnecessary deaths?
566803855330250752,2015-02-15 03:39:04,"@humanErr I agree that our rights are important, however in times of war and terror, preventing conversion and fear is also important."
566802416407171073,2015-02-15 03:33:21,"RT @MFS001: #ISIS accounts praising #Copenhagen #Denmark #CPHshooting, one suspect described as Arab background, fluent in Danish http://t.…"
566801803749380097,2015-02-15 03:30:55,"@humanErr @twitter maybe Twitter does have a filter somehow. It's not enough though, abusing a social platform to induce fear is sickening."
566799988840497152,2015-02-15 03:23:42,"Extremists are spreading their propaganda with #cphshooting , @twitter does nothing. Unacceptable."
566767113193672705,2015-02-15 01:13:04,"@ILUVISRAEL2 @IsraelHatzolah @AJENews No confirmed deaths at the synagogue shooting by the Danish police, only 3 wounded."
566765226952237056,2015-02-15 01:05:34,"@annaallerslev @SteenAJ Det er nok den berusede person der skabte uro og slog efter betjente tidligere, altså ikke relateret."
566763621204897792,2015-02-15 00:59:11,"@IsraelHatzolah @ILUVISRAEL2 @AJENews this is mixed up with the shooting Saturday, no  deaths confirmed at the synagogue by the police"
491331505625784320,2014-07-21 21:18:54,"RT @michaeldickson: Anti #Israel activists: prepare to be confused#PrayForGaza #GazaUnderAttack #FreePalestine #Gaza #Palestine #Israel ht…"
489534178359517184,2014-07-16 22:16:57,"RT @MoneyJihad: Who finances Hamas’s rockets? - Short answer: Iran. Iran manufactures missiles, loads them up at its Bandar Ab... http://t.…"
488303524888190977,2014-07-13 12:46:47,Proof that Hamas is to blame for casualties MT @BurtonJM: #Hamas rejects Egyptian ceasefire proposal http://t.co/b6cO31kA9G #IsraelUnderFire
488073895401230336,2014-07-12 21:34:19,@Vallinas Også en god aften til dig!
488072420394561536,2014-07-12 21:28:27,@Vallinas og den arabisk-israelske krig startet af palæstinensere samme år.
488067769079177216,2014-07-12 21:09:58,@Vallinas Var det ikke netop palæstinenserne der sagde sådan til Israel i 1948?
465251506468712449,2014-05-10 22:06:17,"RT @vrcsports: I mean, politics and whatever else but do two 17-year-old girls really deserve that? #russia #eurovision"
