id,created_at,text
793509754995900417,2016-11-01 17:47:22,"Velfærd kræver rigdom. Rigdom kommer fra vækst. Vækst hæmmesaf topskat. Hvad er DF’s argument  FOR topskat? #dkpol https://t.co/c6dblwgN8M"
791026339566485504,2016-10-25 21:19:10,NEWS i dag. Sundhedstjek og screening har ikke effekt på sygelighed og dødelighed. Til gengæld koster det mange pen… https://t.co/CahYz6dNMN
790577971090296832,2016-10-24 15:37:31,"Jeg havde dagens brev i Berlingske. #dkpol #sundpolhttps://t.co/uRQFGb9EhZ"
790577603853873152,2016-10-24 15:36:03,"Røgsignaler med personligt ansvar https://t.co/MEnlGvOhNz.Jeg havde dagens brev i Berlingske. #dkpol #sundpol"
789794158475182080,2016-10-22 11:42:55,Det er ikke klogt eller smart at ryge Men folk skal have love at vælge selv Det hedder personlig frihed og personli… https://t.co/dc1xzUgZoY
788419592767037440,2016-10-18 16:40:53,Dagens samråd med sundhedsministeren. I dag var jeg formand for to samråd. Så har jeg også prøvet det. :-) https://t.co/HyoXG7Rfis
787756618482081793,2016-10-16 20:46:28,Søndagsmiddag. Selvfølgelig måtte Louis indtage bordenden. https://t.co/8RdGwoTXmm
787756034869911553,2016-10-16 20:44:09,Familiemiddag. Vigtigste gæst for bordenden. https://t.co/wBL9e2TUGS
787337794540756993,2016-10-15 17:02:12,"Mere Tryghed. Vigtigt: Ændret revurdering ved tvangsanbringelse fra 6 mdr. til 4 uger. At psykiatriloven gælder. https://t.co/AshbsYpBxv"
786670795548401664,2016-10-13 20:51:47,RT @katrinafeilberg: Mere fokus på ernæring i kræftplan 4 - siger @MayBrittKattrup - debat på #kræft360 #sundpol https://t.co/juDhjyH73c
786670671199887360,2016-10-13 20:51:18,RT @SundParlament: #kræft 360 #sundpol Ernæring og immunterapi skal prioriteres i Kræftplan4 det gir besparelser andre steder sir @MayBritt…
786670624953536512,2016-10-13 20:51:07,RT @Mouyal7: Kræftplan IV skal ta højde for ny lovende medicin siger Kattrup og Blixt #kræft360 @Blixt22 @MayBrittKattrup @metteabildgaard
785933782255665152,2016-10-11 20:03:10,@brandsen og har jeg gennem min opvækst levet i næsten alle samfundslag. arbejdet siden jeg var ca. 12. rejst langt for uddannelse og job.
784843676191162368,2016-10-08 19:51:28,"@brandsen Faktisk er mange vokset op i ungdomspolitik, taget en cand.polit, og gået direkte i politik."
784737827779178496,2016-10-08 12:50:52,Året der gik-resultat: Omdelt i Nordsjælland i den forgangne uge. Borgere skal også høre fra mig som politiker når… https://t.co/eVruhnReGK
784134355627180032,2016-10-06 20:52:53,"Det betragtes ikke som reklame men som information, derfor bliver den alligevel lagt i din postkasse. Beklager at d… https://t.co/aKCbB5d57Z"
784133334641377280,2016-10-06 20:48:50,Det er lidt rigeligt 😊 https://t.co/gNOh3lRLQP
