id,created_at,text
793486382119415808,2016-11-01 16:14:30,"@NikoArve Ja, så slemt er det heller ikke. Men denne her overskrift er da helt sort."
793482619795214336,2016-11-01 15:59:33,"Nej, han gør ik! Det er mageløst med al den tid #dkmedier bruger på at dække #usavalg at de ik har lært valgreglerne https://t.co/8a45uzJuk5"
793451194177949700,2016-11-01 13:54:40,RT @3Ffip: 3F: Danmarks velstand er undervurderet med op til 42 mia kr  https://t.co/F3hgbG78wA
793316467504713728,2016-11-01 04:59:19,"RT @madskolby: ""Lidt populært sagt så strammer vi alle bardunerne på en gang, så teltet det står skarpere og kan modstå regn og storm."" #dk…"
793171873521631233,2016-10-31 19:24:45,@TobiasBaadsgaar @BosseStine Siden 2009 har vi ført en agressiv udbudsorienteret og spareivrig økonomisk politik. Mere af samme virker ikke.
793170283221880832,2016-10-31 19:18:26,"RT @BennyEngelbrech: Total nedsmeltning for Løkkes planDer har jo på intet tidspunkt været skyggen af politisk flertal for topskattelettel…"
793167556395884548,2016-10-31 19:07:36,"@BosseStine @DRBreaking Hvorfor? Mener du vi har akut behov for topskattesænkninger, højere pensionsalder og uddannelsesbesparelser?"
793158010243874816,2016-10-31 18:29:40,"Anders Samuelsen har netop gentaget i @tv2newsdk at der skal falde topskattesænkninger inden 31/12, eller valg. #dkpol"
793157375419092992,2016-10-31 18:27:09,RT @MadsBrandstrup: Helle Ib: Ydmygende retræte fra Løkke #dkpol https://t.co/A1VJ3n5Ew1
793157321165774848,2016-10-31 18:26:56,"@edtwodth Vel anderledes? Jeg snakker om en regering der fremlægger en plan, men er nødt til at trække den tilbage. Det andet vel løftebrud"
793151238032457728,2016-10-31 18:02:45,Det her vel største politiske tilbagetog regering har foretaget i nyere DK-historie. Hvad slår d? OMS'en under JOK? https://t.co/TwqeRorp2F
793143567736836097,2016-10-31 17:32:17,Tjah....... #dkpol https://t.co/TwqeRorp2F https://t.co/VuHdxZALaV
793056305787330561,2016-10-31 11:45:32,"RT @EB_AE: Præcis! Pengeudpumpning fra ECB kan ikke stå alene, som Draghi sagde for noget tid siden. Bl.a. bør Merkel føre en mere ekspansi…"
792415186628083713,2016-10-29 17:17:57,Hold nu op for en fantastisk fodboldkamp. Top underholdning. Sådan Reds! #CRYLIV
792393707525996544,2016-10-29 15:52:36,.@NikolajSteen @R4nd4hl @DebattenDR2 Nej. Det var plat og uværdigt. https://t.co/4xncri0dFD
791686857687965702,2016-10-27 17:03:50,"Must read hvis man vil forstå vreden og den økonomiske angst, der er brændstof til Trump #usavalg https://t.co/XU60LLmYXd"
791667099471122432,2016-10-27 15:45:19,.@OhlsenHans Og tak fordi du gjorde mig opmærksom på det. Jeg må hellere skrive noget på fb om det. Suk.
791666093295362052,2016-10-27 15:41:19,"@OhlsenHans Ar men, det er jo absurd. Og vildt at folk ikke selv kan se det!?"
791661997083521024,2016-10-27 15:25:03,"@OhlsenHans Hahaha. Kæft, det tragikomisk."
791659154570113024,2016-10-27 15:13:45,"@OhlsenHans Huh, hvilket billede?"
791656203705278464,2016-10-27 15:02:01,@OhlsenHans Hvis du henviser t Dagbladet Arbejderen så vil jeg sige jeg har aldrig oplevet så fordrejende og manipulerende interview. Aldrig
791608938735296512,2016-10-27 11:54:13,Kære @AnneSophiaHr Har du læst bogen?
791357682301145092,2016-10-26 19:15:48,RT @jsk_ae: Det offentlige forbrug i #Dkpol er ikke vokset i forhold til strukturelt bnp fra 2000-2015 - Bortset fra sundhed. https://t.co/…
791269371289239552,2016-10-26 13:24:53,@RuneStahl Det er jeg med på. 1) vores eksport-potentiale af grøn tech større. 2) Vores olieforbrug r stødt faldende https://t.co/xWX5vsbCnd
791262068330594304,2016-10-26 12:55:52,"@RuneStahl Det kræver da, at vi i Danmark vil købe. Desuden har Canada forpligtet sig til at nedbringe. Ergo efterspørgsel på grøn løsninger"
791260490420908032,2016-10-26 12:49:36,"@BueRubner @RuneStahl @pelledragsted Nu må I stoppe. HVis vi vil have olie, kan vi jo selv pumpe den op. CETA åbner for eksport af grøn tech"
791260153786011648,2016-10-26 12:48:16,"@RuneStahl @pelledragsted @BueRubner Jeg kan ik se hvordan CETA fremmer fossile-brændstoffer, belæg? Canada er forpligtet af Paris-aftalen"
791256289309581312,2016-10-26 12:32:54,"@RuneStahl @pelledragsted @BueRubner Er det joke? Forklar mig lige, hvordan presser CETA Danmark (eller andre lande) til at importere olie?"
791243046692225024,2016-10-26 11:40:17,"@RuneStahl @pelledragsted @BueRubner Seriøst? Hvorfor ""fremmer handel med fossile energikilder""? Ka åbne for eksport af dansk grøn teknologi"
791231452918734849,2016-10-26 10:54:13,"@BueRubner Men jeg mangler endnu, at nogen reelt henviser hertil i CETA. Det meste af kritikken stammer fra debat om TTIP. 2 forsk ting"
791230044437905409,2016-10-26 10:48:37,.@pelledragsted Jeg er generelt et eftertænksomt menneske m stor forkærlighed for 3F. Men kan ikke genkende kritikken i faktisk aftaletekst
791188948538134528,2016-10-26 08:05:19,RT @EB_AE: Forbrugernes og udlandets efterspørgsel r svag. Derfor r virksomheder tilbageholde med at investere. Øg off. invest https://t.co…
791008441124982789,2016-10-25 20:08:03,Sturridge 😘😘 #LIVTOT
791007290526666753,2016-10-25 20:03:28,@Lemberg @MagnusHHaslebo @jacobmark_sf Halløjsa... Vi er enige ;)
791001219745579008,2016-10-25 19:39:21,@Lemberg @MagnusHHaslebo @jacobmark_sf Men at hjælpe dem bør/kan vel ikke altsammen ske i Europa? Strukturelt uholdbart både her og der.
790997216143998977,2016-10-25 19:23:27,@Lemberg @MagnusHHaslebo @jacobmark_sf Det er vi enige om. Men hvornår og i hvilken grad er man ufri? Gælder det også 1 mia kinesere?
790995736179699716,2016-10-25 19:17:34,@Lemberg @MagnusHHaslebo @jacobmark_sf @BosseStine Så er vi vel enige? Grænser betyder noget. Og der er grænser for antal og tempo.
790995485930684416,2016-10-25 19:16:34,@MagnusHHaslebo @jacobmark_sf Glimrende. Men har endnu ikke set det afspejlet i jeres politik. Også jf jeres skarpe udfald mod SF i dag.
790995211358965764,2016-10-25 19:15:29,@Lemberg @MagnusHHaslebo @jacobmark_sf @BosseStine Men den artikel giver da ikke uhindret adgang til at migrere?
790955394659184640,2016-10-25 16:37:15,@TClausen_ Nej. Har aldrig været en mulighed for medlemsland at søge med status som 3. land. Dét sagde vi hele vejen igennem.
790954639034376192,2016-10-25 16:34:15,"@MagnusHHaslebo @trinemach @BosseStine @jacobmark_sf Huh? Er du/Å enig i at antal, tempo har betydning for integration og sammenhængskraft?"
790952736128917504,2016-10-25 16:26:42,"@BosseStine @MagnusHHaslebo @jacobmark_sf Jamen, allerede der er d sat nogle grænser hvis man erkender ikke alle har beskyttelsesbehov. Enig"
790952460311560192,2016-10-25 16:25:36,@TClausen_ Ligesom den I lovede vi kunne få på Europol?
790948918196596736,2016-10-25 16:11:31,"@TClausen_ Så lad os få modellen på bordet, så vi kan have en fair demokratisk debat herom. Lige nu er lige så konkrete som Nigel Farage."
790945517400457216,2016-10-25 15:58:01,@TClausen_ Jeg er dybt uenig. Og jeg synes jeres ønske om udmelding er useriøs al den stund I ikke anviser hvad der skal ske i stedet.
790945329411723264,2016-10-25 15:57:16,@TClausen_ Det danske folketing kan da ikke regulere og skabe en fælles fordeling. EU kan knap i dag.
790943068392488960,2016-10-25 15:48:17,@trinemach @MagnusHHaslebo @jacobmark_sf Og som svar på dit spørgsmål. Jeg hører ikke Ø og Å erkende det. Endsige tage konsekvens heraf.
790942021473239040,2016-10-25 15:44:07,"@trinemach @BosseStine @MagnusHHaslebo @jacobmark_sf Ja, bestemt. Og jeg taler ikke for at man skal lukke. Men om erkendelse af grænser."
790939951932248064,2016-10-25 15:35:54,@trinemach @BosseStine @MagnusHHaslebo @jacobmark_sf Problemet er dem der ikke siger det. Det gør SF i dag og det er vigtigt.
790939567591481345,2016-10-25 15:34:22,"@TClausen_ Jeg synes det er inkonsistent. Men fair, hvad/hvem skal regulere forpligtende fordeling den dag vi forlader EU?"
790939118096224256,2016-10-25 15:32:35,@trinemach @jacobmark_sf Jo. Og jeg vil gøre alt hvad jeg kan for at hjælpe dem med det. Man alle dagens ufrie kan ik få det i Europa.
790937903065104385,2016-10-25 15:27:45,@BosseStine @MagnusHHaslebo @jacobmark_sf Så kun hvis man gør oprør?
790937801353224192,2016-10-25 15:27:21,@TClausen_ Det må da hænge sammen? Kun tre måneder siden jeres parti krævede afstemning om udmeldelse.
790937637221728256,2016-10-25 15:26:42,@Lemberg @MagnusHHaslebo @jacobmark_sf Så reelt en markant udvidelse af eksisterende beskyttelseskrav i konventionerne? Hvornår er man ufri?
790920839462055936,2016-10-25 14:19:57,RT @SandieWesth: Halløj til virkeligheden. Du godeste. https://t.co/ZX6LL7mhgF
790919400408907776,2016-10-25 14:14:14,".@MagnusHHaslebo @jacobmark_sf Hvad betyder det der? At de der i dag ikke lever i frihed skal have retten til at søge den, hvor den findes?"
790916437661581312,2016-10-25 14:02:27,RT @Thorkild_Olesen: et elitært og ægte liberalistisk menneskesyn som @HansAndersenV  lægger for dagen. De der ikke klarer sig må synke til…
790910372421201920,2016-10-25 13:38:21,".@jacobmark_sf Betyder det, at de ikke længere vil melde sig ud af EU?"
790677115452657664,2016-10-24 22:11:29,@trinemach Nej. Alle siger at antallet betyder noget. Ikke alle leverer politik herefter.
790676467185291265,2016-10-24 22:08:54,@trinemach Nej. Jeg mener vi skal tage ansvar for alle flygtninge. Men erkender - realistisk - at det ikke kan ske for alle i DK.
790674492662087680,2016-10-24 22:01:03,"@trinemach Jamen, hvornår holder man op med at være humanist? Når man siger stop ved 20k, 50k, 500k el 1 mio?"
790673986397110272,2016-10-24 21:59:03,@emilnielsen Nej. ik uenige. Men tingene er da nødt til at følges ad. Jeg tror den svenske måde at gøre det på knækker ryggen på Folkhemmet.
790673500411465728,2016-10-24 21:57:07,"@Jac_Chr @trinemach Ja. Sandt. Og de har, har krav."
790670981455081472,2016-10-24 21:47:06,@trinemach Jeg synes ikke jeg flytter noget. Jeg har hele tiden diskuteret forskellen på migranter og flygtninge. I et humanistisk lys.
