id,created_at,text
786270417925312512,2016-10-12 18:20:50,Jeg kunne lide en @YouTube-video fra @theuptake https://t.co/gg4OGzOTC3 Student Asks Obama About Cynicism And Gets A 10 Minute Rant
776836083711696896,2016-09-16 17:32:09,Jeg kunne lide en @YouTube-video fra @1michelemichele https://t.co/4wktqVOXwN Neil deGrasse Tyson schools former GM exec Lutz on
743455706276306946,2016-06-16 14:50:27,Jeg har gemt en @YouTube playliste https://t.co/KflBKKDAxf Crowd
733742729092554752,2016-05-20 19:34:33,"Jeg kunne lide en video på @YouTube https://t.co/qvWAKa9ygP Google I/O first impressions: Google Assistant, Home, Android N &amp; more"
733741603395928064,2016-05-20 19:30:05,Jeg kunne lide en video på @YouTube https://t.co/MFEGE4pG5n Android N: Let the names begin.
726706303926697984,2016-05-01 09:34:19,"Jeg kunne lide en video på @YouTube https://t.co/ecLFJeT9xr Fiskars Unkrautstecher im Test bei ""Caulius probiert es aus"""
719120363930677248,2016-04-10 11:10:30,"RT @MarianneM_LA: Klynke-kultur https://t.co/LkQUZQq4BR"
707864694627893252,2016-03-10 09:44:29,#kltop16 Hvor er den borgerlige tone på KLs Topmøde. Formanden glemte at han ikke er talsmand for en særgruppe men at han bor i Danmark!
707863850721345536,2016-03-10 09:41:08,#kltop16 Når C og SF jamrer for at spare 1 procent er det signal om at der er plads i budgetterne til at håndtere de danske udfordringer.
707858260037083136,2016-03-10 09:18:55,RT @SimonEmilAmmitz: Velfærdspopulismen blomstrer på #kltop16 #dkpol https://t.co/j4I0R7Qbub
702245385679540225,2016-02-23 21:35:21,"RT @olebirkolesen: ""Jeg har ikke talt med nogen i mit parti. Jeg har haft nogen aftaler, jeg skulle have klaret."" - Pape om hvorfor han hel…"
697333809440780289,2016-02-10 08:18:30,Jeg kunne lide en @YouTube-video fra @theyoungturks https://t.co/Mzbx6FYLiA The WORST Answer In Debate History
695961177692774400,2016-02-06 13:24:09,Projektstrategi Intro Forår 2016: https://t.co/CNg4Hu4Hps via @YouTube
693075688123961345,2016-01-29 14:18:15,"RT @CSZT: Dagens måling giver ikke samme ""hovedløse høns""-effekt på twitter som gårsdagens. Men interessant alligevel. https://t.co/mwRDM09…"
693075472960372738,2016-01-29 14:17:24,"RT @SimonEmilAmmitz: Måske du ik ka li LA's asylforslag, men der er flere penge til nødhjælp og færre der får asyl i DK. Andre forslag til …"
686815988743057408,2016-01-12 07:44:26,RT @dittegiese: Nej. Rockere 'holder ikke styr på Danmark'. De står for narkokriminalitet og organiseret kvindehandel og bordeller https://…
686815303360221184,2016-01-12 07:41:43,"RT @IFRC_MENA: #Syria #RedCrescent: 44 trucks delivered #relief #aid to #Madaya, 21 to #Kefraya &amp; #Foua. @SYRedCrescent https://t.co/XIo3QN…"
684056533727068161,2016-01-04 16:59:21,RT @wef: These are the world’s most creative countries https://t.co/YoVbMcoVuT #economics #technology https://t.co/fvBCoRnv32
