id,created_at,text
788808705143963648,2016-10-19 18:27:05,FCK-Venligboerne: 2-2 | Rødovre Lokal Nyt https://t.co/mnKeJr1mDP
788806221482582017,2016-10-19 18:17:13,Enhedslisten støtter menneskesmuglere | Rødovre Lokal Nyt https://t.co/7JYzmWCxNO
577108299260260352,2015-03-15 14:05:15,"#rødovre Forza Mighty Bullshttp://t.co/xo31MjynnZ"
577106334677659648,2015-03-15 13:57:26,"Min datter søger en midlertidig eller permanent lejlighed i København NV, 80 kvm. til 6-7 000 kroner månedligt. Nogen, der kender nogen?"
566678048985329664,2015-02-14 19:19:09,Fordøm det voldelige attentat på Østerbro. De skyldige skal fanges!
512318764302360576,2014-09-17 19:14:46,Hillside - Søs Fenger &amp; Spinning Wheels: http://t.co/MbVxM0a7hk via @YouTube
508649353859588096,2014-09-07 16:13:50,... Agger er skadet og Wosniacki er ikke holdspiller ... Hvordan skal det dog gå?
401618759351562241,2013-11-16 07:52:28,... 11 km morgenløb inden 7 timers politisk torvedag for Enhedslisten i #rødovre Centret ... Stem Ø ... ;-)
397583137493893120,2013-11-05 04:36:21,Forstår ikke lige hvorfor Jyske Bank - eller andre banker - skal begunstiges med bankpakker ...
396982875695767553,2013-11-03 12:51:07,Det er politiks kaffe i Viften #rødovre kl.15-17 i dag med @pelledragsted : Finansloven og Rødovre. Ø-mærk din kommune. Fællesskab fungerer!
390767279916322817,2013-10-17 09:12:34,"undrer mig over, at Integrationsrådet i #rødovre kommune holder vælgermøde med df, konservative og 2 socialdemokrater ..."
390166149234569216,2013-10-15 17:23:53,Sign-up 2014 http://t.co/hSQHUg5Gua via @sharethis
389617982462115840,2013-10-14 05:05:40,@haddang1 Hej ... ses vi i aften?
389617832108892160,2013-10-14 05:05:04,"Ø #rødovre erfarer, at andre kommuner fordeler bestyrelsesposter så borgmesteren er fritaget for inhabilitetsproblemer og honorarer … ;-)"
388342602560311296,2013-10-10 16:37:46,"#rødovre Hvad synes de radikale om, at kulturministeren går efter at slagte de små omegnsbiografer? - blandt andre Viften?"
388313416915357696,2013-10-10 14:41:47,@LcLolita Vi ses ... ;-)
388313280986349568,2013-10-10 14:41:15,"@1169John ... og hej igen ... det glæder mig, at du følge mig ... ;-)"
388020066295365632,2013-10-09 19:16:07,#rødovre Jeg glæder mig til at dele Enhedslistens valgfolder ud ...
388019612870139904,2013-10-09 19:14:19,"@BardinoC Hej Bardino. Du kan jo starte med at finde nogle kammerater at følge, eksempelvis HansHoumøller, se på min side, folketingsgruppen"
387915986403225600,2013-10-09 12:22:32,@peterbojo vi ses i Vestbadet ... ;-)
387653055056846848,2013-10-08 18:57:45,@HansHoumoller  Skal EU bestemme Rødovres kulturpolitik?
387652900492943361,2013-10-08 18:57:08,RT @HansHoumoller: Kultur på støtten? http://t.co/Ll0xVGyMtH
387242478912286721,2013-10-07 15:46:16,... godt vælgermøde i Ældresagen Rødovre denne eftermiddag ... ;-)
386806853444710400,2013-10-06 10:55:15,... hjemme efter en tur i Vestbadet med Sille og Merle ... hyggeligt ... ;-)
386783875332337664,2013-10-06 09:23:56,@MartinSerup  ... endnu et medie ... ;-)
386719931611365376,2013-10-06 05:09:51,"Rosa Lund diskuterer uddannelsespolitik i Viftens cafe, søndag kl.15. Gratis kaffe. Enhedslisten Rødovre ..."
386539010186698752,2013-10-05 17:10:56,"... så ser vi, hvad der sker ..."
