id,created_at,text
793018110542503936,2016-10-31 09:13:45,"ALT: Omstilling fra rig til fattig. Mens 10% rigeste allerede betaler 30% af skatterne. Ingen skam i livet.#dkpolhttps://t.co/lzW4C0ijN1"
789179023024791552,2016-10-20 18:58:35,"@uffeelbaek: Hvordan kan 30 års ""neoliberalisme"" have ført til verdens højeste skattetryk + verdens største offentlige sektor?#debattendr2"
789178432085123072,2016-10-20 18:56:15,"Der findes ingen - som i: ingen - økonomiske teoretikere, der kalder sig selv ""neoliberale"".#dkpol #debattend2"
789173016651378691,2016-10-20 18:34:43,"@uffeelbaek: Hvis vi ikke bliver glade for den der vækst, hvad er den så for? Det kæmpe, offentlige forbrug, ALT kæmper for. #debattendr2"
789170574060773378,2016-10-20 18:25:01,"Alternativets økonomiske bundlinje er ikke sort. Den er knaldende rød. #dkpol #debattendr2"
789168282532061184,2016-10-20 18:15:55,"@Heunicke: Var der mindre angst, stress med videre i de hårde år uden vækst? Relevant spørgsmål uden svar.#dkpol #debattendr2"
789166216875118592,2016-10-20 18:07:42,"De fleste vækstkritikere er vilde med vækst i det offentlige forbrug.#dkpol #dr2debatten"
787698739980935168,2016-10-16 16:56:29,"De fleste vækstkritikere er mærkeligt nok vilde med vækst i det offentlige forbrug.#dkpolhttps://t.co/eYhT8OpVW1"
785387649808949248,2016-10-10 07:53:02,"Ankestyrelsen har været træls gennem en længere periode. Må nok snart have fat i ørerne på den.#dkpolhttps://t.co/rVpGCFpqz2"
783956334978957313,2016-10-06 09:05:30,"Thulesen Dahl taler netop nu anerkendende om ""en Robin Hood-model"". Han synes at glemme, at RH's modstander var en skatteopkræver.#dkpol"
783944054069420033,2016-10-06 08:16:42,"Forskellen på himmel og helvede er i følge S 1,6 mia. Altså ca 1,5 promille af statsbudgettet. Kan vi ikke få lidt mere substans? #dkpol"
783618536736522240,2016-10-05 10:43:12,Dagens gode nyhed: Forskningsministeren bebuder mere afbureaukratisering af videregående uddannelser. #dkpol
783001978867703808,2016-10-03 17:53:13,Vaterlandslose Gesellen. #dkpol
782898133315510272,2016-10-03 11:00:35,"Nå. Rapporten om frikommuneforsøgene læser jo heller ikke sig selv.#dkpol"
778589155408416769,2016-09-21 13:38:14,"S går ind i kampen om DM i stagnation med et virkelig stærkt udlæg. Men kan dog ikke være sikre på den endelige sejr.#dkpol"
778470050965561345,2016-09-21 05:44:58,"Anbefaler i dagens Berlingske, at man begynder at begrænse det offentlige overforbrug.#dkpolhttps://t.co/KxxOTnzHY8"
777808973932134400,2016-09-19 09:58:05,"Hvis du er sadist, bør du ikke kunne ansættes på et Jobcenter.#dkpolhttps://t.co/lBIu1jCmw9"
775195027832246273,2016-09-12 04:51:11,"Jeg vælger velfærd frem for elbiler.#dkpolhttps://t.co/EQ0UAKUX1x"
772520629270700033,2016-09-04 19:44:05,"Journalisters faglige niveau er ofte så lavt, at jeg ikke orker at tale med dem. Så hellere skrive en lang opdatering på FB.#presselogen"
771244097105375232,2016-09-01 07:11:36,"S er ofte meget fornuftige, når de har magten. Resten af tiden bruges ofte på uansvarlig venstrepopulisme.#dkpol https://t.co/Pnc0MJnBBt"
771220726275715072,2016-09-01 05:38:44,"Christiania blev i sin tid kaldt et ""socialt eksperiment"". Det kan nu endegyldigt konkluderes, at eksperimentet er slået fejl.# dkpol"
770560099077263360,2016-08-30 09:53:38,"Det er gådefuldt, at det nogensinde er lykkedes for en person fra et andet land at tage en videregående uddannelse#dkpol #ellersdørbaby"
768384140462792705,2016-08-24 09:47:09,@chellersgaard Ellers ville den ene procent vel næppe betale næsten ti procent af skatterne? Eller de ti procent de tredive?
768358121978761217,2016-08-24 08:03:46,"@chellersgaard Den økonomiske overklasse i DK er meget socialt sindet. Det er omfordeling, der gør gini så lav."
768328555344396288,2016-08-24 06:06:17,At snakke om ulighed i Danmark svarer til at snakke om bjerge i Danmark. #dkpol
767816495875428353,2016-08-22 20:11:32,"Svindel1 afsløret. Godt arbejde af 24 Syv.#dkpolhttps://t.co/hmNU1VPUqH"
765054595181805568,2016-08-15 05:16:44,En alkoholiker kan altid finde en undskyldning for en drink. En SF'er kan altid finde én for en skat. #dkpol
761465103887765504,2016-08-05 07:33:22,"Gribende at høre røde blok tale varmt om nationalt sammenhold og vort sprogs malmfulde klang. Gid de mente også det, når DR ikke skal spare."
752435594253524992,2016-07-11 09:33:19,"Mere statskontrol med universiteterne (https://t.co/YdVm2AJUX1)? Det bliver uden LA's medvirken.#dkpol"
728146528884293634,2016-05-05 08:57:15,Pokal1 til Aarhus! Nu!
727340342308118528,2016-05-03 03:33:45,Leicester er meicester.
723041393912872960,2016-04-21 06:51:16,"Undervisningsministeriets forståelse af dannelse mangler Kant.#dkpol"
720997271404441601,2016-04-15 15:28:39,"Fordi vi stadig har retsforbeholdet, kan Böhmermann faktisk flygte til Danmark og undgå udlevering til Erdogan og Merkel.#dkpol"
720856732851789825,2016-04-15 06:10:12,"Man skal rose sine politiske modstandere, når de har ret. Så kæmpestort ""like"" til SF for at ville sanere regler i det offentlige.#dkpol"
720160581014175744,2016-04-13 08:03:57,"Det redder ikke Mette F's opdatering at sige, der skulle have stået ""6"" i stedet for ""7"". 6 var en bundkarakter. Ikke middelkarakter.#dkpol"
719630325660454912,2016-04-11 20:56:54,"Der er fire hovedretninger på stx: sort, rød, blå og grøn. #dkpol"
719223432488099841,2016-04-10 18:00:03,"Hvis LA omtaler noget som ""en hjertesag"", vil et medie eller fem omgående spørge Hjerteforeningen, om det virkelig kan passe.#dkpol"
719092145471275008,2016-04-10 09:18:22,"Fremtidens historikere vil omtale denne epoke som ""uddannelseskatastrofens tid"". Eller nej: Der vil jo ikke være nogen.#dkpol"
718145879207776256,2016-04-07 18:38:14,Venstrefløjen: de dårliges og de sløves trofaste forsvarer. #dkpol #dr2debatten
718145478500753408,2016-04-07 18:36:39,"@MetteGjerskov: hvis du vil, men ikke kan, skal du ikke spilde egen og andres tid i gymnasiet."
718143663772147716,2016-04-07 18:29:26,"Gymnasiet er ikke for dem, der vil. Det er for dem, der kan. #dkpol  #dr2debatten"
718139002327547906,2016-04-07 18:10:55,Fokus på læring og fokus på karakterer er det samme. #dkpol  #dr2debatten
717605329241042944,2016-04-06 06:50:17,"Alle lykkelige regeringer ligner hinanden, men den ulykkelige regering er altid på sin egen måde ulykkelig.#dkpol"
715143375733833729,2016-03-30 11:47:22,"Det var ikke meget, Dansk Magisterforening og DJØF fik for de mange penge, de afsatte til at forfølge Esben Lunde Larsen.#dkpol"
714012852370206720,2016-03-27 08:55:04,Det er mandigt at støvsuge sin bil. Ergo støvsuger jeg min bil.
713687284634238976,2016-03-26 11:21:22,@NinaNowack Potato - potato.
713664713406693376,2016-03-26 09:51:41,"Når det gælder holdningen til sommertid, er jeg faktisk socialkonstruktivist."
713386072403783680,2016-03-25 15:24:28,@AndreasKarker: Vorherre bevare os. Og jeg mener det.
713310313874112512,2016-03-25 10:23:26,@ViborgFod @anderssamuelsen Det er uklogt at udelukke noget på dette tidspunkt.
713309853574438912,2016-03-25 10:21:36,@twillumsgaard: Det var et godt ændringsforlag. Tak for det.
713309719591534592,2016-03-25 10:21:04,@anderssamuelsen @ViborgFod  :-(
713306340098187264,2016-03-25 10:07:38,@JensRingberg @anderssamuelsen: Ikke i forhold til Vejle Boldklub. Der er det helt klart mig.
713290220536467456,2016-03-25 09:03:35,@ThomasFunding: Jeg har kun taget stilling til Vejleproblematikken og det manglende DM.
713286317199728640,2016-03-25 08:48:04,"Om fjorten dage vælter jeg regeringen, hvis den ikke gør Vejle til dansk mester i fodbold.#dkpol #jegkanogsåkommemedtrusler"
712937327698526214,2016-03-24 09:41:19,"Det er ganske arrogant at kalde folk, der ved, hvad de taler om, for ganske arrogante."
712935509492899840,2016-03-24 09:34:05,"Medierne skulle etablere en generel ""Imagine""-overvågning i dag og de følgende dage. Melodien: god. Teksten: umoden og naiv.#dkpol"
712356097680662528,2016-03-22 19:11:43,"Du skal aldrig lytte til folk, der kalder salafisterne ""galninge"". Det er hundrede procent tilregnelige og konsekvente.#dkpol"
712300657328459776,2016-03-22 15:31:25,@LisbethZornig @PiaOlsen: Radikalisering har intet at gøre med fattigdom. Intet.
712195819391361024,2016-03-22 08:34:49,"Den stat, der kommer op af syrebadet ""terrorisme"", er den Carl Schmitt'ske. Så tjek definitionen af ""suverænitet"", før du opdaterer.#dkpol"
710550353289355265,2016-03-17 19:36:20,"Observation efter ti en halv time i folketingssalen: Mange - måske for mange - kolleger synes at mene, at de er på akkord.#dkpol"
709642454824259584,2016-03-15 07:28:40,"I Danmark udløser sandheden ofte skandale, mens løgnen mødes med begejstring.#dkpol"
709387196986482689,2016-03-14 14:34:22,"I Danmark udløser sandheden ofte skandale, mens løgnen mødes med begejstring.#dkpol"
708244602139111424,2016-03-11 10:54:06,"At diskutere nationaløkonomi med venstreorienterede personer, er som at læse avis i blæsevejr.#dkpol"
707930816412852224,2016-03-10 14:07:14,"@C_I_Andersen @PiaOlsen: Ifm. brede reformer sænkede man også marginalskatten i Sverige. Stor succes. ""Gang i 90'erne"": også lavere topskat."
707870248066805761,2016-03-10 10:06:33,"@LarsHNielsen2 @ThomasBerntH @PiaOlsen. Jeg har ikke noget ""emperi"". Men empiri er her: https://t.co/vyZ6SZhx3J"
707863647993864192,2016-03-10 09:40:19,Du kan også læse denne: https://t.co/vyZ6SZhx3J. LA's plan for at redde velfærdsstaten ligner meget den svenske. https://t.co/IJDuLKkvuK
707862241996054528,2016-03-10 09:34:44,https://t.co/rhPvhU9Ekd https://t.co/IJDuLKkvuK
707860207129513984,2016-03-10 09:26:39,@PiaOlsen: Du bør sætte dig bedre ind i de meget veldokumenterede skadevirkninger af høje marginalskatter. De er voldsomt hæmmende for vækst
707852895006400517,2016-03-10 08:57:36,"Folk har knive i ærmet til KL's topmøde. Højre ærme, altså. I venstre skal der være plads til gaflen.#dkpol"
707831214166646788,2016-03-10 07:31:26,"Jeg tror, det er på tide at tale åbent og samlet om disintegration. Hvem der skaber den. Hvordan den kan bekæmpes.#dkpol"
702842064141160448,2016-02-25 13:06:20,"ALT har lige understreget, at politiske beslutninger skal bygge på videnskab. Så må man vel droppe støtten til alternativ medicin? #dkpol"
702794568283103233,2016-02-25 09:57:37,"DF siger, at kvælstofloven godt kunne have haft en læsevejledning. Andre hører det vist som en næsevejledning. #dkpol"
701406052974202881,2016-02-21 14:00:09,"I politik betyder ""jeg skammer mig"" rettelig: ""Du skal skamme dig!""#dkpol"
