id,created_at,text
779210878164070400,2016-09-23 06:48:45,Buen genåbnes. Det er en del af budgetforliget #tvsyd #dkpol #trekanten #jvdkkoldingrss #lokalavisenkol… https://t.co/XUPH961Ky1
768697114083811328,2016-08-25 06:30:48,Kulturnat i morgen kl. 15 til 20 på hjørnet af Bredgade/Adelgade #tvsyd #trekanten #jvdkkoldingrss #lokalavisenkol https://t.co/KDtKeUcR2b
767345366413049856,2016-08-21 12:59:26,Lad os få genåbnet Buen i Kolding https://t.co/hCzfyJrVJC #tvsyd #dkpol #trekanten #jvdkkoldingrss #lokalavisenkol #ugeavisen_6000
766985324966785024,2016-08-20 13:08:46,Dansk Folkeparti 18 år i Kolding Byråd. 1998 - 2016. https://t.co/MK1Lq9eYqv #tvsyd #jv #dkpol #kolding #trekanten
760832553003655172,2016-08-03 13:39:50,"RT @espersendf: Frankrigs regering tvangs-lukker nu 20 moskeer. DF forventer, at Søren Pind nu også gør sin pligt og ser at få lukket Grimh…"
752190826726424576,2016-07-10 17:20:42,Det er jo vejr til at besøge museer. @Koldinghus er et godt bud. De gør det fremragende https://t.co/VTgxMW0Gl4 #Kolding #tvsyd #dkpol
751316820141961216,2016-07-08 07:27:43,Kolding Kommune har fået en værdighedspolitik https://t.co/5p8FJi52H3 #tvsyd #drtrekanten #dkpol #jvdk
751160482489327616,2016-07-07 21:06:29,Hjemmeværnet bør værdsættes https://t.co/T0SZkGJSBw #drtrekanten #tvsyd #dkpol #kolding #hjemmeværnet @Hjemmevaernet @hjemmevaern
750743812054589440,2016-07-06 17:30:47,Sommerhilsen fra borgmesterkontoret https://t.co/yHrnyBVHAU #tvsyd #drtrekanten #jvdk #kolding #dkpol
747098028167798784,2016-06-26 16:03:44,Ingen asylcenter i Kolding #dkpol #tvsyd #drtrekanten #jvdk https://t.co/CJzWgPW5Bj
744180125873356804,2016-06-18 14:49:02,Socialdemokraternes lempelser af udlændingepolitikken er erstattet af stramninger https://t.co/Da5NCn5ZtU #tvsyd #drtrekanten #dkpol #JV
741259676239712257,2016-06-10 13:24:13,I morgen er der kage i Koldings gågader #dkpol #Kolding #tvsyd #JV #drtrekanten https://t.co/8AdzaZI5oQ
739505649751592960,2016-06-05 17:14:20,God Grundlovsdag (og farsdag): https://t.co/3pF52ZR2xm #dkpol #Kolding #tvsyd #JV #drtrekanten
738591350472347648,2016-06-03 04:41:14,God oversigt over værdighedsmillionerne i #Kolding https://t.co/1tHs307na9 #tvsyd #drtrekanten #dkpol
738416245066850304,2016-06-02 17:05:26,Seniorudvalget har fordelt værdighedsmillionerne https://t.co/oAUZqYPbLT #tvsyd #drtrekanten #dkpol #JV
734463246703415298,2016-05-22 19:17:38,Igen urimelige fordele for udlændinge https://t.co/eYGot2Gxxb #dkpol #JV #drtrekanten #tvsyd
733332068717998080,2016-05-19 16:22:44,Husk du kan besøg Dansk Folkeparti i Kolding kommune på https://t.co/Nbvou9sVxi #tvsyd #drtrekanten #JV #dkpol #kolding
732550605818990592,2016-05-17 12:37:29,Dyrene - vores ansvar https://t.co/OICkGJlU1N #tvsyd #JV #drtrekanten #dkpol
732209665090723840,2016-05-16 14:02:42,Virkeligheden kræver samarbejde https://t.co/mS07yBidNI #tvsyd #dkpol #JV #drtrekanten
729726927796318208,2016-05-09 17:37:11,Ingen særlige fordele til flygtninge/migranter https://t.co/yMRcQAsHii #dkpol #tvsyd #kolding #JV #drtrekanten
728618474449317888,2016-05-06 16:12:36,Gik du glip af Kristian Thulesen Dahls tale 4. maj i Kolding? Så er den her https://t.co/ZjiMysr1Vp #tvsyd #drtrekanten #JV #dkpol
727446733660278784,2016-05-03 10:36:31,Fejring af Danmarks befrielse 4. maj 2016 i Kolding https://t.co/vwrMLFAxdE #drtrekanten #tvsyd #kolding #dkpol
726737948008439808,2016-05-01 11:40:03,RIGTIG GOD 1. MAJ #dkpol #drtrekanten #tvsyd #Kolding #1maj https://t.co/FhA03mm5Bo
723538993422458880,2016-04-22 15:48:33,Slaget ved Kolding markeres i morgen https://t.co/YN8z0wvmv1 #tvsyd #kolding #drtrekanten #dkpol
718777269276262404,2016-04-09 12:27:09,9. april tid til at mindes dem der kæmpede for vores frihed og de der gør det i dag https://t.co/6mRpjqYK6b #tvsyd #jvdk #dkpol #drtrekanten
716168887197376512,2016-04-02 07:42:23,"Hvad synes du vi skal bruge 15,3 mio. kr. til på ældreområdet ? https://t.co/qdNabTpHk9 #tvsyd #drtrekanten #jvdk #dkpol #kolding"
712352866950901764,2016-03-22 18:58:53,Endnu et terrorangreb. Tid til handling: https://t.co/8YFIdQQcrP #dkpol #tvsyd #drtrekanten #jv
711474107540480000,2016-03-20 08:47:00,Så er det snart tid til generalforsamling i Dansk Folkeparti i #Kolding kommune: https://t.co/hWVfy23eZR #tvsyd #jv #drtrekanten #dkpol
710895757600096257,2016-03-18 18:28:51,Tænk på danskerne i stedet #tvsyd #drtrekanten #dkpol https://t.co/PVHQryN4IM
707205208309436416,2016-03-08 14:03:55,God #kvinderneskampdag https://t.co/yKRLbx402s   #tvsyd #drtrekanten #jv #kolding
706408547672842241,2016-03-06 09:18:16,Gratis internetblad https://t.co/5j6mBt25vw Læs bl.a. om gratis foredrag om demens. Begge dage kl. 13 til 15. #tvsyd https://t.co/AMOQSOhwgQ
705319189112877056,2016-03-03 09:09:33,Tag med til idemøde om nye svømmefaciliteter i Kolding Kommune https://t.co/XroZbYW1ni #dkpol #tvsyd #drtrekanten https://t.co/UGWGV8GgIq
700606253672759296,2016-02-19 09:02:02,Jeg bakker op om ønsket om et Hospice i Kolding Kommune https://t.co/xqY3YUnW5Z #dkpol #tvsyd #drtrekanten
700368249205231617,2016-02-18 17:16:17,En hilsen fra borgmesterkontoret i vinterferien https://t.co/psd6MGbzZ0 #tvsyd #drtrekanten #dkpol
699242849318076416,2016-02-15 14:44:21,Kongeligt besøg i Kolding til november https://t.co/0UWXmXyQIA #dkpol #tvsyd #drtrekanten
698945715830181908,2016-02-14 19:03:39,God Valentinsdag #dkpol #tvsyd #jvkolding #drtrekanten https://t.co/ImR4MBG6nW
698535816923103232,2016-02-13 15:54:51,Vi er kommet et skridt nærmere https://t.co/NlJol4FUum #dkpol #tvsyd #drtrekanten
697442443361415168,2016-02-10 15:30:11,10. februar er afstemningsdag: https://t.co/vtwRe8anlp #dkpol #tvsyd #drtrekanten
