id,created_at,text
785966640466956288,2016-10-11 22:13:44,Er der nogen som ved om vi gør det godt i curling?
785966339039096832,2016-10-11 22:12:32,En del af en større fiasko.. #danmon #DBU
785965966157053952,2016-10-11 22:11:03,"RT @mjohnsondk: Inspireret af Paul Ryan. Jeg gider ikke forsvare landsholdet i morgen, men jeg skal nok stemme på dem."
785936831187681281,2016-10-11 20:15:17,Er der en kendelse som er gået vores vej i denne kamp? #DANMON
785933168541044738,2016-10-11 20:00:43,"Meget kan man sige om Sanka, men han er god til at være i vejen.."
782170425962930177,2016-10-01 10:48:56,Jeg er netop blevet opstillet som nummer 2 på den socialdemokratiske liste til byrådsvalget i Odense. Det er jeg mega glad for og stolt over
710217396171177984,2016-03-16 21:33:17,"If at first you don't succeed,Try, try, try again."
690863208882638848,2016-01-23 11:46:39,"RT @Rahbaek: I dag har jeg meddelt mit parti, at jeg står til rådighed som kandidat til borgmesterkandidat #dkpol #Odense"
690304973255655424,2016-01-21 22:48:25,RT @Rahbaek: Ankers Boyes engagement for Odense taler for sig selv. Stor respekt og anderkendelse for et langt politisk liv i byens tjenest…
605076886037917697,2015-05-31 18:22:26,Det er godt nok en rystet og usikker Lars Løkke #tv2valg
603900656458584064,2015-05-28 12:28:31,"RT @missjeanettdk: @larsloekke overtræder flere af Facebooks  regler i en enkelt opdatering@DRNyheder @tv2newsdk @tv2fyn #dkpol #fv15 http…"
555408520330612736,2015-01-14 16:58:04,@Guldfeldt :)
555408467574677504,2015-01-14 16:57:52,@Guldfeldt var det ikke lige det manden sagde?
555408027889983488,2015-01-14 16:56:07,Så har Odense lige købt et kraftværk! #odensepol #tv2fyn
554757804880580609,2015-01-12 21:52:22,"Det er blæst op, at give vinden et navn hver gang det stormer lidt i DK - den værste orkan er dog den mediestorm, der har ramt kronprinsen"
520377111321001984,2014-10-10 00:55:46,"Demokratisk valgte medlemmer af DKs parlament, forslår at vi ikke skal modtage flygtninge, men sende dem til lejre i Afrika... skam jer.!"
512292063317327874,2014-09-17 17:28:40,@Guldfeldt jeg vil stilfærdigt gøre opmærksom på at da en C borgmester genåbnede vandkulturforliget var det i medierne #odensebudget
512291189153103872,2014-09-17 17:25:12,RT @MissJeanettBlog: Venstre i Odense vil faktisk have 60/40 (dagpleje). Når 78% af borgerne ønsker vuggestue. Det giver jo INGEN mening #o…
512290404965044225,2014-09-17 17:22:05,@Guldfeldt jeg mener at fjernelse af besparelsen på 25-30 mil var af afgørende betydning for skolerne. Processen kunne have været bedre.
512288432299970560,2014-09-17 17:14:14,V taler om at skabe en balance imellem dagplejer og daginstidutioner på 60/40 den er i dag 50/50 - sjov brug af ordet balance #odensebudget
512273172696416256,2014-09-17 16:13:36,@ChliLilleholt ærgerligt for Odense! #odensebudget
512270330438905856,2014-09-17 16:02:18,Alex Ahrendtsen om Venstre: Snevide og de syv gnavpotter - kom nu hjem! Gå med i TBT forliget #odensebudget
512256511553576960,2014-09-17 15:07:24,@BrianDybro om venstre: Hvor var det det dog godt at deres bagudskuende leverpostejsfarvede politik ikke blev til noget! #odensebudget
512253753995849728,2014-09-17 14:56:26,@BrianDybro bander endnu engang i byrådssalen :) @AnkerBoye's klokke forbliver tavs #odensebudget
512252448325787648,2014-09-17 14:51:15,"@steenmoller det er en god ide, jeg er også træt af kropslunet leverpostej #odensebudget"
512250729218969600,2014-09-17 14:44:25,"Sjovt som de partier der har en rådmand altid kæmper for deres områder, vi er EN kommune for pokker! #odensebudget"
512249825732362240,2014-09-17 14:40:50,"Brian fra Ø har lært af kapitalisternes markedsføring han gentager Ø's slogan ""fællesskab fungere"" så ofte at jeg husker det #odensebudget"
512248678904758272,2014-09-17 14:36:16,"De konservative vil have køleskabe i alle skoleklasser: ""De konservative køleskabe"" det kan man kalde et budgetfingeraftryk #odensebudget"
512244724036804608,2014-09-17 14:20:33,V valgte slet ikke at kommentere tilbudet om at gå ind i TBT.forliget til gengæld kom de med en historisk dyr ønskeliste #odensebudget
512243957188034561,2014-09-17 14:17:31,RT @Khuttel: Venstres ordfører kommenterede ikke forslag fra Anker Boye om at gå med i aftalen om at lukke Thrige-gaden.#odensebudget
512242657369006080,2014-09-17 14:12:21,RT @borkschmidt: Vigtigste og første punkt fra DF er så at Odense skal med i FilmFyn... Så fokuserer vi da nok på de små problemer #odenseb…
512242427403726849,2014-09-17 14:11:26,@ChliLilleholt det er den dyreste budgettale jeg har hørt! Har I regnet på hvor meget jeres forslag vil koste?#odensebudget
512241814058065921,2014-09-17 14:09:00,DF vil nu bruge de penge vi bruger på havnebadet til at renovere broer jeg tror at det er tredje gang de bruger de penge #odensebudget
512239867649327104,2014-09-17 14:01:16,@MarkGrossmannV har vi ikke det i forvejen Mark? #odensebudget
512238946450145280,2014-09-17 13:57:36,Venstre vil lukke vuggestuer! Gad vide hvilke de har tænkt sig at lukke? #odensebudget
512238616790462464,2014-09-17 13:56:17,@LucasKrogh @AnkerBoye det ville være bedst for byen at vi stod sammen!
512237469623156736,2014-09-17 13:51:44,"@ChliLilleholt prøv lige at lave ""ikke-testen"" på det tweet #odensebudget"
512237066579894272,2014-09-17 13:50:08,Bo Libergreen fra venstre vil stoppe røde bølger - er det mon vælgervandringer han taler om!? #odensebudget
512236398532100096,2014-09-17 13:47:28,"@Guldfeldt alle løsninger er blevet undersøgt og har været vendt, nu skal vi skaffe investeringer #odensebudget #tv2fyn #stopvalgkampen"
512235142237388800,2014-09-17 13:42:29,"RT @volmerfyens: Ikke en eneste demonstrant før byrådsmødet. En helt ny oplevelse. Sidste år blev rådhuset fyldt med utilfredse forældre.#…"
512234867544039424,2014-09-17 13:41:23,"@Guldfeldt alle mulige løsninger har været undersøgt og er blevet vendt, nu handler det om at stå sammen om at skaffe investeringer til byen"
512233729855860736,2014-09-17 13:36:52,@ChliLilleholt når man hører på jer lyder det til at bilen er menneskets bedste ven - jeg tror at hunden er slemt skuffet #odensebudget
512233055025922048,2014-09-17 13:34:11,"@Guldfeldt jeg tror ikke på alt den snak om at køre igennem et p-anlæg i fuld fart, gaden er lukket lad os se fremad #odensebudget"
512231789923172352,2014-09-17 13:29:10,@Guldfeldt kom nu ind i kampen for at få V med så byen kan stå samlet om de store forandringer! #odensebudget
512231091382808576,2014-09-17 13:26:23,Peter Rahbæk: Odense er ikke faldet i asfaltsprædikanternes sorte hul! :) #odensebudget
512228986064470016,2014-09-17 13:18:01,Venter spændt på hvad Jane Jegind siger til Anker Boyes udstrakte hånd! Gaden er lukket nu må vi se fremad i fællesskab. #odensebudget
512227443651141632,2014-09-17 13:11:53,@AnkerBoye har netop inviteret Jane Jegind med ind i forliget om Thrigesgade! #odensebudget #tv2fyn #odensepol
512226492982779904,2014-09-17 13:08:07,"Anker skyder budgetforhanlingerne i gang, rådhussalen er fyldt og jeg har hamstret småkager og gemt dem i skuffen #odensebudget #odensepol"
502113994250137600,2014-08-20 15:24:39,Jane Jegind vil ikke have børn i havnebadet! Hun er bekymret for pøller i poolen!
502113506020581377,2014-08-20 15:22:43,R vil opvarme havebadet med solcelleanlæg for at forlænge seasonen. Anker Boye konstatere at det dog vil forkorte seasonen for vinterbadere
502112673254084608,2014-08-20 15:19:24,@Guldfeldt spændende hvor mange gange at DF tror at de kan bruge havnebadspenge på andre løfter! #tv2fyn #odensepol
502112018401615872,2014-08-20 15:16:48,@Guldfeldt ja! Det gør jeg gerne igen!
502111750154891265,2014-08-20 15:15:44,Alex Asfalt Ahrendtsen (DF) vil hellere bruge penge på mere asfalt end på et havebad #tv2fyn #odensepol
502110251316162560,2014-08-20 15:09:47,"Hørt på byrådsmødet, Brian Dybro (sf): Jeg hopper gerne i havnen, hvis bare rådmanden hopper med! #odensepol #tv2fyn"
501660279437295616,2014-08-19 09:21:45,@Guldfeldt når vi hører fra borgere at de føler sig behandlet som sager - ikke mennesker må vi arbejde og kommunikere anderledes #odensepol
501658634997485568,2014-08-19 09:15:13,Beskæftigelsesregionen vurderer at vi får 1000 flere i beskæftigelse i Odense i 14 og 15 end årene før!
501644104422674432,2014-08-19 08:17:29,Hvis sagsbehandlere skal behandle mennesker - ikke sager - skal vi så kalde dem for menneskebehandlere?
498426968061509633,2014-08-10 11:13:44,"@Carl__Valentin så meget desto mere grund til at afvente dagpengekomissionens rapport, så man kan få de borgerlige partier med i et forlig."
498416701806215168,2014-08-10 10:32:56,@Carl__Valentin Det måtte hun jo give R til gengæld for statministerposten. En aftale SF i øvrigt var med til at forhandle hjem!
498415772377833472,2014-08-10 10:29:14,Havd pokker er nyheden i at Thorning ikke vil ændre i dagpengereformen? Det måtte hun jo give R til gengæld for statministerposten #dkpol
497812257972445186,2014-08-08 18:31:05,"@TimVermund: Tror snart at Venstre må overveje om der skal stå ""liberale"" i deres navn: Venstre Danmarks liberale parti! #dkpol"
496748208966885377,2014-08-05 20:02:56,"RT @AnkerBoye: For en god ordens skyld, jeg deler ikke LA's narkoudmelding i dagens Politikken, det er en kontroversiel borgerlig udmelding…"
496739499054211072,2014-08-05 19:28:20,"@Guldfeldt du har ret, han har linket til artiklen, men han deler ikke LAs holdning."
496737242464157696,2014-08-05 19:19:22,"@Guldfeldt det Anker mener er.. :) Han har bare reetweetet nyheden, han og S. støtter den ikke #odensepol #tv2fyn"
494059666608226304,2014-07-29 09:59:38,Ø vil have Odense kommune til at boykotte varer fra Isreal - gad vide om vi overhovedet køber noget derfra? #odensepol #symbolpolitik
493652258270494721,2014-07-28 07:00:44,"Det lader til at Venstre er ved at klargøre deres politik, til at få DF med i regering. Skræmmende. #dkpol"
484788040586756097,2014-07-03 19:57:30,Man savner efterhånden lidt fodbold i tv..
483589438690574337,2014-06-30 12:34:41,RT @Rahbaek: Trafikal dommedag er udeblevet første hverdag uden Thriges Gade! #odenselever #arbejdsløsdommedagsprædikant #venstrefejl #oden…
483589157777055744,2014-06-30 12:33:34,"Kan ikke se problemet i at jobcenteret giver råd om piercinger eller hygiejne, hvis de vurderer, at det vil hjælpe folk i arbejde! #dkpol"
483537329513308160,2014-06-30 09:07:37,"@FodboldFM @munklund skulderklap til fodboldFM i gør, at jeg altid glæder mig til mandag aften! #fodboldfm"
483296385518034944,2014-06-29 17:10:12,@MVindfeldt I Odense har vi sparet 15% af budgettet på 4 år og har landets højeste arbejdsløshed vi har tabt i KL lotteriet hvert år #dkpol
483294539030224896,2014-06-29 17:02:51,@MVindfeldt @Kongegaard tænk på de kommuner der må spare fordi alle arbejdspladser er lukket og alle unge er flyttet #dkpol
482986555335012353,2014-06-28 20:39:02,RT @jakobfaust: Hvad fylder en film med Suárez? 2 megabite.
482986136361766913,2014-06-28 20:37:23,RT @MissJeanettBlog: Så er Thomas B. Thrigesgade lukket! Fantastisk!  Det bliver så godt! #fragadetilby #thomasbtrigesgade #Odense http://t…
482904112452091904,2014-06-28 15:11:26,Lad Odense i al fremtid blive optimismens by. I dag er startskudet til en ny fortælling i vores by! #tv2fyn #tbtgade #odensepol
482902870514475008,2014-06-28 15:06:30,"@Kongegaard @MVindfeldt De værste spareår er forbi, men vi har alle ansvaret for at børnene på f.eks Langeland får en ordentlig opvækst."
482901640455151616,2014-06-28 15:01:37,"@Kongegaard @MVindfeldt det er klart bedst, at sørge for at resten af landet kan brødføde sig selv, men er indtil da fortaler for udligning"
481870716988825600,2014-06-25 18:45:06,"@MVindfeldt nu strammer du den vist, jeg anerkender hovedstadens som vækstmotor, men vi skal have et velfærdssamfund i hele DK"
481828567475838977,2014-06-25 15:57:37,"Fjernvarmeprisen bliver nu sat ned, fra 4 kr per kubikmeter til 3,60 kr så er der lidt at varme sig over #tv2fyn #odensepol"
481826888667906050,2014-06-25 15:50:56,Nu slås rådmændene igen om hvem der skal betale mest til fællesskabet. Vi et en kommune for pokker! #odensepol #sektorisme
481825640833101825,2014-06-25 15:45:59,"@Guldfeldt der er intet vigtigere for os socialdemokrater, end at få arbejderne i arbejde og det går den rette vej nu! #tv2fyn #odensepol"
481824157232295936,2014-06-25 15:40:05,@OlesenJacob eller toiletter som ikke er så klamme at eleverne holder sig hele dagen. Lad os se hvad budgetforhandlingerne bringer.
481823672609828864,2014-06-25 15:38:10,"@MVindfeldt hvem var det som sagde, når viden raser kan man bygge læhegn eller vindmøller. Væksten i storbyerne er godt for Dk #kompoldk"
481821985715269632,2014-06-25 15:31:27,Befolkningen i Odense er stærkt stigende. Byen får 200 nye borgere hver måned! #odensepol #TV2Fyn
481821024661811201,2014-06-25 15:27:38,Odense kommunes økonomi ser ok ud. Vi har et mindreforbrug på 11mio. og vores ledighed er faldet mere end på landsplan. #odensepol #TV2Fyn
481818704511266817,2014-06-25 15:18:25,"Sprogdoktor Anders W. savner variation i superlativerne i byrådssalen. Ordet ""rigtig"" blev sagt 7 gange i seneste indlæg #odensepol #retorik"
481817972689088512,2014-06-25 15:15:31,"Byrådsmødet: Vi drøfter hvordan vi kan skabe sammenhæng imellem lægeuddannelsen, udvikling af velfærdsteknologi og det nye OUH! #odensepol"
479565142070665216,2014-06-19 10:03:34,"Prinsgemalen lo af min joke, tror ikke at han hørte hvad jeg sagde, men han anerkendte mit forsøg på at komme med en vittighed! #tv2fyn"
479551076220547072,2014-06-19 09:07:40,Har lige givet dronningen hånden! Hun er virkelig bløde hænder. Jeg sagde mit navn hun sagde goddag :) #tv2fyn #odensepol
478789124691066880,2014-06-17 06:39:57,"Danmarks helt egen superhelt Hans Pingaard! De svages beskytter, hold kæft hvor er han sej!"
478298429446422528,2014-06-15 22:10:06,"Når verden lukkes ind, bygger vi bro fra sind til sind. Odense har fået sin nye bro #odensepol #tv2fyn http://t.co/eebf9w7Xis"
477858966148763648,2014-06-14 17:03:50,RT @offenbax: Lasse Nielsen to år til OB - fyens.dk - Sport http://t.co/jTMy271uf6 #sportfyn
477841662023319552,2014-06-14 15:55:04,"Håber på Grækenland, de trænger til noget at mundre sig over #vmsportfyn"
477830320914726912,2014-06-14 15:10:00,"0-0 Det græske forsvar bliver lige så svært at åbne, som en dåsetun med en ske og Columbia er uden deres skarpeste våben Falcao #vmsportfyn"
477552992179474433,2014-06-13 20:48:00,@Rahbaek hvad mener du?
477551940898152448,2014-06-13 20:43:49,Spanien er ved at tik og tak af! #sambabold
477551541147414528,2014-06-13 20:42:14,Husk på 84 og 86 græder tørre tåre for Spanien #vmsportfyn #sambabold
477549303096160256,2014-06-13 20:33:20,RT @Rahbaek: Holland gør sig virkelig lækre! Lidt mere hår og moustage så lugter det af EM 88 og guld! #ruudgullitstyle #sambabold
477548193585319938,2014-06-13 20:28:56,Los Reyes caen - kongerne falder! #vmsportfyn #sambabold
477537689944985600,2014-06-13 19:47:12,VMs flotteste mål! Mere af det tak! #vmsportfyn #sambabold
477536260798820352,2014-06-13 19:41:31,Savner Claus Bo Larsen #sambabold #vmsportfyn #bedredommere
477533698410446848,2014-06-13 19:31:20,Hold nu op med at filme! I er voksne mænd skam jer! #sambabold
477531387176960001,2014-06-13 19:22:09,RT @JesperPeden: Sidder også i sofaen og buuh'er af Diego Costa når han har bolden! #sambabold #dårligstil #fravælgerBrasilien #forstårdeti…
477530771184693248,2014-06-13 19:19:42,@Kongegaard Spaniens hjemmetrøje er rød... Det er kun i politik man ikke kan kende forskel på rød og blå :)
477528904794914816,2014-06-13 19:12:17,Hvorfor i alverden er begge hold i udebanedragter? Man kan da sagtens se forskel på hvid og orange - eller rød og blå! #sambabold
477527888661860352,2014-06-13 19:08:15,RT @frederik_pihl_a: Jeg er umådeligt begejstret for Beverly Hills-spillerpræsentationen! Krydslagte arme får selv Iniesta til at se hård u…
477527222438600705,2014-06-13 19:05:36,Håber på hårde hollandske taklinger og seværdige spanske specialiteter! #sambabold
477525835654897664,2014-06-13 19:00:05,"Alle siger at Holland vil skuffe, lad os nu se, de fleste hold må alligevel frygte et angreb med Schneider, Van Persie og Robben! #sambabold"
477521749626867712,2014-06-13 18:43:51,"Lad os håbe på bedre dommere, det har været langt fra verdensklasse de sidste to kampe! #sambabold"
477521247270891520,2014-06-13 18:41:51,"Det må være en speciel oplevelse for Diego Costa, at løbe på banen i aften tror at han får en hed modtagelse i Brazil #sambabold"
477202765434073088,2014-06-12 21:36:19,Hvem kommentere kampen? #sambabold
477200667296411649,2014-06-12 21:27:59,RT @LarsJ3: Den helt store stjerne til dette VM? STREGEN der forsvinder! #vmdk #sambabold
477199985675894784,2014-06-12 21:25:17,Vi vil have mere sambabold kom nu i gang! #sambabold
477199073662230528,2014-06-12 21:21:39,Yay mit Tweet kom i tv http://t.co/W6M681dMcZ
477194817987170304,2014-06-12 21:04:45,"Gad godt, at de danske spillere havde samme udtryk i ansigtet som de brasilianske når landssangene synges #sambabold"
477193871383072768,2014-06-12 21:00:59,Fed start på VM! Godt at det første mål ikke blev det sidste! Ville seriøst være bange for Marcelos heldbred med selvmål i Brazil #sambabold
477182597630799872,2014-06-12 20:16:11,Man skal aldrig undervurderer Balkan! #sambabold #vmdk
477154683208085504,2014-06-12 18:25:16,@mattiastesfaye kun dejligt at Basim har vundet flaget tilbage fra DF!
