id,created_at,text
793484919464951808,2016-11-01 16:08:41,Giv en ekstra cadeau til pædagoger i dit barns #dagtilbud og indstil det til #åretsdagtilbud https://t.co/CRBWKWsvVX #bhvchat
793476336039890944,2016-11-01 15:34:35,RT @UFM_UDD: Ny portal skal støtte integration af flygtninge: samler info om muligheder for kompetenceafklaring og #uddannelse https://t.co…
793469675179020290,2016-11-01 15:08:07,Video med gensyn mellem pædagog og nu voksent barn er også nået ud over den danske grænse: https://t.co/uvScyx2ABr #bhvchat
793441666925522949,2016-11-01 13:16:49,"Bliv klogere på arbejdet med at tiltrække, fastholde og rekruttere mandlige pædagoger til fagseminar #bvhchat https://t.co/ij8lEAI48c"
793117355975045120,2016-10-31 15:48:07,RT @DKPolitik: Videoen deles igen og igen: Kendte overrasker deres tidligere pædagoger for at sige tak: https://t.co/Ewe2WqSznI https://t.c…
793105452997279744,2016-10-31 15:00:49,JP omtaler video fra kampagne 'Pædagoger for de yngste gør en forskel for livet'  #bvhchat https://t.co/8mNCH9PZFd
793095775337246720,2016-10-31 14:22:22,.@EllenTraneNorby besøger @eeodks rollemodeller på Sorø Borgerskole #eud #faglært https://t.co/fGdTAgn0a1 https://t.co/TiKNjIawKX
793072324585066496,2016-10-31 12:49:11,"RT @btdk: Video deles igen og igen på Facebook: 'Tak fordi, du var min pædagog' https://t.co/lL6yIZez56 https://t.co/9zPudAXKoI"
793068652979445766,2016-10-31 12:34:36,"Gør ligesom mere end 150.000 andre: Se video fra @UVM_dk s kampagne @paedagogergoerenforskelforlivet #bhvchat: https://t.co/lBsHN5iuyO"
791913983192293376,2016-10-28 08:06:21,Til udskolings- og ungdomsuddannelseselever: Deltag i konkurrence med fokus på kærestevold blandt unge #skolechat https://t.co/tyV76rWsty
791291475376078848,2016-10-26 14:52:43,RT @UFM_UDD: Har du interesse i regeringens kommende #sprogstrategi? Tilmeld dig konference 17/11. Program + tilmelding: https://t.co/zTm8D…
791209868451520512,2016-10-26 09:28:27,"RT @ClausROlsen: @Formand_DSE kickstarter DM i Fagene: ""Det skal være lige så sejt at vinde på faglighed som på fodboldbanen"" #uddpol @Dans…"
791209395526959104,2016-10-26 09:26:34,.@EllenTraneNorby lancerer sammen med @Formand_DSE og @dselever DM i Fagene i dag: https://t.co/UJ0PMP0l8I #skolechat #destoltenørder
790880704544604161,2016-10-25 11:40:28,"RT @Gymnasieskolen: @EllenTraneNorby: Vi skal blive langt bedre til at fortælle børn og unge, hvorfor det er vigtigt at kunne flere sprog h…"
790872202937790464,2016-10-25 11:06:41,"RT @regeringDK: Ellen Trane Nørby lancerer nyt kodeks: ”Det er ikke cool at være en del af dem, der deler videre!” https://t.co/eq6aAxEQCC…"
790869439998754816,2016-10-25 10:55:42,.@EllenTraneNorby fortæller om etisk kodeks mod deling af krænkende materiale på #gym og #eud  - Find det her:… https://t.co/kF95dS3FKV
