id,created_at,text
788599299617718272,2016-10-19 04:34:59,"@PhilipTietje har de ikke tillid til vores info dem har de været glade for nu, du vrøvler Philip."
788096201476407296,2016-10-17 19:15:51,@PhilipTietje jeg snakker om alt det kriminelle her har vi begge brug for hinandens informationer alt andet vil være tåbeligt.
787973863783165952,2016-10-17 11:09:43,"@PhilipTietje fakta er når du sætter 2 parter til at forhandle om noget de ikke ønsker hvad tror du så resultatet bliver, det er logisk."
787350872372240384,2016-10-15 17:54:10,"@PhilipTietje du blev tavs, det er fordi vi har nogle forhandlere der ikke vil et resultat, de vil hellere svine DF til."
787305617409081344,2016-10-15 14:54:21,"@PhilipTietje begge parter har brug for hinandens info så det er kun et spørgsmål om vilje, men Venstre ønsker kun folkeafstemning."
787304417049645057,2016-10-15 14:49:35,"@PhilipTietje begge parter har brug for hinanden, så derfor findes en løsning, såfremt viljen er til stede."
787302057292201984,2016-10-15 14:40:12,@PhilipTietje når begge parter i en forhandling ikke ønsker et resultat så bliver der ingen resultat sådan er det i EU/Venstre
721776761864908800,2016-04-17 19:06:04,@PhilipTietje enig Philip
665201753244176384,2015-11-13 16:17:11,"@KofodPeter enig Peter hellere i dag end i morgen, der skal ske noget nu."
661575407846690816,2015-11-03 16:07:23,"@AndersLadegaar1 stort nej fra mig, alt andet vil være en skandale"
649944559645028352,2015-10-02 13:50:33,"@KofodPeter alle politikere må kun sige sandheden, det kan aldrig gradbøjes."
628176711901945856,2015-08-03 12:12:53,"@KofodPeter Hej Peter et rigtigt godt sommermøde i denne dejlige by, som vi begge to elsker at komme i, fortsat god sommer."
628176145142431746,2015-08-03 12:10:38,@KofodPeter @DanskDf1995
616595655503519744,2015-07-02 13:13:54,"@KofodPeter det er jeg ikke i tvivl om, god sommer."
616584316445962240,2015-07-02 12:28:51,"@KofodPeter  god kamp, vi har store forventinger til dig."
607613634748026880,2015-06-07 18:22:34,Hvornår laver i en retfærdig fordeling imellem Løkke og Helle hun får lov til at betale betydelig mere endvidere afbryder hun. #DRdinstemme
531756465938120704,2014-11-10 10:33:15,"Nej vi har ikke råd, når vi skal spare konstant på vores egne svage i samfundet #dkpol"
509428331373412352,2014-09-09 19:49:13,"@AndersVistisen @KofodPeter @DFUngdom stort tillykke, han er bare en dygtig fyr."
448798679018012672,2014-03-26 12:28:38,@KofodPeter Når man ikke kan klare sig er det desværre nogle der bliver onde
394830463161741312,2013-10-28 14:18:12,"Hvad laver TV Syd, der er orkan i Syd Danmark, sidder i og hygger jer inde i varmen ?"
394829906049134592,2013-10-28 14:15:59,"Hvor er News, der er orkan over syd danmark lige nu, de hygger sig i København"
391934959394377728,2013-10-20 14:32:30,"Hej Løkke for dig ville det være (løkken) at lære af dine fejl, du skal ikke blive ved at gentage dem."
391931468026372096,2013-10-20 14:18:38,"Løkke, undskyld,undskyld, nu har vi snart hørt nok om det, men du bliver jo ved med at lave de samme fejl, det er manglende dømmekraft"
391522554466144256,2013-10-19 11:13:45,"@PoulOlsen2 Den danske folkeskole er alt for sløv, hvor er der diciplin, dem der kommer sidst i skole hver dag er lærerne."
391521731153641472,2013-10-19 11:10:29,"@sorenpind @berlingske Løkke er en skandale for det danske samfund, han sørger for at få mest ud af det selv, han er ikke en statsmand"
390851778930941952,2013-10-17 14:48:20,"@SjylPoliti Der ser vi det igen det er på høje tid vi får mere grænsekontrol, som det er nu er det svært at være politi"
390743060356673537,2013-10-17 07:36:19,"@JakobAndresenDR Det undrer mig at alle Løkkes løjtnanter bliver ved med at bakke ham op, han er et stort Ego der mest meler sin egen kage."
390471121083957248,2013-10-16 13:35:44,@sorenpind Fyr Lars Løkke hans ego skader jeres parti
390470566542467073,2013-10-16 13:33:32,#tvsyd  Alle ældre eller handicappede som ikke kan tale deres egen sag bør de pårørende respekteres 100 % som talerør overfor myndigheder.
390469387380981760,2013-10-16 13:28:51,#tvsyd  Ved overværelse af byrådsmødet i Aabenraa oplevede jeg en meget arrogant borgmester Tove Larsen overfor de pårørende på Birkebo
388013871824240640,2013-10-09 18:51:30,@e_klit @Wollese ha en god aften
388013599131574272,2013-10-09 18:50:25,@e_klit @Wollese
387567050052206592,2013-10-08 13:16:00,"@Wollese Folkeskolen skal kraftig forbedres, de lærer for lidt, vi er langt bagefter udlandet #Aabenraapol"
387566288957997057,2013-10-08 13:12:58,"Folkeskolen skal kraftig forbedres, de lærer for lidt, vi er langt bagefter udlandet#Aabenraapol"
387565116536799232,2013-10-08 13:08:19,"@Wollese 20.000 unge imellem 18 og 35 år lever af det offentlige, er hverken igang med job el.uddannelse, det er fremtiden #Aabenraapol"
387563442371952641,2013-10-08 13:01:39,"20.000 unge imellem 18 og 35 år lever af det offentlige er hverken igang med job eller uddannelse, det er Danmarks fremtidige skatteydere."
387509275116855296,2013-10-08 09:26:25,Danmarks mest moderne plejehjem Rise plejehjem er fyldt med fejl det en særdeles dårlig planlægning det er fyldt med amatørfejl #Aabenraapol
387506177543634944,2013-10-08 09:14:06,De ældre og handicappede skal have ordentlige forhold det kan vi som samfund ikke være bekendt som det fungerer mange steder #Aabenraapol
386846263469031425,2013-10-06 13:31:51,"Nu må vi snart til at behandle de ældre bedre, det er dem der har skabt vores veldfærd"
386820759420542977,2013-10-06 11:50:30,"""aabenraapol Hvornår bliver der bedre forhold for de ældre på vores plejehjem, det er dem der har bygget vores samfund op ?"
386819712094461953,2013-10-06 11:46:20,Det er snart valg er der ingen der vil deltage i en debat ?
386805397480169472,2013-10-06 10:49:27,"når man bygger DK mest moderne plejehjem Rise Landsby skal det ikke være fyldt med så mange fejl, det er manglende planlægning"
386794626750750722,2013-10-06 10:06:39,@Wollese Det offentlige system kan spare mange penge såfremt de giver medarbejderne mere ansvar og frihed i jobbet.
386792662507872256,2013-10-06 09:58:51,@Wollese god søndag
382221361365524481,2013-09-23 19:14:08,@christi00396034Hej med dig og tak for sidst
