id,created_at,text
784679760991555584,2016-10-08 09:00:08,"Trump:- Når man er stjerne, kan man gøre alt med kvinder.Henrik:- Når man er stjerne, gør man alt for kvinder."
779569023168151552,2016-09-24 06:31:53,"De 10 pct. bedst lønnede danskere betaler 1/3 af alle afgifter og personskatter. Uden dem, hvem betaler så regningen?"
777013865494220800,2016-09-17 05:18:36,Det ultimative krav som der tales om er en aftale der er indgået for at støtte en Venstre regering og at DF fik PIa Kjærsgaard på plads.
769930743606829057,2016-08-28 16:12:48,"Uafgjort 1 - 1 mellem BIF og FCK er vel meget fair, specielt set i lyset af, at de har spillet lige længe 😁#viliggernr1"
768556142083670017,2016-08-24 21:10:38,"Selvom jeg er BIF tilhænger, så er jeg ikke for fin til at lykønske andre danske hold, når de gør noget godt.Tillykke til FCK 😆"
754012085357608964,2016-07-15 17:57:44,Man kan vel godt arbejde og holde ferie samtidig 😅
724267288103407616,2016-04-24 16:02:32,https://t.co/PSkQ4xK8zc
724185582000283649,2016-04-24 10:37:52,24 april og snevejr - .........
722527294900826115,2016-04-19 20:48:25,"Liberal Alliance i Solrød er itv,  klar med 4 kandidater til KV17 https://t.co/7O11WTBVCa"
718144851175477248,2016-04-07 18:34:09,"I er velkommen på min politiske FB:https://t.co/hMl7mfJA1x"
715643241379590149,2016-03-31 20:53:39,https://t.co/XOlUk9LRwQ
707690256993292293,2016-03-09 22:11:20,"BIF har mistet meget idag, mest af alt en dygtig og vellidt træner"
698616184443445248,2016-02-13 21:14:12,"Kan konstatere at jeg ikke har forstand på musik.Mit bud var 8 - 2 - 9 i nævnte rækkefølge.Hrmm"
698411236250230784,2016-02-13 07:39:49,9.4 % - Det kan kun blive en god weekend
689839247524786177,2016-01-20 15:57:47,"Sætter snuden mod Sjælland #BUTM16 er slut, men vi ses igen næste år"
689417507346612224,2016-01-19 12:01:57,"På plads #BUTM2016 https://t.co/paJtDwvZ43"
677747590855827456,2015-12-18 07:09:52,Kort og godt. ........juleferie 🎄
671797018730303488,2015-12-01 21:04:25,Jeg har stemt... NEJ
665304319256850433,2015-11-13 23:04:45,"Åhhh nej, ikke igen 🗼❤"
657824206416138240,2015-10-24 07:41:27,"Min tur til oktoberfest Skål og god weekend 🍺"
641330109937545216,2015-09-08 19:19:48,5 dage til CPH 1/2 - Pyyyyha
637758951342362625,2015-08-29 22:49:17,"LA til ""Fritid I Solrød"" http://t.co/Oj3ZrMChU9"
632518812877869056,2015-08-15 11:46:51,"2 ugers skade pause, er slut.Dejligt at kunne løbe lidt igen."
625774861869273089,2015-07-27 21:08:48,Holliday 🌞 http://t.co/vaVqoR4J79
615069198881058816,2015-06-28 08:08:19,"Tillykke til de nye ministre.Jeg har store forventninger til de liberale reformer.Indtil andet er bevist, er det thumbs up herfra 👍"
611797686967238656,2015-06-19 07:28:29,"13 mandater til LA og blåt flertal.Jeg er glad ☺"
609722088031715328,2015-06-13 14:00:48,"Vi spredte idag, lidt orange liberale glæder i Solrød centret http://t.co/kt0BcdAl7A"
608293768240996354,2015-06-09 15:25:10,"@lpk2400 http://t.co/7vYmZZhaXD"
608282220512559105,2015-06-09 14:39:17,9.3 % til LA er dagens tal 👍
607809556333383680,2015-06-08 07:21:05,"Mødte vælgere til morgen.I ønskes en god liberal dag. http://t.co/kp3lsv8fJP"
607638072159805440,2015-06-07 19:59:40,"Hvis hun kun kan afbryde,  burde hendes mikrofon kunne det samme."
603972345905176576,2015-05-28 17:13:23,http://t.co/1nTMDOX6SQ
603624189812199424,2015-05-27 18:09:56,"RT @LiberalAlliance: KBH, Bornholm, Randers, Aarhus, Slagelse, Frederiksberg. Plakaterne kommer op i hele landet :) #dkpol #fv15 http://t.c…"
603623998304432128,2015-05-27 18:09:10,"Tal dog politik, istedet for at slås.Lær af Anders #DRdinstemme"
603465425544998914,2015-05-27 07:39:03,"Stolt over at være kandidat for et parti, med en gennemregnet og godkendt plan for Danmark.God valgkamp.#fv15 #ftvalg15 #stemboye"
603129807694635008,2015-05-26 09:25:26,"Det bestemmer du ikke, det gør jeg ....... sagde hun virkelig det.#dkpol"
600385639150915584,2015-05-18 19:41:05,@havdrup er igang
600385401497464832,2015-05-18 19:40:08,"Snakker vi om imorgen, eller næste tirsdag. Jeg er klar."
596051204481900545,2015-05-06 20:37:35,Fantastico Barca
595850543869861888,2015-05-06 07:20:14,Fridag er lig med havedag 😉
595681584482787328,2015-05-05 20:08:51,"Dagens bedste nyhed,  viste sig at være en and - øv"
595310664270381056,2015-05-04 19:34:57,"Børn med specielle behov, har det svært nok I forvejen.Så LA mener ikke det er ikke her, der skal spares i Solrød kommune"
594605265502248960,2015-05-02 20:51:57,http://t.co/eLuZ2AVjIY
589365726496055296,2015-04-18 09:51:53,Landsmøde 2015 http://t.co/kL6hnZkLdB
589161127545806848,2015-04-17 20:18:53,"Følg min valgkamp på FBEt lille like gør forskellen ☺http://t.co/hMl7mfJA1x"
589060620168916992,2015-04-17 13:39:30,"Landsmøde og kandidat weekend.Til familien - vi ses mandag ☺God weekend"
580628269424361472,2015-03-25 07:12:21,"For første gang belyses samfundsgevinsten ved at fjerne eller reducere brotaksten på Storebæltsforbindelsen.LA har igen ret."
573958748198322177,2015-03-06 21:30:03,"En fredag aften, alene hjemme.Med det TV udvalg, er det godt med en Playstation ☺"
560728610668306432,2015-01-29 09:18:13,"I Ålborg til Børn &amp; unge topmøde 2015.#butm2015"
559975892756463616,2015-01-27 07:27:11,http://t.co/ndGAg3DFCl
556801167167324160,2015-01-18 13:11:57,300 valgplakater er ankommet og klar til FV15 😅 http://t.co/BzcAtOjxnG
556190853056966656,2015-01-16 20:46:47,http://t.co/2dD6SPAnQs
554872723063967744,2015-01-13 05:29:00,"Man lærer ikke mere, fordi man øger mængden af undervisning i boglig viden. Skal man øge læring, skal man have fat om evnen til at lære."
547305882888200192,2014-12-23 08:21:05,Glædelig jul allesammen http://t.co/kLWQzrqfnZ
