id,created_at,text
758212030058770432,2016-07-27 08:06:49,En oplagt mulighed for at blive en del af et fantastisk team https://t.co/UCHNLAiVsx
733613746422091776,2016-05-20 11:02:01,"Vi vil gerne fortælle, hvordan vi sammen kan skabe din fremtid på VUC Syd. Vi har derfor brugt… https://t.co/nyJ3ol3bnb"
577459304179068928,2015-03-16 13:20:01,Flot omtale af VUC Syd set fra et internationalt perspektiv @Telegraph http://t.co/f1vJOlEVVp
532531898720215040,2014-11-12 13:54:33,"Første møde i ""Haderslev som uddannelsesby"" er netop afsluttet, hvilke uddannelser skal Haderslev have i fremtiden? #6100udd #haderslev"
461137208661905408,2014-04-29 13:37:32,"Haderslev Kommunes nye borgerrådgiver, som skal mindske borgernes udfordringer i dagligdagen #haderslevpolhttp://t.co/KuJbATNMLU"
404524841941729280,2013-11-24 08:20:12,WIN A €2000 ETON ONLINE SHOPPING SPREE http://t.co/NHMEdJt7hr
361881553489502209,2013-07-29 16:11:00,hyttetur
352077174968287232,2013-07-02 14:51:54,Motivation for tomorrows training #itsmytour #tourdefrance #specialized #tarmac #sl4 http://t.co/34rB8hKKpo
351263960667930624,2013-06-30 09:00:29,I let my legs do the talking #itsmytour #specialized #s-works #tarmac #sl4 http://t.co/E6MP45JaQs
251677592153903107,2012-09-28 13:39:48,@JuankarSV Turks http://t.co/mDqygi9X
251331042953289728,2012-09-27 14:42:44,@bubba_04 Hansbury http://t.co/M45hNAC6
231372874131333120,2012-08-03 12:56:06,Store fremskridt i Nord Korea i stedet for 15 minutters sammendrag fra OL dagligt får borgerne nu 5 timer hver dag!  http://t.co/hxBHCSOH
190065782028369920,2012-04-11 13:16:28,Uventet besøg i påskeferien på arbejde http://t.co/y8nyUbkA
147198132424421376,2011-12-15 06:15:44,"Jeg har stadig ikke skrabet et juletræ… vejen er håbløs, trist og grå mod den store gevinst i årets julekalender"
94438059801706496,2011-07-22 16:06:02,"Synes det er vildt, hvad der foregår i Norge. Der trist, hvis der er tale om et terrorangreb!"
87101087038980096,2011-07-02 10:11:32,"Så starter året tour de france, jeg håber Andy Schleck står øverst på podiet i Paris"
85366539435520001,2011-06-27 15:19:03,Så blev lidt af hækken barberet.... men der er mere tilbage!
82023532858580992,2011-06-18 09:55:08,"Synes så afgjort, at Birthe Rønn har helt ret omkring dette - Pia Kjærsgaard er udansk - Kommentarer | www.b.dk http://t.co/U4iMIe0"
36691668602200064,2011-02-13 07:42:30,Nej….. sne igen! Troede ellers at foråret var på vej - ØV
5945285578596352,2010-11-20 11:27:21,"Er glad og overrasket over alle de positive tilkendegivelser, der kommer på telefon og mail, efter dagens debatindlæg i JydskeVestkysten"
28861698560,2010-10-27 05:01:45,Thunderstruck med AC/DC… fedt at høre P3s lytter vælge det som ”vågnop” nummer denne onsdag morgen!
27433246091,2010-10-15 11:51:19,"så er der dømt efterårsferie.... dejligt, takker for en god og vellykket motionsdag."
27433161529,2010-10-15 11:50:05,stemte igår for til et ansvarligt budgetforlig i Haderslev Kommune.
26941116219,2010-10-10 14:30:09,har været i hallen for at se håndbold.... kom igen
26924139132,2010-10-10 09:47:44,har lige cyklet en tur op ad Alpe D’huez
26818072100,2010-10-09 05:24:53,"Hmm, så svært kan det vel heller ikke være at fjerne lidt vand fra formel 1 banen i Japan, så de snart kan komme i gang med kvalifikationen."
26241449399,2010-10-03 05:36:45,"Flot men ærgerligt med en 2. plads til Matti Breschel ved VM, godt kørt af Thor Hushovd."
26241068370,2010-10-03 05:30:20,"så nærmer afslutningen på løbet... 2 km tilbage, det bliver spændende"
18098858610,2010-07-09 06:53:19,"tror hunden er blevet inspireret af den fantastiske blæksprutte og VM gætterier, Lewis brækkede sig i nat på den spanske landsholdstrøje"
17392699622,2010-06-30 05:39:43,kæmper som mod uret for at blive klar til d. 17. juli...
17119071581,2010-06-26 21:29:58,så skal Nephew snart til at lukke tre gode Kløften dage
17108394928,2010-06-26 18:06:38,så giver magtens korridorer den gas på kløften
17016109523,2010-06-25 14:03:46,"dejligt, kløften er fyldt med mennesker og suverænt vejr... perfekt"
17010834025,2010-06-25 12:44:26,så har børnene fået sommerferie... snart starter dag 2 af Kløften Festival - det bliver så godt!
14278567625,2010-05-19 06:19:39,Bruger dagen sammen med byrådskollegaer på Tørning Mølle og arbejder med visioner for Haderslev Kommune
13734978215,2010-05-10 16:27:04,Imponerende spil af de danske hockeyspiller… super sejr over USA
13505067349,2010-05-06 19:55:28,..... der er så stille i Aarhus
12766900078,2010-04-24 15:00:59,"har en fantastisk kæreste og nogle super genboer - imens jeg har cyklet med Team Rynkeby, så har de lavet vores træterrasse færdig - SÅDAN!"
12709091735,2010-04-23 15:42:44,"er godt i gang med at lave ""brændende kærlighed""... senere kommer familien Juhl forbi og spiser!"
12384907654,2010-04-18 06:44:41,"er klar til dagens formel 1 løb... bagefter skal stuen gøres klar til 4. finalekamp i hockey, så skal guldet hjem til Vojens igen"
12384854698,2010-04-18 06:43:00,"er klar til dagen formel 1 løb... bagefter skal stuen gøres klar til 4. finalekamp i hockey, så skal guldet hjem til Vojens igen."
12329420621,2010-04-17 06:57:00,ser formel 1 kvalifikation... det er ved at blive spændende
12236049896,2010-04-15 17:55:42,"Sådan... er glad for at Sønderjyske fik en sejr med hjem fra Køge i dag, fra 1-0 efter 1. halvleg til 1-2 - super indsats"
11996971203,2010-04-11 15:54:33,"Er glad for at SønderjyskE fik en god sejr på hjemmebane over Silkeborg, 4-0 er et super resultat"
11996913685,2010-04-11 15:53:16,Synes Cancellaras sejr i Paris-Roubaix var utrolig elegant – den sejr bliver svær at efterfølge…
11053215578,2010-03-25 21:03:55,er hjemme efter dagens byrådsmøde
10995278071,2010-03-24 19:54:15,har fået to nye cykler i denne uge – en Rynkeby i garagen og en på benet med tusch
10580204297,2010-03-16 17:50:49,er på vej til bestyrelsesmøde i den lokale Venstre forening
10420353149,2010-03-13 12:46:05,er hjemme igen efter en god tur med det nye Team Rynkeby hold… ser frem til at se årets første formel 1 kvalifikation
10411768214,2010-03-13 06:50:49,i dag gør Rynkebycyklen og jeg comeback– det bliver så godt at komme ud at rulle lidt på landevejene
9879202968,2010-03-02 15:41:05,snart synger skoleleder grunduddannelsen på sidste vers
9514342345,2010-02-23 06:04:11,"synes det er ærgerligt, at Søren Gade forlader dansk politik i dag"
9427530785,2010-02-21 12:38:22,Er på vej i blikskuret til det sidste lokalopgør i grundspillet mellem SønderjyskE og Esbjerg
9426127871,2010-02-21 11:39:25,forbereder sig til den kommende uges møder i både Kultur og Fritid samt byrådet
9090168574,2010-02-14 07:39:34,tillykke med fødselsdagen far!!!
8758604342,2010-02-07 09:09:14,"Takker for en god gang dilletant i forsamlingshuset – de klarede det rigtig godt, dagen i dag er ren afslapning"
8719501680,2010-02-06 11:54:13,er på vej hjem fra kursus og glæder sig til dilettant i Nustrup i aften
8676246394,2010-02-05 13:11:20,er på et godt 3-dags kursus for nyvalgte byrådsmedlemmer i det sønderjyske
8384020906,2010-01-29 21:09:30,bruger aftenen på at finde sponsorer til de sidste par pladser på Team Rynkeby tøjet til i år - støtte til kræftramte børn
8333704206,2010-01-28 18:49:53,er hjemme fra årets første byrådsmøde
7996709662,2010-01-20 19:28:54,"hjemme fra Arbejdsmarkeds- & Erhvervsudvalgs møde, under mødet har nogen smadret en rude i bilen og fjernet min Ipod - håber musikken er god"
7864374330,2010-01-17 13:55:09,"bruger resten af denne dejlige søndag på at se håndbold i hallen, efter at jeg har trænet godt og haft besøg af ”de gamle”"
7683043991,2010-01-12 21:19:33,er lige kommet hjem fra årets første skolebestyrelsemøde på arbejde
7661307169,2010-01-12 07:11:16,Skal til temadag i SI-Centeret i dag med overskriften: ”Når mor og far drikker”
7641431419,2010-01-11 20:17:17,Er lige kommet hjem fra Morfars 80 års fødselsdag – har været med til at fejre ham i to dage…
7270187291,2010-01-01 14:30:33,"har været ud at gå en god tur sammen med nytårsbanden i Stensbæk plantage, det er ved at blive en god tradition."
6996903321,2009-12-24 11:20:38,"Så er det jul, ser frem det juletamtam og -hygge med fuld skrue de næste par dage – Merry Christmas!"
6977076866,2009-12-23 21:24:48,"har nydt en god fødselsdagfest for Malene, hvor der rigtigt blev hygget igennem med familie og venner"
6961775532,2009-12-23 11:34:12,"glæder sig til at være sammen med alle gæsterne til Malene fødselsdag - huset er klar, nu mangler vi bare at de kommer alle sammen"
6933059460,2009-12-22 16:10:47,Så er maden klar til Malenes fødselsdagsgæster i morgen… glæder mig til aftens julehygge i skøjtehallen – SønderjyskE vs. Hvidovre
6895237608,2009-12-21 14:55:26,"Er lige kommet hjem fra en vidunderlig kæresteminiferie i Berlin, uhh, det var fantastisk!"
6543574205,2009-12-10 21:05:50,Har været til et suverænt hyggeligt møde med hele TEAM RYNKEBY Sønderborg… der er lagt op til endnu en fantastisk cykeltur til Paris i 2010
6401746837,2009-12-06 15:22:59,tager op i hallen for at se håndbold
6400884775,2009-12-06 14:42:30,Så er julemanden også vækket i Nustrup
6338460785,2009-12-04 14:41:24,"Undrer sig lidt over, hvorfor svindet er så stort, når man laver Ris a’la mande…"
6312052605,2009-12-03 19:10:00,er hjemme efter det konstituerende byrådsmøde
6117454147,2009-11-27 17:29:33,er klar til æbelskive tamtam med naboer og genboer
5951354679,2009-11-22 18:13:11,har været i hallen for at se håndbold
5942694193,2009-11-22 09:46:38,så skal der ryddes op i hallen efter gårsdagens julefrokost - tak for en god fest
5920796444,2009-11-21 15:34:33,er så klar til året julefrokost i Nustrup Hallen - der er garanti for en god fest
5914006919,2009-11-21 07:49:37,"så skal de sidste detaljer lige på plads, inden der er helt styr på året julefrokost i Nustrup Hallen – det tegner til en endnu en god fest,"
5852766083,2009-11-19 08:35:59,ser frem til besøget på A.P. Møller skolen i Schleswig i dag
5851037494,2009-11-19 06:30:27,er på vej til Haderslev denne morgen for at lave et interview med Budstikken omkring valget og resultatet
5789029203,2009-11-17 06:07:47,"Ønsker alle en god valgdag – husk: Det er de personlige stemmer, som afgøre for om jeg bliver valgt i dag."
5710766381,2009-11-14 15:20:32,"Skal i skøjtehallen og spille hockey med drengene, det bliver vist til en omgang bambi(læs Jesper) på glatis..."
5655664460,2009-11-12 18:20:13,har været i Vojens for at lave valgvandkamp og trænet i Santé
5559892732,2009-11-09 14:40:44,er klar til at fortsætte valgvandkampen igen i dag hos Spar i Nustrup
5535421500,2009-11-08 16:56:23,ærgrer sig over at SønderjyskE ikke fik points mod FC Nordsjælland
5527133469,2009-11-08 07:14:56,så skal der deles valgvand ud ved købmanden i Nustrup
5526943053,2009-11-08 07:01:30,er stadig ikke helt over generalforsaling i Nustrup Ungdomsforening - er stolt over at have modtaget initiativpokalen
5478508280,2009-11-06 13:41:43,deler valgvand ud i Vojens og Haderslevs gågade i dag
5337754011,2009-11-01 13:59:19,ser det sidste løb i formel-1 sæson bagefter står den på håndbold i Nustrup Hallen og møde i Gabøl/Nustrup landdistrikt om børnhave og skole
5281269720,2009-10-30 06:29:07,"synes det er pænt sejt, at det SønderjyskE superligahold uden 6 stamspillere lammetævede FCK 5-0 i pokalturneringen – sådan!"
5264109461,2009-10-29 17:25:54,står af valgkampsræset for en enkelt aften og tager op i hallen for at se Morten og drengene spille håndboldkamp
5195345708,2009-10-27 07:10:49,"bruger en fridag på at sætte plakater op… også dem, som er ”faldet” ned i løbet af natten"
5120397462,2009-10-24 10:48:40,er hjemme igen efter en god dag i gågaden og er nu klar til åbent hus hos genboerne
5117689678,2009-10-24 06:25:50,"Valgkampen sættes op i gear i dag - du møde mig på gågaden i Haderslev i dag, så vi kan snakke om din og min vision for kommunens fremtiden"
4781459841,2009-10-11 09:48:36,Er klar til at gå catwalk for MIX ved rådhuscenteret 5 års fødselsdagsfest i Vojens
4756240014,2009-10-10 07:14:08,klistre sammen med hele familien valgplakater i dag...
4737950878,2009-10-09 16:11:51,"hockey i aften, SønderjyskE mod Rødovre - en god start på efterårsferien"
4663831035,2009-10-06 20:25:09,er hjemme efter et godt møde i skolebestyrelsen på Nustrup Fællesskole
4580197966,2009-10-03 15:03:30,Så gælder det SønderjyskE mod AGF – kom så…
4416997784,2009-09-27 13:55:24,"sådan sønderjysk sejr på heden over FC Midtjylland, det er klasse - godt gået"
4395229091,2009-09-26 15:24:38,har vist gamle elever rundt på skolen – tager en tur i biografen med kæresten og ser ”Pigen der legede med ilden”
4379254827,2009-09-25 22:01:47,"kom igen SønderjyskE - et godt comeback i kampen var bare ikke nok, desværre."
4372770343,2009-09-25 17:00:02,Det bliver godt at komme i hallen med drengene og se åbningskampen i ishockey mellem SønderjyskE og Herning
4129748076,2009-09-20 19:40:18,"Er lige blevet færdig med at lave tre store grydefulde æblegrød, uhh, det er blevet godt"
4122788756,2009-09-20 12:36:50,tager hele familien med på stadion for at se SønderjyskE mod Brøndby
4121354935,2009-09-20 09:56:56,Ser frem til eftermiddagens kamp på stadion – så skal de der gule fra djævleøen forhåbentlig sendes hjem med et nederlag i det sønderjyske
4119268862,2009-09-20 06:15:11,"Laver årsregnskab for støtteklubben, så årets overskud kan blive sendt videre til Nustrup Ungdomsforening og ikke mindst medlemmerne"
4109940599,2009-09-19 20:59:01,Har lige sagt farvel til de fire var Sdr. Omme endnu en skøn eftermiddag og aften med deres selskab
4096390189,2009-09-19 04:38:03,"er på vej mod Fyn for at cykle en tur med Team Rynkeby, bagefter er der overrækkelse af check til børnecancerfonden"
4081834301,2009-09-18 16:12:03,"Yes sir, så er bilen vasket"
4038467759,2009-09-16 21:14:44,er lige kommet hjem fra møde
3951018475,2009-09-13 07:25:52,"Godt gået Wozniacki - et flot resultat, håber hun også tager finalen mod Clijsters"
3934921074,2009-09-12 15:05:33,er klar til kobberbryllup hos genboen – det bliver hyggeligt
3933251967,2009-09-12 13:02:37,"skønt, at Hamiliton er i pole i morgen - godt kørt af Sutil"
3933059888,2009-09-12 12:45:04,"undre sig over, hvorfor er det lige, at BMW vælger at parkere på græsset i formel 1 kvalifikationen"
3932508918,2009-09-12 11:49:32,har cyklet en god træningstur på 72 km i perfekt vejr - så er der snart formel 1 kvalifikation
3905855183,2009-09-11 05:39:50,har løbet en fantastisk tur med solopgang ved havet - sidste dag på COK i Grenaa
3882028089,2009-09-10 05:49:05,Det er hyggeligt at se Grenaa holdet igen – har lige været ud og løbe en morgentur
3785307553,2009-09-05 20:39:57,"1-1 mod Portugal, det kan vi ikke klage over - Danmark er godt på vej mod Sydafrika i 2010"
3780110593,2009-09-05 15:22:15,"synes, at eleverne fra Nustrup Fælleskole har gjort det fantastisk godt til skolehåndbold igen i år -  med tre flotte finalepladser"
3775410805,2009-09-05 07:32:29,erkender at efterårsregnen har taget september med storm
3762912156,2009-09-04 18:59:20,har været til et hyggelig rejsegilde i dag hos min bror sammen med resten af familien
3742260607,2009-09-03 21:17:50,"""Previously; on 24...."" sådan Jack Bauer er tilbage på TV2"
3737023222,2009-09-03 16:43:17,skal til møde omkring den kommende valgkamp
3718174048,2009-09-02 20:29:35,Er lige kommet hjem fra et tankevækkende foredrag med Freddy Fey på Nustrup Fællesskole
3708451482,2009-09-02 09:41:26,"det bliver interessant at se, hvad Nikolaj Agger kan udrette i det sønderjyske"
3650461710,2009-08-30 19:34:20,"synes det er pinligt for DR, at TV-avisen med Reimar Bo ikke har sat sig helt ind i tingene!"
3641676013,2009-08-30 07:31:11,"det var skønt at få lov til at vise de gamle elever rundt på skolen i går, dagens projekt er forsat træterrassen og så lige Formel 1"
3621018302,2009-08-29 06:35:01,skal til åbent hus for medarbejdere og familie på Genvex i Haderslev i dag - senere gælder det en rundsvisning af gamle elever på arbejde
2478821290,2009-07-05 05:03:50,190 km - den sidste træningstur sammen med venner fra Team Rynkeby inden afgangen mod Paris
2466274253,2009-07-04 06:29:09,så skal der bål i weberen fra kl. 11.00 og til en gang sent i aften
2458876166,2009-07-03 19:52:57,"Ferietid! Weber maraton i morgen… og 190 km med venner fra Rynkeby på søndag, sidste fælles tur inden afgangen mod Paris om 14 dage"
2369544112,2009-06-28 08:00:12,takker for endnu en fantastisk Kløften festival
2357910395,2009-06-27 11:38:07,er klar til dag 3 i kløften
2339514648,2009-06-26 04:56:36,det var et godt gensyn med kløften… ser frem til endnu en god oplevelse i dag
2297812616,2009-06-23 17:54:15,så skal der holdes Skt. Hans i Nustrup - båltalen er klar....
2249751233,2009-06-20 05:56:55,er klar til 150 km træningstur med venner fra Team Rynkeby med start og slut i Haderslev – det bliver skønt at vise egnen frem
2151099951,2009-06-13 06:03:45,... så ses vi snart under broen
2151025695,2009-06-13 05:53:36,undre sig – er Christiano Ronaldo virkelig mere værd end et formel 1 team?
2135642455,2009-06-12 19:39:09,"ser frem til en god gang ""Rock under Broen"" i morgen"
2105081247,2009-06-10 16:26:44,"skal snart til møde i støtteklubben, de sidste detaljer til sportuge nr. 30 i Nustrup skal på plads - det bliver en god start på august '09"
2005630536,2009-06-02 16:58:26,er til skolebestyrelsesmøde
1891371064,2009-05-23 06:43:03,er på vej til Venstre møde i Regionenshuset i Vejle
1882138524,2009-05-22 13:18:28,må hellere komme i haven… den græsplæne slår åbenbart ikke sig selv
1870456263,2009-05-21 12:47:01,har netop cyklet en god tur og er klar til at være bartender ved ”En hyggelige havefest” i Mølby sammen med resten af slænget fra Nustrup
1859457725,2009-05-20 14:11:36,"holder Kr. himmelfartsferie med efterkonfirmation, havefest, cykeltræning, formel 1 fra Monaco og ikke mindst besøg fra England... superb"
