id,created_at,text
200510371289759744,2012-05-10 08:59:32,- er til seminar omkring iværksætteri. Her skal jeg om lidt fortælle om Syddanmark som Europæisk iværksætterregion i 2013
200498490139344896,2012-05-10 08:12:19,#policyseminar@enspireeu  way to go Allan
6198663245,2009-11-30 11:18:22,- er klar til målfest i aften...
5980936596,2009-11-23 16:43:28,- første dag på arbejde efter valgkampen. Masser af arbejde venter...
5943839357,2009-11-22 11:21:29,"så skulle alle mine plakater være nede, men skriv lige hvis vi har misset nogen..."
5916005437,2009-11-21 10:36:19,- så skal de sidste valgplakater ned...
5790668083,2009-11-17 08:01:55,- husk regionen og stem C. Godt valg til alle!
5778128918,2009-11-16 22:38:33,- Anbefaler alle at stemme konservativt til både byråd og regionsråd. Sæt gerne kryds ved nr. 1 ved liste C i Region Syddanmark :-)
5768129929,2009-11-16 15:55:27,- glæder sig til aftenens debat på TVSyd og TV2Fyn
5709509734,2009-11-14 14:16:02,- har delt næsten 2000 flasker vand ud i dag. Tak til kampagneteamet for en super indsats...
5617347247,2009-11-11 12:29:49,- ser frem til at møde en masse engagerede borgere på Haderslev gågade...
5610304509,2009-11-11 04:34:46,"- Nyborg, Vejle og Haderslev i dag...."
5553840694,2009-11-09 07:49:04,- sætter snart kursen mod Langeland
5527114673,2009-11-08 07:13:34,- er på vej til Barsø ud for Aabenraa
5501048726,2009-11-07 06:37:32,- er klar til endnu en kampagnedag i Aarup og Odense. Se mere på www.lassekrull.dk.
5421963756,2009-11-04 15:06:32,- hvorfor er der aldrig valg i maj måned?
5417519507,2009-11-04 11:00:52,- har været på virksomhedsbesøg på Faaborg Rehab her i formiddag. En lokal virksomhed indenfor sundhedsindustrien.
5360967462,2009-11-02 11:26:56,- har stemt dørklokker i Hjerting her i formiddag. Se mere på tvsyd i aften
5357384077,2009-11-02 06:11:12,"- er på vej mod det vestjyske, nærmere bestemt Esbjerg"
5339743264,2009-11-01 15:51:48,- uhmmm æggekage fra Carlslund til frokost. Så blir det vist ikke mere fynsk!
5319311081,2009-10-31 18:16:00,- har haft en fantastisk god dag i Tønder - se mere på www.lassekrull.dk
5288743538,2009-10-30 14:45:22,- tilbage fra Sønderborg - er nu i Langeskovcenteret
5281243354,2009-10-30 06:26:53,- i dag er jeg i Sønderborg - bl.a. på et spændende besøg på Alsion.
5281237169,2009-10-30 06:26:22,- dagen byder på et spændende besøg  i Sønderborg - bl.a. et spændende møde på Alsion...
5253617305,2009-10-29 07:29:11,"- er på vej på Radio Fyn, hvor jeg sammen med Mette Valentin (SF) skal fortælle om regionsrådsvalget. Jeg håber stemmen holder... ;-)"
5208350383,2009-10-27 19:15:13,- hjemme efter en spændende dag i Varde og Vejen. Vores lokale borgmesterkandidater Niels og Frank tog godt imod os - og vælgerne ligeså.
5199843182,2009-10-27 13:06:44,- har lige været på et spændende besøg på Varde hjertecenter.
5195522171,2009-10-27 07:28:01,- har besøgt Varde Handelsskole og er nu på vej til spændende besøg på jobcenter og sundhedscenter.
5194530887,2009-10-27 05:59:41,- er i Varde og Vejen i dag
5167581628,2009-10-26 06:44:04,"- en lang dag med mange møder. Først uddeling i Fredericia, dernæst gruppemøde og regionsrådsmøde i Vejle."
5142958917,2009-10-25 07:54:21,-i dag er kursen sat mod Sønderborg
5118450655,2009-10-24 07:31:34,- så går det i gang: valgmesse i Ferritslev i formiddag. Dernæst plakatopsætning i Odense fra kl. 15...
5091235626,2009-10-23 06:48:09,- influenzaramt på det mest ubelejlige tidspunkt. Gode råd modtages gerne!
5044885768,2009-10-21 14:23:24,- Vender snuden mod Fyn efter en god dag i Sønderjylland. I aften står den på konference omkring fremtiden for Lindø-området.
5040836242,2009-10-21 10:07:02,- har nu sørget for vandforsyningen i Aabenraa og Rødekro med en masse konservative kildevand. Se mere på www.lassekrull.dk
5036240047,2009-10-21 03:57:36,- så er dinregion.dk-kampagnen i Aabenraa...
5009415289,2009-10-20 03:22:58,- er i Kolding i dag
4994555716,2009-10-19 16:25:01,- er til kandidatmøde i regionshuset
4990847565,2009-10-19 13:29:42,- spreder det glade budskab på gågaden i Vejle.
4984886109,2009-10-19 06:12:17,- så er dinregion.dk-kampagnen i Vejle. Om lidt venter et spændende besøg i Vejle sundhedscenter.
4967481967,2009-10-18 15:07:45,- forbereder næste uges tur rundt i regionen. Læs løbende nyt på www.lassekrull.dk
4952190425,2009-10-17 22:04:51,- vi har haft en super fest!
4936507242,2009-10-17 05:33:52,- så er der kun 1 måned til valget. Det bliver en spændende tid.
4911028854,2009-10-16 07:49:20,- så er kampagnebilen klar... Vi starter turen rundt i regionen i morgen...
4891082667,2009-10-15 15:32:11,- skal ud og løbe i aften...
4872020836,2009-10-14 21:21:38,- Glæder sig over at vi skal til VM - trods en kedelig kamp...
4867665249,2009-10-14 17:57:54,- forbereder festen på lørdag..
4838981597,2009-10-13 16:49:03,- Regionslisten er klar - Fuldt hus med 45 konservative kandidater!
4780860360,2009-10-11 08:46:36,- er på vej til Electro Days i Odense Congress Center...
4759939755,2009-10-10 13:12:38,- bliver blæst igennem ved Fynshoved
4757733850,2009-10-10 09:45:36,- mmmm lørdagsbrunch...
4743804707,2009-10-09 20:26:03,- slapper af
4733688983,2009-10-09 13:03:57,- synes der er meget positivt i regeringens sundhedspakke...
4733637233,2009-10-09 13:01:20,- ser frem til weekenden
4392226854,2009-09-26 12:06:50,- er på kursus
