id,created_at,text
792308095074570241,2016-10-29 10:12:24,@renegadedreng Jeg gentager:Den bedste løsning ville være fuld offentlig adgang til alle ikke-klassificerede dokumenter.
792306708391616512,2016-10-29 10:06:54,"@renegadedreng Netop. Derfor er den redegørelse, vi nu gennemfører, den næstbedste løsning. Men langt bedre, end at stå stille på stedet."
792304730231939072,2016-10-29 09:59:02,"@renegadedreng Den bedste løsning er fuld åbenhed om de dokumenter, Kommissionen havde adgang til."
764048676222226432,2016-08-12 10:39:34,Klog Løkke: 5 procent lettelse af topskatten bliver en del af 2025-planen. Så er vi i gang!
734993827447115776,2016-05-24 06:25:58,@karmel80 @berger_bo Jeg har ikke to lejligheder.
734990898157735936,2016-05-24 06:14:20,"@karmel80 @berger_bo modtager ingen tilskud til lejlighed. Får tilskud til dobbelt husførelse, præcis som dem, der bor i ft-ejet lejlighed."
734990492568571904,2016-05-24 06:12:43,@karmel80 @berger_bo
727800555188457473,2016-05-04 10:02:28,"LA støtter, at Danmark nu søger parallelaftaler på Europol, eurojust og PNR. @berlingske @politiken @LiberalAlliance"
713283845123137536,2016-03-25 08:38:15,@KristianHoltTV2 @sorenpind @mettebock @tv2newsdk læs Politiken og mit debatindlæg i dag
703122989559066625,2016-02-26 07:42:38,RT @LiberalAlliance: Liberal Alliance er et tillidsparti. Ikke et mistillidsparti. #dkpol https://t.co/quBlC9LsIl
611259335663046656,2015-06-17 19:49:16,"Er der nogen, der kender nogen i den offentlige sektor, som ikke kan pege på 1 pct papirarbejde, som vi kan undvære uden sammenbrud? #dkpol"
611247580165615616,2015-06-17 19:02:34,"Venter spændt på, hvem der bliver den første, der i partilederdebatten vil sige, hvor pengene til alle gaverne skal komme fra #dkpol"
610891456480329729,2015-06-16 19:27:27,"Jeg er politiker, så jeg kan vel ikke tillade mig at sige, jeg lider af politikerlede under denne aftens tv-debat...#dkpol"
610687715932307456,2015-06-16 05:57:52,"Man forstår nu klart, hvorfor K går ind for frit sygehusvalg. Mads Holger kalder sig selv lægen 🌚 og hans parti den døende patient  #dkpol"
610554984833392642,2015-06-15 21:10:26,@jeppec @ploeh ja
610477337172418561,2015-06-15 16:01:53,"@ploeh @jeppec - ja, præcis. Derfor er der brug for LA!"
610442530191224833,2015-06-15 13:43:35,"Vi skal hele tiden blive bedre til at bruge pengene, siger Thorning på P4. Mon ikke vi først skal blive bedre til at tjene dem? #dkpol"
610054450007437312,2015-06-14 12:01:29,"@Peter Mogensen siger i P1 at LA har brugt fokusgrupper til at udvikle sin politik. Han må have spist søm! @dkpol"
609820643320836096,2015-06-13 20:32:25,"Var Gert Wilders på Bornholm i dag? Det opdagede de færreste, der bare passede deres planlagte debatter :-)"
608385699700703233,2015-06-09 21:30:28,@Hansalyse @karenclement @gjerding @jonasjuhler @politikodk nej vi skal ikke have mere overvågning. Det kan kun ske efter retskendelse.
