id,created_at,text
793373825681465344,2016-11-01 08:47:14,RT @AlzheimerEurope: 2nd speaker at #26AEC opening ceremony Danish Health Minister @sophieloehde She is a true #dementiafriend says @alzhei…
792460165811437568,2016-10-29 20:16:41,RT @cancer_dk: Ding ding ding! Der er god stemning og gang i telefonerne. Ring på 7015 0505. @sophieloehde #knækcancer https://t.co/u9bloH4…
792459705088114688,2016-10-29 20:14:51,Har tændt et lys i mørket på Fr.berg #knaekcancer og nu klar i call-centeret: 70150505 Ring til os😊☎️ https://t.co/kaZoXg3wUg
792059746375364608,2016-10-28 17:45:33,@Cch605Claus @HausborgDR sådan!!! Stærkt👌🏻👍🏻👌🏻👍🏻
792059671616057344,2016-10-28 17:45:16,RT @Cch605Claus: @HausborgDR tak for hjælpen i går. Det er blevet til 7200kr til #knækcancer #dksundpol @sophieloehde 👍
792059596961640448,2016-10-28 17:44:58,RT @etiskraad: Vi har nu besluttet at arb m #dobbeltdonation + #organdonation (samtykker &amp; levende donation) @sophieloehde #sundpol https:/…
791951725582176258,2016-10-28 10:36:19,@henrikblunck_dk @Sorenlippert @tv2newsdk mange tak👍🏻 også god weekend til dig😊
791888154341023745,2016-10-28 06:23:43,RT @CRoenhof: Så hører man lige @sophieloehde citere fra Matador på @tv2newsdk - Skønt! minder mig om det snart er jul og tid til at snuppe…
791888130668453888,2016-10-28 06:23:37,RT @henrikblunck_dk: Måtte se genudsendelsen med @Sorenlippert og @sophieloehde Sejt hun vandt i løb ned til kaffemaskinen på @tv2newsdk :-)
791700235718389762,2016-10-27 17:56:59,@Cch605Claus respekt👍🏻 Flot😊 Hils - og forhåbentlig får I solgt mange🍪 #knaekcancer
791559602437586944,2016-10-27 08:38:10,"@TroelsMylenberg @sorenpind @Sorenlippert ""min afdøde hustru kendte mine følelser for kogt fars"""
791557974733053952,2016-10-27 08:31:42,@Sorenlippert @tv2newsdk ser godt ud💪🏻
