name,twitterAccount,followers,following,tweets,created_at,type
Margrethe Vestager,@vestager,172234,280,5318,20/01-2009,EU
Lars Løkke Rasmussen,@larsloekke,80089,302,926,24/03-2009,Folketinget
Søren Pind,@sorenpind,48086,326,9076,25/10-2007,Folketinget
Ida Auken,@IdaAuken,39745,1979,8588,12/03-2009,Folketinget
Morten Østergaard,@oestergaard,36471,736,6008,20/01-2009,Folketinget
Pernille Skipper,@PSkipperEL,31354,339,708,17/06-2012,Folketinget
Kristian Jensen,@Kristian_Jensen,29273,874,8408,26/06-2008,Folketinget
Brian Holm,@brianholm1962,28814,507,363,04/07-2013,Regionalt/lokalt
Uffe Elbæk,@uffeelbaek,26816,2075,1097,02/10-2009,Folketinget
Radikale Venstre,@radikale,23804,11109,12825,21/04-2008,Parti
Anders Samuelsen,@anderssamuelsen,23698,837,2241,26/03-2009,Folketinget
Mogens Lykketoft,@lykketoft,22444,426,730,21/12-2009,Folketinget
Pia Olsen Dyhr,@PiaOlsen,21792,390,7207,12/08-2009,Folketinget
Magnus Heunicke,@Heunicke,21208,2392,8143,03/03-2009,Folketinget
Socialdemokratiet,@Spolitik,20847,444,1371,12/02-2011,Parti
Dan Jørgensen,@DanJoergensen,19925,3373,2275,28/02-2012,Folketinget
Sofie Carsten Nielsen,@sofiecn,19668,2363,8621,24/10-2008,Folketinget
Morten Messerschmidt,@MrMesserschmidt,19573,152,7419,29/02-2012,EU
Venstre,@venstredk,19169,327,153,17/03-2010,Parti
Liberal Alliance,@LiberalAlliance,18602,4274,5445,25/11-2008,Parti
Enhedslisten,@Enhedslisten,17664,374,3466,05/02-2010,Parti
Martin Lidegaard,@martinlidegaard,17402,193,2034,08/01-2013,Folketinget
Ellen Trane Nørby,@EllenTraneNorby,16953,855,2147,23/04-2009,Folketinget
Pernille Rosenkrantz Theil,@RosenkrantzT,15956,387,116,25/04-2012,Folketinget
Simon Emil Ammitzbøll,@SimonEmilAmmitz,15916,887,5956,24/03-2009,Folketinget
Alternativet,@alternativet_,15407,3067,9218,27/08-2013,Parti
SF,@SFpolitik,15105,96,4414,01/04-2009,Parti
Zenia Stampe,@zeniastampe,14658,918,1248,23/08-2011,Folketinget
Mattias Tesfaye,@mattiastesfaye,13557,709,565,05/04-2012,Folketinget
Stine Brix,@smbrix,13489,827,7891,21/04-2009,Folketinget
Konservative,@KonservativeDK,13112,4968,4157,26/06-2007,Parti
Søren Pape Poulsen,@SorenPape,12532,625,893,06/08-2014,Folketinget
Sophie Løhde,@sophieloehde,11944,593,1868,04/06-2009,Folketinget
Per Clausen,@PerClausen3,11685,500,9103,22/12-2012,Regionalt/lokalt
Benny Engelbrecht,@BennyEngelbrech,11680,3055,17762,10/03-2012,Folketinget
Frank Jensen,@FrankJensenKBH,11195,264,1769,29/06-2009,Regionalt/lokalt
Astrid Krag,@Astridkrag,10995,1272,4445,29/07-2009,Folketinget
Henrik Sass Larsen,@SosseSass,10303,43,149,24/04-2013,Folketinget
Karsten Styrbæk Lauritzen,@StemLAURITZEN,9817,462,1373,24/03-2009,Folketinget
Jonas Dahl,@jonasdahl,9676,1027,4397,11/03-2009,Folketinget
Christine Antorini,@Antorini123,9298,365,2684,06/08-2013,Folketinget
Mogens Jensen,@MogensJensenS,8838,316,1151,25/02-2013,Folketinget
Mette Gjerskov,@MetteGjerskov,8358,245,4481,15/03-2012,Folketinget
Morten Bødskov,@mfMorten,8307,722,3536,16/12-2013,Folketinget
Peter Hummelgaard,@PHummelgaard,8284,1339,5778,05/06-2012,Folketinget
Lotte Rod,@LotteRod,8156,6157,4812,20/12-2011,Folketinget
Anna Mee Allerslev,@annaallerslev,8073,2065,514,16/03-2009,Regionalt/lokalt
Jesper Petersen,@Jesper_Pet,7984,902,4116,09/06-2013,Folketinget
Jeppe Kofod,@JeppeKofod,7928,564,1879,17/03-2009,EU
Margrete Auken,@MargreteAuken,7718,482,5016,04/05-2009,EU
Jakob Engel-Schmidt,@engelschmidt,7253,1686,5192,18/07-2011,Regionalt/lokalt
Morten Helveg,@mortenhelveg,7235,478,1881,23/03-2009,EU
Udenrigsministeriet,@UM_dk,7178,279,3172,17/04-2013,Folketinget
Sophie H Andersen,@SophieHAndersen,7026,643,2637,03/05-2009,Regionalt/lokalt
Joachim B. Olsen,@JoachimBOlsen,7025,476,1312,01/12-2013,Folketinget
DanskFolkeparti,@DanskDf1995,6937,452,872,28/02-2013,Parti
Jens Rohde,@rohde_jens,6761,303,480,16/12-2013,EU
Trine Bramsen,@Trinebramsen,6710,868,3799,06/04-2010,Folketinget
Nikolaj Villumsen,@nvillumsen,6505,1424,8663,28/04-2009,Folketinget
Bendt Bendtsen,@BendtEU,6362,2523,783,06/12-2012,EU
Christel Schaldemose,@SchaldemoseMEP,6303,217,3293,07/03-2013,EU
Pelle Dragsted,@pelledragsted,6267,677,4043,04/03-2010,Folketinget
Brian Mikkelsen,@BrianMikkelsenC,6193,464,907,22/08-2012,Folketinget
Rasmus Prehn,@RasmusPrehn,6159,1206,1636,11/03-2009,Folketinget
Søren Espersen,@espersendf,6012,140,836,29/03-2014,Folketinget
Forskning Innovation,@UFM_FI,5941,1017,3558,15/03-2011,Folketinget
Morten Løkkegaard,@Loekkegaard_MEP,5894,348,1215,07/11-2009,EU
Michael Aastrup,@michaelaastrup,5843,2345,3263,13/09-2008,Folketinget
Benedikte Kiær,@benediktekiaer,5715,302,2907,29/10-2009,Regionalt/lokalt
Mai Mercado,@_MaiMercado,5434,559,1183,11/01-2013,Folketinget
Lisbeth Bech Poulsen,@LisbethBPoulsen,5430,1072,3929,20/06-2013,Folketinget
Ole Birk Olesen,@olebirkolesen,5338,425,619,12/12-2013,Folketinget
Maja Panduro,@PanduroMaja,5306,961,698,18/08-2013,Folketinget
Kirsten Brosbol,@Kirstenbrosbol,5301,339,548,23/03-2009,Folketinget
Jakob EllemannJensen,@JakobEllemann,5218,222,516,14/06-2010,Folketinget
Marianne Jelved,@mariannejelved,5127,53,133,07/03-2014,Folketinget
