id,created_at,text
403505150536347648,2013-11-21 12:48:19,Få nu for pokker lukket for hanen til GGGI og Lars Løkke og brug udviklingsbistanden til at bekæmpe fattigdom #dkpol
403504141252562944,2013-11-21 12:44:18,RT @politiken: Yahya Hassan: Knausgård gav mig et personligt spark i røven http://t.co/uH36t6aokQ
403493753362477056,2013-11-21 12:03:02,"769 personlige stemmer, wow, tak #aarhus for genvalget! #kv13 #aarhuspol"
402953019563995136,2013-11-20 00:14:21,"Live fra optælling på skovvangsskolen i #aarhuspol #kv13 partiet ""blank"" står næsten til at komme ind i regionen"
402627239994343425,2013-11-19 02:39:49,Forsvarsminister Nicolai Wammen: Det er vigtig for Aarhus at have @AageRaisNord i byrådet.: http://t.co/j7UXKfnW05 via @youtube #kv13
402616035821756416,2013-11-19 01:55:17,MVI 0192: http://t.co/SGKF9uLWO1 via @YouTube
402546319983513600,2013-11-18 21:18:16,"RT @spold: Stem på .@AageRaisNord og undgå at kulturby 2017 bliver til Tina Turner, Steffen Udbrandt og de Kgl på Aros."
402228219581325312,2013-11-18 00:14:15,MVI 0114: http://t.co/J62APRU9J4 via @YouTube
402216626281795584,2013-11-17 23:28:11,Socialpædagog Verne Pedersen: Aage er en anderledes politiker som jeg siger god for: http://t.co/ViuUdtBUGy via @YouTube
402194017242607616,2013-11-17 21:58:20,Palle Granhøj:: http://t.co/PPL8jaChej via @YouTube
402187177062187008,2013-11-17 21:31:09,"Stort kram og tillykke til min anbefaler Nønne Svalholm, leder af #Ambassaden med 1.prisen i Go West talentkonkurrencen på @AarhusFilmFest"
402186007035924481,2013-11-17 21:26:30,"Forsvarsminister Nicolai Wammen har lavet en ret skøn anbefaling af mig, tjek min hjemmeside http://t.co/GArsGsMbEu #kv13 #dkpol"
402183537010286592,2013-11-17 21:16:42,@FilmmagasinEkko @BilleSteen Nu har han to
402179441989668864,2013-11-17 21:00:25,@TorbenBrandi tak gamle kæmper
402134636265885696,2013-11-17 18:02:23,Wow er helt blå under øjnene af valgkamps slutspurt - men indeni er jeg stadig knaldrød #KV13 #iAarhus #dkpol
401695917159751681,2013-11-16 12:59:04,Deler roser ud sammen med Nicolai Wammen i dag (lørdag) kl 15 i løvbjerg centret Trøjborg #aarhus #kv13
401694612970278913,2013-11-16 12:53:53,"Aage Rais har visioner også for samfundet, stem på Aage! Jørgen Leth blander sig i #aarhus valgkamp http://t.co/mDSv4bFuyO #dkpol #kv13"
400245646772297728,2013-11-12 12:56:13,#danjørgensen laver anbefaler video for #kv13 kandidat @AageRaisNord - #aarhus byråd behøver Aage! Se videoen her: http://t.co/GArsGsMbEu
400022990844223488,2013-11-11 22:11:27,"""Hellere en kugle for panden end på plejehjem"" Alice 74 år - citat fra dagens private vælger møde Bildbjergparken #Aarhus #KV13"
398508564102131713,2013-11-07 17:53:40,Aage Rais-Nordentoft: Det vil jeg med kulturen og kunsten i Aarhus!: http://t.co/WIAyi4cGjL via @youtube
397484785657843712,2013-11-04 22:05:32,"Stem på Aage, det gør jeg!l Lektor i digital design Søren Pold: http://t.co/x5baAoQika via @youtube"
395511738130771968,2013-10-30 11:25:21,Lidt frækhed skal der til i #aarhus #kv13 http://t.co/d7QXUSGfDE
392666787394772992,2013-10-22 15:00:32,Har idag underskrevet kandidatlisten til #kv13 jeg var den eneste socialdemokrat der skrev sit navn med rødt #aarhus
388317299410599937,2013-10-10 14:57:13,Er meget glad for MONO og dermed Aarhus´musikfremtid er reddet - det kræver selvfølgelig øvelokaler at være kulturproducerende by  #aarhus
388309245546205184,2013-10-10 14:25:13,"RT @Gyldendal: Kæmpe tillykke til Alice Munro, der vinder Nobels litteraturpris 2013! Find hendes bøger på gyldendal.dk: http://t.co/yIwxvK…"
388295382528036864,2013-10-10 13:30:08,"Så lykkes det, Monorama og dermed øvelokalerne for musikvækstlaget i #Aarhus er reddet! Er rigtig glad, S, SF, R og Ø stemmer det igennem."
388023009719500802,2013-10-09 19:27:49,Her et bud på en valgkampsfilm for @AageRaisNord #Århus  - kommenter gerne #Kv13 #dkpol #genvælgaage http://t.co/yWc1K2Ilcc
