id,created_at,text
765078846236454912,2016-08-15 06:53:06,RT @SociologenHD: En alkoholiker kan altid finde en undskyldning for en drink. En SF'er kan altid finde én for en skat. #dkpol
764834071923003392,2016-08-14 14:40:27,#Liberalungdom #SænkSkatten @LiberalAlliance https://t.co/gFIgw4xh3s
764425964856209408,2016-08-13 11:38:47,Vi ønsker topskatten afskaffet. Derfor er det ikke et urimeligt krav at skære den 1/3 til efteråret. #dkpol #topskat #Liberalungdom
764425321265463296,2016-08-13 11:36:13,Vi skal holde V oppe på deres regeringsgrundlag. Derfor får vi 5% på topskatten eller et valg. #dkpol #Liberalungdom https://t.co/XsNAP1zsOb
763478393623023616,2016-08-10 20:53:28,Forsiden af @LandbrugsAvisen #Dkpol https://t.co/eY3icfEDlh
761909109583208448,2016-08-06 12:57:41,Det er altid en fornøjelse når folk siger at de stemmer @LiberalAlliance #Gallup #LivetMedMeningsmålinger #Dkpol
761908121493204992,2016-08-06 12:53:46,@SimonEmilAmmitz @RohlChristopher #jordbrugsøkonomi ❤
761907329524793344,2016-08-06 12:50:37,@BenjaminMoeller @AlexVanopslagh den er oppe
761907111043403776,2016-08-06 12:49:45,Jeg køber stadigvæk buræg. En udfasning vil skade de laveste indkomster. #Dkpol #buræggate
759164575157813248,2016-07-29 23:11:53,Optaget på #jordbrugsøkonomi på #Københavnsuniversitet
758279812326752256,2016-07-27 12:36:10,Er du iværksætter indenfor #Science? Så kom og netværk med #NSE. Læs mere på https://t.co/afmXZI9dMY #iværksætter #business
758279228307673088,2016-07-27 12:33:50,RT @LiberalUngdomDK: Liberal Alliances Ungdom støtter @GovGaryJohnson som præsident i USA. Han står lige nu til 13 % i landet og 26 % i Uta…
758279006223466497,2016-07-27 12:32:57,Dybt useriøst behandling af #Bios fra #RegionSyddanmark.
755668040591769600,2016-07-20 07:37:55,"RT @LiberalUngdomDK: Vi tager afstand fra videoen og henviser til, at Nicolai Oster ikke længere er medlem af LAU. https://t.co/UKR9UfJ39K…"
