id,created_at,text
793854579154751488,2016-11-02 16:37:35,@nebrottorben Fordi stater kan finde på at opføre sig dybt protektionistisk -og det er ok at virksomheder kan anlægger sager i det tilfælde.
793745154398101505,2016-11-02 09:22:46,@LarsHNielsen2 @bjhjuler Hvem skaber TTIP og CETA ikke rigdom for?
793738875898396680,2016-11-02 08:57:49,"Mere frihandel mindre protektionisme, tak ! #dkpol #eudk https://t.co/pmnG8a2nSg"
793734090973478912,2016-11-02 08:38:48,"@LarsHNielsen2 @bjhjuler ...du mener at CETA og TTIP ikke skaber rigdom, eller?"
792687167931908096,2016-10-30 11:18:42,"RT @AndreasKamm1: Er ekstremt bekymret for den million mennesker, som er spærret inde af konflikten i Mosul/Irak. Et nyt Aleppo vil være en…"
791689278543757313,2016-10-27 17:13:27,RT @SuneKJensen: Normalisering af elafgift for forlystelser medfør investering i udvikling af nye oplevelse t gavn for #dkturisme. Tak t @J…
791618400372068352,2016-10-27 12:31:48,@BjarkeMoeller @Loekkegaard_MEP @thinkeuropa Så snupper vi det!
790548141422571520,2016-10-24 13:38:59,"RT @ThomasFunding: .@anderssamuelsen inden 2025 forhandlinger: DF kan glemme alt om permanent grænsekontrol, så længe de afviser topskattek…"
790535968990326784,2016-10-24 12:50:37,RT @FrederikTillitz: @ChristinaEgelun og @naserkhaderdk i opgør med asylsystemet #dkpol https://t.co/8wiA3Js457
790473546724237312,2016-10-24 08:42:34,@alternativet_ @AvWLovgreen @uffeelbaek @Radio24syv protektionisme og lukkethed fra Å - det havde jeg ikke set komme
790254590604275712,2016-10-23 18:12:31,Jamen selvfølgelig....hun mener jo at EU er større trussel mod DK end Putins Rusland 😳 #dkpol https://t.co/QmH7xl2u6Z
790110924652896256,2016-10-23 08:41:38,@Kristensenberth @Loekkegaard_MEP @DanskDf1995 @rohde_jens hvad har han med sagen at gøre ?
789907482487521280,2016-10-22 19:13:14,@janus1233 @DanskDf1995 tak....tror jeg nok:)
789445852116951040,2016-10-21 12:38:52,Hykleri... @DanskDf1995 stemte i sidste uge FOR at bremse samme frihandelsaftale #dkpol #eudk https://t.co/RtxCH1dt2b
789443675424223232,2016-10-21 12:30:14,"@Kristensenberth ...runger mildest talt hult, når du i sidste uge ville blokere samme handelsaftale i folketingssalen... #dkpol #eudk"
788720932118462464,2016-10-19 12:38:18,RT @berlingske: Småborgerligt værdifællesskab https://t.co/ZV861NSc6G https://t.co/rh5xqoTi1D
788352305208946688,2016-10-18 12:13:31,"RT @mortenskaerbaek: DF fik medietræning betalt af EU - Politiken.dk
#dkpol https://t.co/PL64WCmg6R"
788074159284838400,2016-10-17 17:48:15,EU-betalt sommergruppemøde? Hvis det er indenfor reglerne skal reglerne laves om #dkpol #eudk
786862763800928256,2016-10-14 09:34:36,RT @PCollignon: I Kina blokerer de internettet ... https://t.co/XKfCUdK0g7 #antiradikalisering #dkpol
784315337407815680,2016-10-07 08:52:02,@edtwodth lige over :)
784308185268006913,2016-10-07 08:23:37,@edtwodth jeg holdt for rødt :)
783953965289537536,2016-10-06 08:56:05,"Yvonne bringer @Spolitik tilbage til tiden med 12 min, unfair forandring &amp; ugængse regnemetoder #dkpol #ftlive"
783242196237619200,2016-10-04 09:47:46,"RT @LiberalAlliance: 🇩🇰 har siden d.4/1 haft grænsekontrol på trods af Schengen. Så hvad er problemet, DF? @ChristinaEgelun i @raesondk.  h…"
782963969233387520,2016-10-03 15:22:11,"RT @raesondk: ""Schengen forhindrer IKKE grænsekontrol, så hvad er problemet, DF?"" skriver @ChristinaEgelun i RÆSON. #dkpol #eudk https://t.…"
782186420224024576,2016-10-01 11:52:29,Kovending i nye højder. Ko-flyvning? 🐄✈️ #dkpol #eupol
781496513973354500,2016-09-29 14:11:03,"RT @Faengselforbund: Retsudvalget på Tour de Fængsel i dag: Nyborg Fængsel, Odense Arrest, Søbysøgård Fængsel og til slut Vestre Fængsel i…"
781192296859566080,2016-09-28 18:02:12,RT @jyllandsposten: Liberal Alliance er klar til afstemning om Europol https://t.co/F1o2iryQXE https://t.co/OV5tqGqXVA
779022182739505152,2016-09-22 18:18:56,"Vi skal indføre humant asylstop, så vi kan tage flere kvote-flgt og sende flere penge til nær-omr #dkpol #drdebatten"
778622662667010048,2016-09-21 15:51:23,"@Spolitik udspil på postkort: 
""Kære skatteydere, her går det godt - send flere penge, kh Staten"" #dkpol https://t.co/gBLuhZWqFL"
778594884764758016,2016-09-21 14:01:00,"Vi skal nedkæmpe terror, ikke tørklæder #proportioner #dkpol"
778567058766299137,2016-09-21 12:10:26,"RT @LiberalAlliance: Det er ligemeget om du tror på Gud, Allah eller Spaghettimonsteret - folkeskolen skal være for alle, siger @ChristinaE…"
778201599017713668,2016-09-20 11:58:14,@RasmusPrehn p s-råd om #Uber: pb @ politi udsteder p-bøde til 3F men ikke sigter alle u-chauffører. Lighed f loven el f pol helte? #dkpol
777946155632193536,2016-09-19 19:03:11,@skaarup_df hey! Her er vi i @LiberalAlliance totalt enige 👍
777415625224364032,2016-09-18 07:55:03,RT @anderssamuelsen: Taleren og samtlige der klappede var blevet smidt ud af LA på stedet https://t.co/0efwhQgcVY #dkpol
775356317850533888,2016-09-12 15:32:06,RT @Digital_Agenda: Sidste uge fyldte teleforliget 17 år. Svarer - omregnet i teknologiske menneskeår - ca til flere generationer https://t…
775342311916134402,2016-09-12 14:36:26,"RT @DKAMBinUkraine: DK parliamentary delegation to @PACE_News paying respect to victims, activists of #Ukraine's Revolution of Dignity http…"
775270386900623360,2016-09-12 09:50:38,"RT @DKAMBinUkraine: Productive, enlightening mtg of DK  @PACE_News delegation w chair of Foreign Policy C-tee Hopko + fmr FM Tarasyuk https…"
773068699704102912,2016-09-06 08:01:55,@aggemamdk der er ikke fastsat en dato endnu - vi venter 😱😱😱
772897733690658816,2016-09-05 20:42:34,"RT @R4nd4hl: Forstå partiernes hash-politik på et øjeblik.
#dkpol https://t.co/ya6zKR5UJq"
771950234184409088,2016-09-03 05:57:32,"Sådan,  @radikale ! Så mangler vi blot @sorenpind og @venstredk #dkpol  https://t.co/OExV2JMji7"
771709832579706880,2016-09-02 14:02:16,Tag hashhandlen fra de kriminelle #dkpol https://t.co/aVfQ0G65Ol
771631699327279104,2016-09-02 08:51:48,RT @Sofus: Kloge kvinder! Tak for at stå fast på den eneste rigtige løsning: legalisering  @ChristinaEgelun @LisbethBPoulsen Lokal familief…
771472434763534336,2016-09-01 22:18:56,"@LiberalAlliance @olebirkolesen i @DebattenDR2: ""fritid er ubeskattet, det er derfor, det er så populært"" 😂Ole vs irrationale 1-0 👍 #dkpol"
771361256070639617,2016-09-01 14:57:09,@kimthedanish @KonservativeDK @SorenPape ja! De kriminelle skal ned med nakken - tag hashhandlen ud af deres arme
771360816230703105,2016-09-01 14:55:24,@edtwodth Polemik ! De kriminelle skal ned med nakken - men forbudsvej mod hash er håbløs. Hvorfor holde hånden under bandernes marked?
771359446958235648,2016-09-01 14:49:57,@kimthedanish @KonservativeDK @SorenPape #Christiania er helt klart mere et fristed for hårdkogte kriminelle end for frie typer
771357674193711105,2016-09-01 14:42:55,Nej nej nej. Gøre mere af det samme og forvente nyt resultat =intellektuelt sammenbrud #dkpol  https://t.co/fskgl4VMbW
771356349225693185,2016-09-01 14:37:39,Nej nej nej... Gøre mere af det samme og forvente nyt resultat = intellektuelt sammenbrud.  https://t.co/fskgl4VMbW
771355321981894656,2016-09-01 14:33:34,@edtwodth @ClausOxfeldt lad nu ikke fordommene løbe af med dig... 😜
771354481732747264,2016-09-01 14:30:14,@edtwodth @ClausOxfeldt jeg lytter gerne - fx til tidl chefpolitiinspektør Per Larsen https://t.co/RHZwaUzkqc
771348210463936512,2016-09-01 14:05:18,"Legaliser hash og tag handlen ud af armene på de kriminelle, der skyder på vores betjente #dkpol #christiania"
771087322976776196,2016-08-31 20:48:38,@nadeemfa @LiberalAlliance @anderssamuelsen T-A-K 🙏🏼
771083917940187136,2016-08-31 20:35:06,RT @AlexVanopslagh: Anders Samuelsen gør topskattelettelser til en værdikamp. Jeg er så stolt af mit parti lige nu! #dkpol #tv2news
771083892044472322,2016-08-31 20:35:00,"RT @LiberalAlliance: Kun i 🇩🇰 anno 2016, kan det være BREAKING, når et parti står ved sin politik. 😂✌🏻️ #dkpol #dkmedier https://t.co/QVgMb…"
769834001863471104,2016-08-28 09:48:23,"@hec4x4 @LiberaleVidner @plupost @LiberalAlliance humant asylstop er at hjælpe flest, hvor nøden er størst"
769786162835783680,2016-08-28 06:38:17,@WalterAKovacs @LiberalAlliance say what? De penge vi kan spare ved et asylstop vil vi bruge i nærområderne
769622847673303040,2016-08-27 19:49:20,Understreger præcis pointen i @LiberalAlliance humant asylstop ! Let's get rolling &amp; hjælpe mange flere! https://t.co/l2WFHlBjtg #dkpol
769622016508952576,2016-08-27 19:46:02,Musketer-ed for 13 LA-MF'ere. En for alle &amp; alle for en! #dkpol https://t.co/vscKFAj9bY
769621172753469445,2016-08-27 19:42:41,RT @anderssamuelsen: Portræt og baggrund. https://t.co/y4Z57BRdU9 #dkpol
769228250350555136,2016-08-26 17:41:21,"RT @sorenpind: Wolfowitz.... Det er vildt. Former Bush adviser may vote for Clinton, says Trump is security risk https://t.co/NhfbGZfF2V"
767107743383707649,2016-08-20 21:15:12,RT @dr2deadline: .@NannaWG: Kriminalisering har aldrig gjort noget godt for sociale problemer
766934692172038144,2016-08-20 09:47:34,God pride ! ❤️💜💛💙💚💋 #cphpride16
764879543614205952,2016-08-14 17:41:08,Wauw. Where to start ? 😳😳 https://t.co/ShEzxRKqaE
764819224741179392,2016-08-14 13:41:27,@FinnNielsen @fyensdk ....og?
764471918619660288,2016-08-13 14:41:23,"RT @politikodk: LA: Vi står på humanismens grund, for vi hjælper flere flygtninge end alle hyklerne https://t.co/FgecHrBvA4 #dkpol https://…"
764445113124843520,2016-08-13 12:54:52,@BosseStine @EuropaBev hvad var svaret på mit spørgsmål ? Udover fluffy tale?
764441855685718016,2016-08-13 12:41:55,"@BosseStine @EuropaBev hvad er problemet? Hvis man kærer sig om konv bør man også gå op i, at de er nutidige"
764406644587565056,2016-08-13 10:22:00,@BayMads @LiberalAlliance @SociologenHD jep!
764406523384791040,2016-08-13 10:21:31,RT @LiberalAlliance: .@ChristinaEgelun må af med en flaske 🍾 til @SociologenHD #pokemongo #dkpol https://t.co/F7ZsCIDlP1
764388748981374976,2016-08-13 09:10:54,RT @LiberalAlliance: Vores udspil til efterårets forhandlinger. #dkpol https://t.co/mGedJuvLvv
764386627259076608,2016-08-13 09:02:28,@TheYellowPete @LiberalAlliance @SociologenHD gerne - se med på pressemødet - nu!
764385266752753664,2016-08-13 08:57:03,@TheYellowPete @LiberalAlliance @SociologenHD op med humøret :-))
764377626463072257,2016-08-13 08:26:42,"Jeg har lovet @SociologenHD en flaske champagne, hvis han på @LiberalAlliance pressemøde siger #PokemonGO #dkpol https://t.co/CIuXiKR36C"
764039180569763840,2016-08-12 10:01:50,"RT @askrost: Forstår vist ikke helt tumulten...har det ikke hele tiden stået klart, at LA ultimativt ville have mindst 5 pct. på toppen? #s…"
763837364850556929,2016-08-11 20:39:53,"Op med ambitionerne, Danmark! 😎https://t.co/mWMAAfh6pm #dkpol"
763475107922714624,2016-08-10 20:40:25,RT @AlexVanopslagh: Skriver i Politiken om hvordan offerkultur gør livet mere besværligt for unge mennesker https://t.co/SL1l4byi6R #dkpol
763302104974884868,2016-08-10 09:12:57,RT @elizabethforma: .@realDonaldTrump makes death threats because he's a pathetic coward who can’t handle the fact that he’s losing to a gi…
763085095129477120,2016-08-09 18:50:38,@roadhigh @FortunaHjorring jo men der står jo heller ikke noget om en laaaang karriere 😜
763082507063554048,2016-08-09 18:40:21,@roadhigh yes!! Nu ikke så overrasket 😳@FortunaHjorring
763082352964825089,2016-08-09 18:39:44,"@jesbc tæt på: campingchef! Men jo, var også med et cirkus en sommer ;-))"
763069401432195072,2016-08-09 17:48:17,"🍦is-pige 
🍔 flippen' burger
🍽 opvasker
⛹🏼 fodboldtræner (dammit!)
🍷 Pariser-servitrice 
💷 vekselerer 
🎪 chef!
#firstsevenjobs #dkpol"
758783808116289536,2016-07-28 21:58:52,RT @LiberalAlliance: LA: Ingen mening i at straffe muslimer kollektivt 👉 https://t.co/LKGVzCpY9E #dkpol https://t.co/dbElwQGzLZ
758397571048103937,2016-07-27 20:24:05,RT @anderssamuelsen: Drop det Søren Espersen: https://t.co/8A2KngKKId #dkpol
757792163618893824,2016-07-26 04:18:25,"RT @MartinCEPOS: Trump and Putin: ""A foreign power that wishes ill upon the US has attached itself to a major presidential campaign"" https:…"
756899724280655872,2016-07-23 17:12:11,@NutReally @christianpanton @mathiasks god ide !
756419023827529728,2016-07-22 09:22:03,@FlemmingRiis @aggemamdk @LiberalAlliance måske man kan forestille sig en SIKKER digital formidling ? 😳
756055000862887936,2016-07-21 09:15:33,"RT @LiberalAlliance: .@ChristinaEgelun på @tv2newsdk: ""vi må have samlet ansvaret for danskernes datasikkerhed et sted"" #dkpol https://t.co…"
755779648773058560,2016-07-20 15:01:24,You bet. Jeg er målløs. #dkpol https://t.co/Q8WXqtth89
