id,created_at,text
786184529136549888,2016-10-12 12:39:33,"RT @perchristen3F: Vismænd underkender regeringens dystre syn på off.finanser. Udfordringen er kvalificeret arb.kraft. #dkøko #dkpol
https:…"
784002852637274112,2016-10-06 12:10:20,@edtwodth Efter min mening kan man ikke sætte grænsen ved menneskers påklædning! Vil det også gælde ensartede slips?#politiko; #dkpol
784001633596432384,2016-10-06 12:05:30,Tænk at Venstre kan få sig til at håne mennesker det rammes af deres ulighedsskabende politik!#dkpol #politiko
784000616205017088,2016-10-06 12:01:27,"RT @NWammen: Jacob Ellemann Jensen mener, at det er ""en håndsrækning"" og ""generøst"", at en enlig mor mister 2600 kr om måneden. Jeg er helt…"
784000506532401154,2016-10-06 12:01:01,"RT @PHummelgaard: Trump'ske tilstande. Titusinder må gå fra hus og hjem. Tusinder børn vokser op i fattigdom. V kalder d ""håndsrækning"", ""g…"
783988490774126592,2016-10-06 11:13:16,"Efter Pia Kjærsgaards udsmidning af fire folketingsmedlemmer: ""Hvordan er det nu lige med ytringsfriheden."""
783941931608969216,2016-10-06 08:08:16,"Mette Frederiksen på talerstolen med humor, vid og bid! Statsministerens plan minder om ""Olsen Banden""#dkpol #politiko"
783928504081678336,2016-10-06 07:14:54,RT @BennyEngelbrech: Finansministeriet anerkender at der er strukturel balance i @Spolitik udspil til #tyve25 forhandlinger. Tak for det #d…
783184926074167296,2016-10-04 06:00:11,"@P4Nord @Spolitik @HavOrla @P4Nord Nej, ikke om mig selv , blot en quiz og helst om Nordjylland"
773059114201190400,2016-09-06 07:23:50,"I dag diskuteres finansloven!
En gentagelse af FL 16: ""De rigeste vandt på FL2016 - hvem skal nu tilgodeses?""
#dkpol #dkmedier"
745890687137292288,2016-06-23 08:06:12,"Blev dansk hestevæddeløb truet på livet på et usagligt grundlag, spørger jeg efter statrevisorernes rapport?#dkpol #ekstrabladet"
738105092277194752,2016-06-01 20:29:01,"@BenjaminElberth Held og lykke Benjamin, stor hilsen Orla"
735375927857778689,2016-05-25 07:44:18,Løkke inviterer Borg til inspiration. Svenskerne rydder op efter hans indsats!#dkpol
727135985079865345,2016-05-02 14:01:43,"Danmark bør kende sin besøgelsestid, når det gælder rumfartsteknologi og jobs!#dkpol #politiko"
712306444855549952,2016-03-22 15:54:25,"#ipu134 Ipu discusses youth in democracy! In Denmark we say: ""A society which does not  include the youth, is not a part of the future."""
702483260883005440,2016-02-24 13:20:35,Blå blok tæt på børnehave stadiet. Mon Danmarks forventniger ikke er højere?#dkpol #dengordiskeknude #dkmedier #tv2news #
678859746531811328,2015-12-21 08:49:10,Endnu en gang svækker DF mulighederne for at sikre dansk arbejde til danske arbejdere og virksomheder.#dkpol #medienyt
672708548179206144,2015-12-04 09:26:30,Griber blot et af DF's medlemmer chancen? De kan redde pensionisterne for nedskæring af deres boligydelse! https://t.co/OHPwxXrBBf
651346187149291520,2015-10-06 10:40:07,Åbningstale: Ubegribeligt at Løkke slet ikke lærte noget af forgyldningen af de private sygehuse fra nullerne
633568223154282496,2015-08-18 09:16:50,"Stor glæde over at vi ikke skal ødelægge Nordjyllands herlighedsværdier i jagt på ""sort guld""!#politidk"
615152653765582849,2015-06-28 13:39:56,Velkommen til en socialdemokratisk formand med vid og humor! #dkpol  #orlahav
614762946229608448,2015-06-27 11:51:22,"I morgen står et stærkt og samlet Socialdemokrati bag den nye formand der skal tegne fremtiden for Danmark!
#dkpol #orlahav"
611172188503285760,2015-06-17 14:02:59,@BramsenDK @nordjyskedk Vi arbejder for at skabe jobs til alle. Vi har forventninger til alle som en del af vores fælles samfund!
610857016697978881,2015-06-16 17:10:36,RT @nordjyskedk: .@HavOrla lægger ud med visionerne 'arbejde til alle' og 'tryghed i hverdagen'. #fvnord
609267021939806208,2015-06-12 07:52:32,@andersbroholm @HavOrla Rolig nu Anders - der bliver kamp til stregen og radikal deltagelse
608275865437372416,2015-06-09 14:14:02,3F fokus møde om offentlige arbejdspladser #orlahav #dkpol #fvnord #engageretiDanmark http://t.co/mHkLBiLw8m
608253226983518208,2015-06-09 12:44:04,Liselund plejehjem debatmøde #orlahav #dkpol #fvnord #engageretiDanmark http://t.co/ImBjdoBCvC
608161425735983104,2015-06-09 06:39:17,Aalborg Fremtid #orlahav #dkpol #fvnord http://t.co/U3kWsAM4pG
607981444519067648,2015-06-08 18:44:06,"@Komikerforening @Spolitik det passer ikke, det jeg har ikke sagt"
607981039345090560,2015-06-08 18:42:30,RT @Aav_dk: Oplev en anderledes valgduel i sulky når Orla Hav (S) udfordrer Anders Broholm (V) i et show travløb fredag den... http://t.co/…
605638690921148416,2015-06-02 07:34:50,Morgen i DR. Du kan lytte mig nu om P4 Nordjylland. #orlahav #fvnord #fv15 #DRDinStemme http://t.co/DmqxM656zP
604562270434246656,2015-05-30 08:17:32,"Fantastisk start på valget! Man fristes til at bruge Obama citatet: ""Yes, we can""!"
603452407528423424,2015-05-27 06:47:20,Valget er enkelt: Fortsat stabilitet og udvikling eller                          eksperimenter og afvikling! #dkpol
601689373936119808,2015-05-22 10:01:40,"Ny og flot hjemmeside: http://t.co/1TrfmnK2pS Velkommen til et kig!
#dkpol"
601341053787049984,2015-05-21 10:57:34,Rigtig godt og fremsynet udspil fra regeringen med konkrete udspil til at forbedre børns vilkår og hverdag! #dkpol
596665628372635649,2015-05-08 13:19:05,"@nordjyskedk ""Ferie"" udstilling i Urtehaven var velbesøgt i dag #dkpol #orlahav http://t.co/FzhhYbbrf7"
596201433894092801,2015-05-07 06:34:33,50 nye lægestuderende pr. år  AaU - en rigtig god nyhed resultat af en stærk uddannelse med nytænkning.#dkpol #dkmedier
590460613756870657,2015-04-21 10:22:35,"Glæder mig til at besøge Åbybro Efterskole mandag den 27. april, kl. 9.00! Efterskolerne gør en flot indsats for vore unge !"
556115048679374848,2015-01-16 15:45:34,"Sigurd var i Christiansborg praktik i denne uge! Tak, for godt samspil ! http://t.co/k0XIV7cESY"
