id,created_at,text
728140211289350146,2016-05-05 08:32:09,"RT @thomasmedom: Hvis Kolding Kommune ikke kan tiltrække en dygtig direktør til en årsløn på 2,1 mio og derfor vil hæve lønnen må de have a…"
708326821192998912,2016-03-11 16:20:48,@RikkeGierahn så må vi hellere få et link 😉 https://t.co/aX94ekfi5l
708323554773827585,2016-03-11 16:07:50,SF's forslag om mere to-voksenundervisning: https://t.co/L4rhBrqqOm #aalfgf
667768243038330880,2015-11-20 18:15:30,RT @stiftendk: BUPL Århus raser mod finanslov: Børn betaler bilismen https://t.co/xCkNtFG0PC https://t.co/e6x8dzPU2y
607835962350149632,2015-06-08 09:06:01,RT @SFpolitik: .@PiaOlsen Landbruget skal tage klima- og miljøansvar. Ellers bør kassen smækkes i #dkpol http://t.co/wGni8Fuwpb
607835821853523968,2015-06-08 09:05:27,@mettealbaek Det et farligt. De kommer sjældent ned igen😁
607811170762948608,2015-06-08 07:27:30,29 kritiske spørgsmål om ny lufthavn ved Aarhus. Kan forhåbentligt åbne fleres øjne http://t.co/NDSob4xLBs #Aarhus #stiftendk
607584169863036928,2015-06-07 16:25:29,"@MadsJunggreen @JonasNiemann Ja jeg synes meget af det andet i udspillet er fornuftigt, men ikke nok til kompromis 😉"
607583271195668480,2015-06-07 16:21:54,"@MadsJunggreen jeg vil æde min gamle hat på, at forslaget vil øge uligheden i DK, hvis det blev gennemført. Chancen for dét er dog lig 0"
607573167620653056,2015-06-07 15:41:45,@MadsJunggreen det har jeg da heller aldrig sagt???
607572365644603393,2015-06-07 15:38:34,RT @kristianweise: Lavere skat får ikke folk til at arbejde mere: http://t.co/PkQ97XGcyL Men det - særligt lavere topskat - vil øge ulighed…
607570572873244672,2015-06-07 15:31:27,"@MadsJunggreen Jeg er ked af at måtte skuffe dig, økonomi er ikke en eksakt videnskab. De nævnte tager ikke højde for effekt af ulighed."
607547696199680000,2015-06-07 14:00:33,@MadsJunggreen @PiaOlsen Det er 1/2 mia der findes der... Topskattelettelserne koster 5 mia....
607518969042501632,2015-06-07 12:06:24,"@MadsJunggreen @PiaOlsen En årlig gave på 10.000 kr. i gns.snit til dem, der tjener over 450.000 før skat er ikke balanceret."
607294862971555840,2015-06-06 21:15:52,RT @SFpolitik: .@jonasdahl: først skulle alm lønmodtagere holde for med efterløn- og dagpengereform. Nu skal de betale Rs topskattelettelse…
607196402792460288,2015-06-06 14:44:38,"@jonasdahl Det var meget hårdt for Jonas at møde Aros, eller måske er det valgkampen😄 http://t.co/AjklS8b9YK"
607195246015991808,2015-06-06 14:40:02,RT @jonasdahl: Støtte til valgkampen fra en mulige stemme 😃 #SuperLiga @TV2OJ @stiftendk #stemjonas http://t.co/VOpN6A1cjg
607182061011615744,2015-06-06 13:47:38,"@JakobSClausen Tirstrup kan godt samle flere pas. med mere ro. Herudover nemmere adgang til BLL og AAL, timemodel og Kattegatforbindelse."
607167227092168704,2015-06-06 12:48:42,"RT @SFpolitik: Et gravsted er et gravsted, ligegyldigt religion man har. Denne handling er fej og respektløs. http://t.co/SOz6doMsJj #dkpol…"
607166891338133504,2015-06-06 12:47:22,@JakobSClausen Ikke mange tilbage i Byrådet der tror på en rent privat drevet lufthavn. Hertil kommer luk af Tistrup og infrastruktur til ny
607071907540832256,2015-06-06 06:29:56,RT @thomasmedom: Tankevækkende at @DanskDf1995 i Aarhus støtter at skattekroner skal gå til Social Dumping og lave lønninger. #Ryanair #arb…
607071050304749568,2015-06-06 06:26:31,@JakobSClausen vi skal spare pengene. Ny lufthavn kommer ikke til at løbe rundt. Skabe stabilitet og ro for selskaber i Tirstrup.
607070279345532928,2015-06-06 06:23:28,@EnnitS @CamillaCfj @peterbonfils SF's forslag om Flere busser i myldretiden i Aarhus - http://t.co/xNoAjFUgXj
606869246807838720,2015-06-05 17:04:38,@JanRavnC Er i Todbjerg for at tale om lufthavnsmodstand til Grundlovsmøde ved Todbjerg Tårn - læg mærke til alle vindmøllerne.
606868678592851968,2015-06-05 17:02:22,Det er i dette smukke landskab at et flertal i Aarhus Byråd overvejer en ny lufthavn - NEJ TAK #aarhus http://t.co/R1zGf5HsuY
606847971028824064,2015-06-05 15:40:05,@peterbonfils Betyder det at I støtter SF's forslag😉
606796137668997120,2015-06-05 12:14:07,"Fremragende grundlovstale hjemme i Mårslet af min byrådskollega Hans Skou - Frihed, ansvar og tolerance! http://t.co/IFW2b7IWqD"
606564831722795011,2015-06-04 20:54:59,RT @TV2OJ: SF vil bruge 100 mio. om året på gratis psykologhjælp til unge - http://t.co/hzqeuhEW6X #aarhuspol #dkpol #fv15oestjylland #fv15
606564760272781315,2015-06-04 20:54:42,@ThomsenNinna @SFpolitik @PiaOlsen og Aarhus😊
606451869926457344,2015-06-04 13:26:07,Dejligt med besøg fra formanden. Og med et vigtigt ærinde om gratis psykologhjælp! #aarhus #stemsf  https://t.co/dI3cKv5fvS
605834883189997569,2015-06-02 20:34:26,"RT @AnneSophiaHr: Hej FIFA, jeg er en frisk mand som er mellem job. Sporty og med mega høj troværdighed. Kan tiltræde straks, kh #dkpol htt…"
600958440358416384,2015-05-20 09:37:12,"@me_marco @jonasdahl Det tvivler jeg kraftigt på, snarere tværtimod. Herudover er Flensted jo lukket ned som mulighed."
600949218019250177,2015-05-20 09:00:33,@me_marco @jonasdahl Ingen investorer har hidtil meldt sig på banen. Det fortæller da noget om realismen.
600948955711741952,2015-05-20 08:59:30,@me_marco @jonasdahl Hertil kommer en kæmpe forskel i samfundsmæssig nytte. Og hvad sker der når/hvis Kattegatforbindelsen kommer.
600948756025090048,2015-05-20 08:58:43,"@me_marco @jonasdahl Kun i det mest positive scenarie. I det ""værste"" er tilbagebetaling på 26 år - uden tillæg på 1 mia. kr ved Thomasminde"
600943934160900096,2015-05-20 08:39:33,"@me_marco @jonasdahl Forventede årlige passagerer i 2025: Metro= ca. 130 mio., Ny lufthavn i Aarhus 0,5 mio."
600918797848018944,2015-05-20 06:59:40,@me_marco @Catobagger @jonasdahl Ved Flensted ville det stadig tage mindst 15 år før lufthavnen ville give afkast. Tvivlsom rentabilitet
600916475487064064,2015-05-20 06:50:26,"@me_marco @Catobagger @jonasdahl Manglende rentabilitet, god lufthavnsdækning i forvejen og stor miljøbelastning ved Thomasminde."
600723422377828352,2015-05-19 18:03:19,@jonasdahl Jamen tak!
504639215007969281,2014-08-27 14:38:59,Jette Skive valgte kortvarigt at træde tilbage på dagens byrådsmøde :-) #aarhuspol http://t.co/JuPMW6lP7g
