id,created_at,text
792738909415313408,2016-10-30 14:44:19,#halloween har også rammet #venstredk 👻 @ Faxe-hallen https://t.co/7793EGT9Lu
792335209039474688,2016-10-29 12:00:09,"Multi-Messe i Faxe. Og Venstre er stærkt til stedet! 
#Politikerpåjob #venstre… https://t.co/ZLoXm38kvy"
790652618615861248,2016-10-24 20:34:08,"Enhver mands drømmejulegave til sin partner! 
#julerhersnart #humor #julegaver #bum https://t.co/owq46sy7yl"
790494504742711296,2016-10-24 10:05:51,Denmark som nr 1. @sorenpind 's effektivitet duer! https://t.co/LAyliHwyhx
789524854454091776,2016-10-21 17:52:48,"#denmark - Home sweet home! No fiction, no myths, no lies, no tangled webs - this is how I see… https://t.co/ohFG4ODyou"
788727695815303169,2016-10-19 13:05:11,"RT @FoxNews: Texas moved from ""solid Republican"" to ""leaning Republican"" in this updated #FoxNews2016 election scorecard https://t.co/otpg6…"
786942833009709056,2016-10-14 14:52:46,"Efter en stille og rolig arbejdsdag, står en god middag og Kulturnatten på aftenprogrammet! 
God… https://t.co/ZZBOPNa13c"
786638770636455938,2016-10-13 18:44:32,"Venstres landsmøde! Jeg er så klar, Just bring it on 👠😎
#venstre #vlm16 #vifårnogetfrahånden… https://t.co/eDjuEEpgYE"
785571663052091396,2016-10-10 20:04:14,"Vi har  i aften vedtaget budgettet for de næste 4 år i Greve Kommune.

Vi investerer i vores… https://t.co/fiCMHIgFmX"
785235347772887040,2016-10-09 21:47:50,"Mankind has legs so it can wander. I am free in my wildness, I am a wanderess, a drop of free… https://t.co/uIut04Bvc3"
784481784050229248,2016-10-07 19:53:26,"There is no darkness so dense, so menacing, or so difficult that it cannot be overcome by… https://t.co/r8uYH6gQK5"
783705617546567680,2016-10-05 16:29:14,"Var lige en tur på min kommende arbejdsplads ❤️🇩🇰 Og Dannebrog pynter så flot! 
Vi er røde, vi… https://t.co/yiiU44FkNM"
783165790954467333,2016-10-04 04:44:09,"Morgenkaffe så jeg kan holde ventetiden ud!!Ude er godt, hjemme er bedst❤️ Home sweet home ✈️ @… https://t.co/ASZZMeE0EN"
780436281230630912,2016-09-26 15:58:03,"Og manden har jo ret! 😂😂
#justforfun #marriedlife https://t.co/3Tg6gD76zu"
779386827841032192,2016-09-23 18:27:54,"Mens jeg udvikler mit politisk talent i Horsens, knokler ""Team Latifa Ljørring"" for at gøre mig… https://t.co/34KYbR2yAY"
