id,created_at,text
793522958971072512,2016-11-01 18:39:51,😀😂 https://t.co/dAGwak9qx6
793520521409421312,2016-11-01 18:30:09,"Smuk film om dejlige Jylland. 🇩🇰

https://t.co/xlVuVg0knx https://t.co/YreEsTwLZh"
793519954519846913,2016-11-01 18:27:54,"Det har været en dejlig dag. GEOdatastyrelsen er flyttet til Aalborg. 🇩🇰#nordjylland #velkommen #dkpol
Som jeg... https://t.co/xtT1rjz0Kf"
793408669279027201,2016-11-01 11:05:42,Alternativet vil hæve afgifterne med omkring 50 milliarder kroner. De mange penge skal blandt andet komme fra... https://t.co/yT3snoTVpt
793394437045022720,2016-11-01 10:09:09,Det kan få katastrofale følger for os alle 😳#dkpol https://t.co/DeHe88zZiE
793382643354234880,2016-11-01 09:22:17,RT @skaarup_df: 'I have a dream' får pludselig en helt anden betydning :-) #dkpol https://t.co/iZtvSTpd61
792820451974193152,2016-10-30 20:08:20,@mfMorten Synes du selv du er sjov 😡😳😀Bare vent til i kommer til Nordjylland 😀
792767257139183618,2016-10-30 16:36:57,#dktrafikinfo #dkpol https://t.co/d3wkhQc3AM
792722491290554368,2016-10-30 13:39:04,RT @HoghSorensen: Præcis hvor taler @skaarup_df usandt? Se @EkstraBladet og co få tvivlsomme EU-penge: https://t.co/zBV0wZGWBu #dkpol @Deba…
792439737596383232,2016-10-29 18:55:30,Jeg er enig i kritikken. For meget tivoli og for lidt fokus på hvad det egentlig handler om. https://t.co/dgkZVxisGc
792087217531392000,2016-10-28 19:34:43,"Stærkt gået af Læsø kommune.  Noget der virkelig rykker for virksomheder, turismen og for borgerne på øen.... https://t.co/vZCaxxezkg"
792059515197853696,2016-10-28 17:44:38,"Spil Dansk Dag- hyldest til dansk musik. 
Også folkekirken fejrer dansk sang og musik i næste uge. https://t.co/VBNU7t2rpb"
792027929156972544,2016-10-28 15:39:08,Hele Nordjyllands hovedstad. ❤️ https://t.co/6EeUHMI6PT
791896632342216704,2016-10-28 06:57:24,Dejlig nyhed fra .@ArlaDanmark #dkpol https://t.co/KArgkHah4b
791691264202838016,2016-10-27 17:21:20,"RT @NjylPoliti: Hvis vi fangede dig imens du kørte for hurtigt, kan vi da ikke være helt ringe. ;-) Hold øje med hastigheden - det gør vi i…"
791628229287215104,2016-10-27 13:10:52,"Så kan vi nordjyder snart tage toget helt ud til lufthavnen :-)
1. behandling af L 15 om etablering af en ny... https://t.co/ZIWxGRBUKg"
791370402677260288,2016-10-26 20:06:21,"😊👍
https://t.co/DG3amceKud https://t.co/Vh4p1yKefh"
791367176376688640,2016-10-26 19:53:32,"Ja tak, håber andre kommuner følger trop. #kvindeundertrykkelse #ligestilling #dkpol https://t.co/ZvUYkwblAS"
791365897910910976,2016-10-26 19:48:27,Redegørelsen vedrører om Fødevarestyrelsen har videregivet DTU's anbefalinger eller ej. Det har de gjort #dkpol
791028626108063744,2016-10-25 21:28:15,Tak @BjerknsC  😊 https://t.co/19UE6nfT3F
791021570240176137,2016-10-25 21:00:13,.@spisekammeret Nemlig! https://t.co/apQav2JIPX
791021193457459200,2016-10-25 20:58:43,"Jeg er meget glad og taknemmelig for, at jeg i går blev genvalgt som folketingskandidat i Thy Mors. https://t.co/zVuzYp2Ohs"
790822544718893056,2016-10-25 07:49:22,RT @HoghSorensen: Avishuset der lavede #messershit logoet ser selv dybt i EU's kasser https://t.co/zBV0wZGWBu @borsenopinion #dkmedier #dkp…
790802226205880320,2016-10-25 06:28:37,RT @LFFnp: Spanien bruger 9 gange mere antibiotika i dyreproduktion end Danmark - der skal sættes ind på europæisk plan nu! #vspdk16 https:…
789909805347536896,2016-10-22 19:22:28,Vores dejlige dronning 🇩🇰🇩🇰🇩🇰... https://t.co/ErrqwFeexp
788781373104517120,2016-10-19 16:38:28,Farligt at være klovn i Thisted 󾰀 https://t.co/OlVktPIuO0
788778186456915968,2016-10-19 16:25:49,"Det er vi hørt før.
 I 2015 traf Udlændingestyrelsen i Danmark afgørelse i 351 sager, hvor der var tvivl om en... https://t.co/0JalCbrIZG"
786676995568635910,2016-10-13 21:16:26,"Dansk Folkeparti på Mors har i aften, med 45 deltagere, været på virksomhedsbesøg hos Mollerup Mølle. Mollerup... https://t.co/OiIapj68qu"
786163521646100480,2016-10-12 11:16:04,"I mandags deltog jeg i debat på et gymnasium i Hobro. Det sidste emne var politik, unge og ungdomspartier. Min... https://t.co/KAsqbbUxHx"
786092938673750017,2016-10-12 06:35:36,"Om præcis en måned udløber den midlertidige grænsekontrol. Dansk Folkeparti kræver, den bliver forlænget, styrket... https://t.co/6r94W0tfen"
785205879280893952,2016-10-09 19:50:44,I går var jeg til høstfest i et forsamlingshus. Her hænger #dannebrog   hele året - uden ballade. 🇩🇰󾌵
785152955486003201,2016-10-09 16:20:26,"Jeg har heldigvis ikke oplevet dette, når jeg en sjælden gang kører med TAXA i Kbh. Hører dog ofte om den gode... https://t.co/diKlLDoiAq"
785130275437211648,2016-10-09 14:50:19,"Gjøl troldene fra Nordjylland, skal nu drage ud i hele verden. Fantastisk mulighed for Nordjylland og Danmark.... https://t.co/7yQhJW5Fp3"
785042510641000448,2016-10-09 09:01:34,"Galla premiere på Trolls 😊 De små trolde fra Nordjylland, er kommet til Hollywood #dkpol https://t.co/E9bwKmERKX"
784735868707860480,2016-10-08 12:43:05,"Interessant undsøgelse - sørgelig konklusion.#dkpol 
Det der med, at de kommer 8-10 personer og larmer meget,... https://t.co/DcZZJMpjUs"
784358954012971008,2016-10-07 11:45:21,"RT @espersendf: 2016 bliver rekordår mht udenlandske turister til DK.... Men var der ikke noget med, at ingen ville komme, hvis vi havde gr…"
784134447968952320,2016-10-06 20:53:15,What 😳 #dkpol .@anderssamuelsen https://t.co/fRAb7yKuSl
784014290802118656,2016-10-06 12:55:47,"Så fejrer vi 21 års fødselsdag med fødselsdagekage og flag, på kontorgangen.
Nu med ny tekst, som Kim... https://t.co/8PKAKbkq9C"
783969613671464961,2016-10-06 09:58:16,"I dag bliver Dansk Folkepart 21 år 🇩🇰
Tillykke til os 󾔗 https://t.co/ykKPNHvyZ9"
783937234261176320,2016-10-06 07:49:36,"Så er flaget i folketingssalen desværre taget ned igen, da aftalen kun indebar at have Dannebrog hængende til... https://t.co/OL2MuoDwRh"
783205572657250304,2016-10-04 07:22:14,Så vandt jeg da lige en P4 Nordjylland kop i Quizzen :-) https://t.co/r0B102sGgM
783033690456752129,2016-10-03 19:59:14,"Vores smukke flag. Hvordan kan man dog blive sur over det? 
I øvrigt i enighed  i præsidiet, undtagen Christian... https://t.co/vaV4mxkE7f"
782678939458236416,2016-10-02 20:29:35,"MF med mere
Et madprogram med politisk undertone.
En rigtig hyggelig dag i Himmerland. 󾌵... https://t.co/JvBtfdowJi"
782609182340120577,2016-10-02 15:52:23,"DF på Toppen blev i år afholdt i Løgstør. .@DanskDf1995
Der var over 160 deltagere, der kom for at få flæskesteg... https://t.co/rFTbFjF81U"
781861335080562688,2016-09-30 14:20:43,"MF med mere
Et madprogram med politisk undertone.
Velbekomme :-)
https://t.co/niuJXWELVs"
781453206983499776,2016-09-29 11:18:57,"Så begynder kommunerne, at følge DF forslaget, om børne-attester til flygtninge. Som vi sagde dengang, det var... https://t.co/0RSX9VYGUZ"
781415926361186305,2016-09-29 08:50:49,"Afgudsofferkød -et spørgsmål jeg også stillede Kirkeministeren 14.04.16
 Ved det første større kirkemøde omkring... https://t.co/bDED5wnk6v"
781236441816895488,2016-09-28 20:57:37,"RT @AdsbolAdsbl: Vi skal på ingen måde accepterer barnebrude, så må vi tage et opgør med konventionerne. Hver dag bliver 37.000 under 18 år…"
781162456009801728,2016-09-28 16:03:37,"I morgen er jeg med i TV2 Nords program ""MF med mere"" kl. 20.30 på Salto
Her et par TV2 folk, der roser... https://t.co/4ZryfYw3KD"
780727789783773184,2016-09-27 11:16:24,Folketingsgruppen i flotte omgivelser. @danskdf1995 #dkool https://t.co/P9n0IwPYjB
780676455135150080,2016-09-27 07:52:25,Heldagsgruppemøde med dejlige kollegaer 󾌵🇩🇰 https://t.co/6xCVFnDrI2
780462593240596488,2016-09-26 17:42:37,.@DyrBeskyt #dyrepoliti Sikke noget svineri 😡 Stakkels dyr 😢 #dkpol https://t.co/RaYwt1BvHd
