id,created_at,text
780430633847914497,2016-09-26 15:35:37,"Dagens grin leveres af DF, der redegør for sin frygt for tyskerne og det der står mellem linjerne om kulturudvaskning - en sønderjyde må le!"
777266998149545984,2016-09-17 22:04:27,"@O76kocak lyder som om du ikke kender byen, så jeg viser dig glædeligt rundt blandt et skønt og rummeligt folkefærd https://t.co/wu5J1nW1wr"
757977457018437633,2016-07-26 16:34:42,Ekstraordinært regionsrådsmøde - vi går nu efter gennemgang mod gruppemøder forud for det reelle regionsrådsmøde.
757971464209457152,2016-07-26 16:10:54,@Nanna_Bonde nyt om intet nyt - køkkendamen har fået at vide at vi er her på ubestemt tid...
757970840357076997,2016-07-26 16:08:25,"@Nanna_Bonde vi er først ved at gennemgå sagsmaterialet, før det er gennemarbejdet siger jeg intet og der er naturligt en stor spørgelyst"
757968401297973248,2016-07-26 15:58:43,Ekstraordinært regionsrådmøde om ambulancedriftens fremtid. Stadig i gang med gennemgang da materialet først er blevet klart kort før mødet.
734611691988746240,2016-05-23 05:07:30,"Sej far: Det kræver mod at sige ja til at blive borgmester, men det kræver mindst ligeså meget mod at turde lytte til sig selv og sige nej!"
724574081438375936,2016-04-25 12:21:37,"Græshopper er den nye trend blandt politikere fra alle partier tilsyneladende, det må være noget med en bid af kagen og grønnere græs eller?"
724568779078950912,2016-04-25 12:00:33,Endelig vedtagelse af budget i dag. Håber det bliver sidste gang i lang tid - er det utopi? #dkpol #rsyd
721706093261533184,2016-04-17 14:25:15,"@khoenge ""it takes one to know one"".. 😉"
721061698795347968,2016-04-15 19:44:40,"Populisme kan blive så frygtelig pinligt, ikke sandt @MarianneM_LA ? ;-)
#Venstredk #dkpol #dkmedier https://t.co/5rwUEbouA1"
714782084557119489,2016-03-29 11:51:43,"Tak for kampen, stor respekt for din iver og god vind fremover.
#dkpol #socialdemokratiet #Thorning"
711844569051172864,2016-03-21 09:19:05,"Stop med at synes vi skal have lighed over alt - det har ALDRIG været meningen at gymnasiet var for alle. 
#dkpol #Venstre #dkmedier"
704329075549212672,2016-02-29 15:35:12,"@DamborgIda mener at opg. der vedr. fællesskabet skal varetages af samme, men er de der arbejder i privatsek Ik en del af fællesskabet da?"
702222107065892864,2016-02-23 20:02:51,Længe leve Eva! #dkpol #venstredk
684456677962285056,2016-01-05 19:29:23,"Møde med @EvaKjerHansen og @venstredk om fødevare- og landbrugspakken. Sund fornuft og bedre vilkår - det er tiltrængt! Vi siger tak
#dkpol"
672536611788300288,2015-12-03 22:03:18,Var der noget om at feje for egen dør? #dkpol https://t.co/yBoJjOpkOt
672534974495662080,2015-12-03 21:56:47,@IdaAuken er @KleinschmidtDK enig? Kunne da være meget interessant at vide hvor mange radikale der løber fra deres ansvar?
672534358595665920,2015-12-03 21:54:20,@IdaAuken det har da INTET med lars Løkkes person at gøre. Har ikke set megen radikal aktivitet i det vestlige Thulle-land da!
668565841944948736,2015-11-22 23:04:52,"RT @venstredk: Støjberg: ""Er der nogen i DK, der tror på, at jeg ville anbefale et #stemja, hvis vi dermed overlader udlændingepolitikken t…"
668356631189671936,2015-11-22 09:13:32,@ChrisHPreuss just Said it! Tak for politisk opsang! #dkpol #vlm15
668155740960464897,2015-11-21 19:55:17,Klan er endnu bedre live :-) #underholdningiverdensklasse #vlm15
668086480775086080,2015-11-21 15:20:04,"Hjemløs er ikke det samme som hjælpeløs - kæmpe stort tillykke med Venstre,s frihedspris 2015! 
#Allekannoget #vlm15 #dkpol"
668067026506752005,2015-11-21 14:02:45,Retten til at bestemme over ens egen have skal tilbage - også selvom man bor ved havet! Det er liberalt og det er skønt! #vlm15
668021440545968128,2015-11-21 11:01:37,"@diego_gugliotta @Cliff1971aarhus 
Jeg tror på det! 
@venstredk for fremtiden!"
668019627348377600,2015-11-21 10:54:25,"@Cliff1971aarhus @diego_gugliotta @venstredk 
Skal jeg forstå det sådan at du ikke synes det er godt at håndværkerne får mere at lave?"
668017611758821376,2015-11-21 10:46:24,"RT @JensHusted: 1, 2, 3 - Skipper er for lækker! #vlm15"
668017477465612288,2015-11-21 10:45:52,@Cliff1971aarhus @diego_gugliotta @venstredk.  initiativer som håndværkerfradrag og bedre vilkår for virksomhederne gør mig ganske rolig
668010072606384128,2015-11-21 10:16:26,"@Cliff1971aarhus så er det jo fantastisk, at @venstredk i jobreformens fase to, vil sænke skatten også for de laveste indkomster. #vlm15"
668003772908589056,2015-11-21 09:51:25,"Vi vil i @venstredk være regeringen, der genskaber respekten for hårdt arbejde! Det er kun rimeligt! Stærkt @larsloekke!
#vlm15 #dkpol"
667997946470907904,2015-11-21 09:28:15,"@EvaKjerHansen og @venstredk er klar til at opprioritere landbrug- og fødevareområdet, med fornyet kraft! Sådan! #IkkeMereDanJ #dkpol #vlm15"
667991681363550208,2015-11-21 09:03:22,"Bliver så stolt over mit parti, når jeg ser og mærker den respekt vores franske gæst på #vlm15 og resten af Frankrig får!❤️ vi står bag jer!"
665314648187518976,2015-11-13 23:45:47,Sender mine mest dybfølte tanker til Paris og de berørte - føler slet ikke jeg kender verden mere... #dkpol #Paris https://t.co/XTOgMoZTPA
659607190760611841,2015-10-29 05:46:23,"I følge Verdensbanken er DK Europas bedste for erhvervsdrivende, og det gavner os alle, så tak! - men vi skal blive endnu bedre! #dkpol"
