id,created_at,text
793847384400924672,2016-11-02 16:09:00,RT @brinkjammerbugt: @MortenMarinus visse vasse.. 2 ud af 3 navne er da ikke så skidt..;). Heldigvis er licens noget vi giver til hinanden.…
793430989347381248,2016-11-01 12:34:23,"Øh der er vist nogen i DR, som skal have deres skolepenge tilbage – enig?
#drtv #MartinLutherKing #dkpol https://t.co/qXbYsJoDu9"
791976506524336129,2016-10-28 12:14:48,"RT @AndersBreinholt: Podcast info: episode 7 er klar I MORGEN, lige der hvor du henter dine podcasts.. #andersoganderspodcast https://t.co/…"
791544209450950656,2016-10-27 07:37:00,RT @BTSporten: Glad Allan Kuhn førte sit hold til det svenske mesterskab: Jeg fatter ikke jeg kan være så rolig! https://t.co/SI19v775a9 ht…
791543518359613440,2016-10-27 07:34:15,RT @Alfonsfar: Sidst jeg bagte en kage var Hans Otto Bisgaard Danmarks mest populære Tv vært.... #denstorebagedyst
791542460862300160,2016-10-27 07:30:03,RT @BTSporten: BTs sportschef hylder Kuhn: En af de flotteste bedrifter https://t.co/LeAI0wzN0Q https://t.co/IJMo9FVOFG
791186152543907841,2016-10-26 07:54:12,RT @MogensGade: God Morgen - Tænker lige tilbage til Søndag - hvor Trekronerområdet officielt blev hyldet som Årets Landsby 2016... https:/…
791032953925230592,2016-10-25 21:45:27,@nsnielsen tror først det er lidt over kl.15
791032707669172224,2016-10-25 21:44:28,"@nsnielsen jeg har et spørgsmål til Kulturministeren imorgen i spørgetiden i folketingssalen.
Mon ikke vi kommer ind på financering 📺"
791031906603327488,2016-10-25 21:41:17,"@nsnielsen lad os nu starte med at skære 25% ude ved jer først. Så ser vi på, hvor resten skal komme fra 😁😉😜"
791030679287070721,2016-10-25 21:36:25,@nsnielsen mener jeg skrev måske. I hvert fald at foretrække hvis valget stod mellem det og så forslaget om abonnementsbetaling.
791029307607056384,2016-10-25 21:30:58,"Så kan Danmark måske alligevel lære noget af Rumænien 🇩🇰📺🇷🇴

https://t.co/GxiLWshqN3

#dkpol #dkmedier #licens"
786949062545342465,2016-10-14 15:17:31,@martinmorfar gætter på Lars Mikkelsen
786898582733516800,2016-10-14 11:56:56,"Nikolaj Lie Kaas giver ultimatum efter Jussi-kritik: Hvis det er uden Fares, er det uden https://t.co/bfEXt08n8x
Uden begge Tak
#afdQ #Jussi"
786270496048504833,2016-10-12 18:21:09,"Filmekspertens bud: Disse tre skuespillere kan overtage Nikolaj Lie Kaas' rolle som Carl M https://t.co/PLLWY8d0kj

Lars MikkelsenTAK #afdQ"
786088124036313088,2016-10-12 06:16:28,Øv nu var #DSB ellers lige ved at blive interessant Nå så må jeg finde noget andet at se i aften😜 #drtv #dkmedier https://t.co/ndJDBOOqot
784714303999971328,2016-10-08 11:17:24,"@ARonnow86 @LLyck @Radio24syv 

https://t.co/te84b2auC5 

5.november 2014"
