id,created_at,text
791932214552301568,2016-10-28 09:18:47,RT @MogensHjelm: Anlægsstop mærkes hos rådgivende ingeniører - og det vil entreprenørerne også snart mærke #anlæg #byggeri #dkøko   https:/…
788276203249668097,2016-10-18 07:11:06,@Trinebramsen @sorenpind @JanEJoergensen Hvad sker der egentligt med den politiskole? #dkpol
785941059360722945,2016-10-11 20:32:05,"RT @mjohnsondk: Inspireret af Paul Ryan. Jeg gider ikke forsvare landsholdet i morgen, men jeg skal nok stemme på dem."
785909631684120578,2016-10-11 18:27:12,Landmand søger kærlighed er som et stykke med kanal 4 på TV2. Og det var ikke ment som en kompliment.
785168009824460801,2016-10-09 17:20:15,"Gudskelov. Ellen Trane vil lave en kampagne, så tabuet om mandlige pædagoger nedbrydes. Så kan vi godt krydse den af #dkpol"
785127889779818497,2016-10-09 14:40:50,DK-Norge #goldenleague @ Forum Horsens https://t.co/lEcSle9Ija
779065194274258944,2016-09-22 21:09:51,"RT @frdbdk: Den omdiskuterede forfatter kom heller ikke i Korskærparken denne gang: Afbud minutter før mødestart, da folk... https://t.co/P…"
779063828470456320,2016-09-22 21:04:25,Borgmester bliver til embedsmand. Borgmester får lavet budget uden om sig. Borgmester bliver vraget som V-spids. #kompoldk er ikke kedelig!
771084275399663617,2016-08-31 20:36:31,"Lidt sjovt at være til landskamp i sin hjemby, hvor ens gamle… https://t.co/5Moepa35IY"
755905538584612869,2016-07-20 23:21:39,RT @PHummelgaard: Enten så var @ebbreaking anmelder der ikke eller også er han så gennembitter på livet at vi andre skal lide derunder http…
755866959498076160,2016-07-20 20:48:21,Dårlig lyd? Niks. Det var i København! #horsens #casa #boss #BruceSpringsteen https://t.co/oYKOWy5V7M
755860474609164288,2016-07-20 20:22:35,Just posted a photo @ CASA Arena Horsens https://t.co/OpsPZooXua
755322720745914368,2016-07-19 08:45:44,"@KaareSorensen Tommelfingerregel: hvis du selv bliver nødt til at kalde dit arbejde en succes, er det det ikke..."
754216544817807360,2016-07-16 07:30:11,"RT @HansenKenn: De muslimer jeg kender tager naturligvis afstand fra alt det lort, der sker. Så hvis du hele tiden efterspørger det, så ken…"
754048165104476160,2016-07-15 20:21:06,"RT @NikolajSteen: Dette kan ikke gå usagt hen. Det er så svinsk, fascistoidt og hjerteløst. Jeg er rystet. Dybt rystet. Føj!  https://t.co/…"
753985745627521024,2016-07-15 16:13:04,"""Der var mange børn blandt de dræbte, hvad synes du om det?"" Seriøst @tv2nyhederne ?"
752244431785459713,2016-07-10 20:53:43,"@MartinLethan så ville den sidste ""sene"" måske falde før og give lidt mere energi i slutfasen"
752242438018830336,2016-07-10 20:45:47,"Skulle man indføre en fjerde udskiftning, når en kamp går i forlænget? For at holde liv i kampen, så udskiftninger bruges før #emdk #EMDR"
751427204010090496,2016-07-08 14:46:20,Jeg har det altså svært med britiske wattmålsryttere #TDF2016
748249780728532992,2016-06-29 20:20:24,@ullaterkelsen1 i England under parlamentarisk morads er en gave!
748093729181929472,2016-06-29 10:00:18,@PHummelgaard Svaret må være nej - @PerClausen3 kunne ikke nævne ét parti
743551123441717248,2016-06-16 21:09:36,#fmdk dag 1 https://t.co/5YZBm2ubi3
743369020275982336,2016-06-16 09:06:00,@NathalieCLarsen Kunne vi ikke allesammen lige på forhånd aftale at alle #fmdk tweets er #tøhø så vi har det på det tørre? #folkemøde
