id,created_at,text
793732652285194240,2016-11-02 08:33:05,Besøg af svensk UM Margot Wallström. Vi fik hilst på Christian 4 og vendt verdenssituationen. Nok at tale om !… https://t.co/0alVd5DrNf
793198742153363456,2016-10-31 21:11:31,"Samuelsen har lige sagt, at LA står fast på nytår som deadline. Løkke har gjort regning uden vært #dkpol @spolitik https://t.co/rSq9hjNPPI"
793179115071373320,2016-10-31 19:53:32,Kæmpe nedsmeltning for Løkkes 2025-plan. Elendigt politisk håndværk og stort selvmål af statsministeren. #dkpol
793061852754407424,2016-10-31 12:07:34,Klar DF besked. Nu ligger bolden for alvor på Løkkes banehalvdel. Statsminister i knibe #dkpol https://t.co/Yq52gdzxtL
791360344186904576,2016-10-26 19:26:23,@MFThomasJensen @AAS Bring it on😉😎👍
791360240025497600,2016-10-26 19:25:58,"@CKrzyrosiak Jeg holder meget af Holbæk, så jeg ønsker jer alt det bedste i alle andre kampe end mod GF😉"
791357417682563077,2016-10-26 19:14:45,Dagens gode fodboldnyhed ! ⚽️https://t.co/OKEwp8sarL
790660530910494723,2016-10-24 21:05:34,"@JoachimBOlsen @Astridkrag @jyllandsposten Vi har aldrig støttet de topskattelettelser, LA kræver. Glem det. En død sild !"
790654375190466561,2016-10-24 20:41:07,@JoachimBOlsen @Astridkrag @jyllandsposten S vil ikke være med til topskattelettelser som LA foreslår. Synes JBO skal lytte til danskerne!
790630213528985600,2016-10-24 19:05:06,"Så mangler vi bare, at Løkke lytter #dkpol Vælgerne har talt: Nej tak til både Løkkes og Samuelsens model https://t.co/2F5EAFxbKn"
790628214779547648,2016-10-24 18:57:10,Spændende melding fra SF. Antal betyder noget #dkpol Med en ny linje i udlændingepolitikken vil SF lægge s https://t.co/LOwJLPH9wd
790288947402383360,2016-10-23 20:29:02,Fortjent skulderklap fra Dronningen til vores udsendte og veteraner #dkpol  Danmark har ydet et vigtigt bidrag med https://t.co/LXCDyMdgV7
790215765215612928,2016-10-23 15:38:14,Av den må gøre ondt i Trump-lejren😊 #dkpol Karl Rove: Donald Trump can't win https://t.co/6oKfYS4vI9 via @HuffPostPol
789140419561005056,2016-10-20 16:25:12,Markant føring for Mette over Løkke #dkpol Mette Frederiksen er danskernes klare favorit som statsminister https://t.co/hm0e6fUb7Z
788934940230557696,2016-10-20 02:48:42,Det svar kan have afgjort valget #dkpol Trump on Whether He'll Accept Election Results: 'I'll Keep You in Suspense' https://t.co/Zvw87awyvs
788759212696502272,2016-10-19 15:10:25,"Respekt for folk
der dag efter dag kæmper for, hvad de tror på #dkpol https://t.co/OrStzyyhNs"
787669694920724480,2016-10-16 15:01:04,"RT @nbcsnl: Right behind you!

Watch the Trump-Clinton Town Hall #Debate on the #SNL App: https://t.co/7dmmWQgqPD https://t.co/yk4UpNx53h"
787377427861430272,2016-10-15 19:39:42,"Nye Borgerlige truer med at vælte Løkke. Blå blok er blevet en stor rodebutik, hvor konkurrencen går på hvem der først trækker tæppet #dkpol"
786937524388261888,2016-10-14 14:31:41,Finansministeriet slår gækken løs i anledning af kulturnatten😊 #dkpol https://t.co/VVCB7yWJLn
786675497795280896,2016-10-13 21:10:29,Klarsyn og klar tale fra DF ! #dkpol DF-toppen: Lavere topskat vil koste blå blok magten https://t.co/rBlTcgaCgz
786621136209645570,2016-10-13 17:34:28,RT @thehill: Social media goes wild over Michelle Obama's takedown of Trump https://t.co/vunyDCkd6l https://t.co/jkRQBSyvpx
786616027765288960,2016-10-13 17:14:10,Den kvinde er for sej. Historisk tale #dkpol Michelle Obama calls on women to rise up against Trump https://t.co/cUV9lLy6uU
786443550103703552,2016-10-13 05:48:48,Aldrig kedeligt når Thorpedoen går i aktion #dkpol Tidligere V-finansminister kritiserer opgør med skattestoppet  https://t.co/80LRlqrxIJ
783994876014817281,2016-10-06 11:38:39,"Jacob Ellemann Jensen mener, at det er ""en håndsrækning"" og ""generøst"", at en enlig mor mister 2600 kr om måneden. Jeg er helt uenig! #dkpol"
783963718552027136,2016-10-06 09:34:50,"Vigtigt støtte fra Thulensen-Dahl til S budskab. Soleklart at regeringen må efterleve, at der er et flertal bag togforliget #dkpol"
783918782779654144,2016-10-06 06:36:16,RT @BennyEngelbrech: Finansministeriet anerkender at der er strukturel balance i @Spolitik udspil til #tyve25 forhandlinger. Tak for det #d…
783331606476025856,2016-10-04 15:43:03,Som dreng elskede jeg at være med min far på arbejde. I dag var min far med på arbejde hos mig😊 Glad søn og stolt f… https://t.co/J8MZr3FA1B
783163006200999936,2016-10-04 04:33:05,"Med venner som Samuelsen. Endnu en spændende dag i den blå familie, nu hvor LA fortryder, at de ikke væltede Løkke i august #dkpol"
782893334134226944,2016-10-03 10:41:30,Fantastisk sjov og lige på kornet #dkpol Saturday Night Live’ mocks Trump’s microphone problem during first  debate https://t.co/aKRjR9v8Ze
782887115277369344,2016-10-03 10:16:48,Tillykke til Bertel. En mand af format og udsyn #dkpol https://t.co/3eAhN6Lozj
782577134355218432,2016-10-02 13:45:03,Michelle Rocks #dkpol https://t.co/iM1iL8nSFY
782509183736348672,2016-10-02 09:15:02,"Godt at der nu kommer dato på, så man kan komme igang med at få en fornuftig EU-skilsmisse på plads. #dkpol https://t.co/pegMVPAZ09"
780796335603716100,2016-09-27 15:48:47,Stålsatte øjne eller nedslået blik ?  #dkpol Blinker Samuelsen? DF-boss kræver svar om ultimative krav https://t.co/b74rrFzLGg
780656190007209984,2016-09-27 06:31:54,"@Kirstenbrosbol Du er en rigtig god ven og en super dygtig kollega. Respekterer og forstår dit valg, men vil godt nok savne dig !"
780652399115591680,2016-09-27 06:16:50,Stor respekt og tak til en meget dygtig og engageret kollega og et rigtig fint menneske # dkpol https://t.co/q8aggJUyUQ
780650064721154048,2016-09-27 06:07:33,Post-debate poll: Hillary Clinton takes round one @CNNPolitics https://t.co/rI5L2nZuQU
779694761099849729,2016-09-24 14:51:31,"RT @simonkollerup: .@NWammen: ""Kære @larsloekke, nu kan du ikke længere gemme dig bag Marienborgs tykke mure. Kom i arbejdstøjet!"" #dkpol h…"
779315047474589696,2016-09-23 13:42:40,RT @ACakademikerne: Vigtigt signal fra @spolitik Tillid og rum til ansattes faglighed i opgaveløsningen giver stærkere off sektor https://t…
779276917199532034,2016-09-23 11:11:09,RT @Spolitik: Første gang i over 50 år med medlemsfremgang to år i træk. Hjerteligt velkommen til alle nye! #dkpol #skongres https://t.co/a…
779027410591375362,2016-09-22 18:39:42,RT @DMiliband: An attack on an aid convoy is an attack on all of us. We @theIRC stand in solidarity with humanitarian aid workers. #REDForS…
778864841327009793,2016-09-22 07:53:43,Dagens politiske spørgsmål: Vil Nye Borgerlige støtte Løkke som statsminister - og ønsker Løkke dem som parlamentarisk grundlag ? #dkpol
778473551867281408,2016-09-21 05:58:52,Vi venter stadig på LLR udspil #dkpol Børsen mobil | Avisen: Helle Ib: Boligskatten er giftgas under regeringens liv https://t.co/kJGXW1EPFn
777436233828012037,2016-09-18 09:16:56,"RT @BennyEngelbrech: 19 dage siden @larsloekke sagde nyt ejendomsvurderingssystem blev præsenteret ""meget snart""
Vi venter stadig #dkpol ht…"
