id,created_at,text
697165333208166401,2016-02-09 21:09:02,Også i Hillerød :-)  #dkpol #skolechat DEBAT: Dispensation til kortere skoledage - Hillerød Posten https://t.co/ZiOm7a1rVr
697164421488058371,2016-02-09 21:05:25,RT @benediktekiaer: Folketinget slipper for omprioriteringsbidraget. MF'erne vil åbenbart ikke smage deres egen medicin. Pinligt! https://t…
690854733033148417,2016-01-23 11:12:58,"RT @SorenPape: Det her er desværre et godt eksempel på, hvorfor offentlighedsloven skal laves om. Mere åbenhed! #dkpol https://t.co/f3nT7ry…"
687677169158479872,2016-01-14 16:46:28,RT @jyllandsposten: Konservativ profil truer Claus Hjort med nej til økonomiaftale https://t.co/DxmlIoTAx9 https://t.co/xU40gdiMw0
687676952812085248,2016-01-14 16:45:36,RT @jppolitik: Konservativ profil truer Claus Hjort med nej til økonomiaftale https://t.co/07HEFa9345 #dkpol https://t.co/0x5JR8VacG
687676840450854913,2016-01-14 16:45:09,RT @Marchen_Neel: Drama i Aalborg om økonomiaftale. #dkpol  https://t.co/NGBt8QpiWP
687675902881329152,2016-01-14 16:41:26,RT @KonservativeDK: Ny undersøgelse: De tvungne lektiecaféer styrker ikke svage elever. Drop dem!  #skolechat #dkpol https://t.co/RwkYjl9DS6
687253130128584704,2016-01-13 12:41:29,"RT @KonservativeDK: Der er behov for at sætte skatten skal ned, og en 2025-plan giver større råderum til skattelettelser #dkpol https://t.c…"
687253083815018496,2016-01-13 12:41:18,RT @KonservativeDK: Endnu en årsag til at droppe de tvungne lektiecaféer: De virker ikke #skolechat #dkpol https://t.co/LNOr2SqA3j
685217654605516800,2016-01-07 21:53:14,RT @KonservativeDK: Ministeren skal offentliggøre skjulte folkeskoletal #skolechat #dkpol https://t.co/FymaSO1rTO
683400844692307972,2016-01-02 21:33:53,"Suk, man bliver så træt! Det har ALT med køn at gøre! #dkpol #komigenHD #suk #ligestillingharsværekår
https://t.co/RmxPPlNzZu"
664425551872983041,2015-11-11 12:52:50,Med #talentholdet i Europa parlamentet..#ingenkanhøredigskrigeibruxelles @ European Parliament https://t.co/m5UHZ5mZ1m
663043159597981696,2015-11-07 17:19:42,"@MrMesserschmidt taler for #headoverheals : ""der er kaos i Bruxelles"" https://t.co/G2hPpsWB2i"
662748001149022209,2015-11-06 21:46:51,Big fat snake i #frederiksborgcenteret. Hillerød folkefest. #hillerødpol https://t.co/lfs6rRC281
658010220149518336,2015-10-24 20:00:36,@runeklan underholder til #klr15 ...#godstemning https://t.co/IvXvzBc91O
657948559950684160,2015-10-24 15:55:35,RT @politikodk: De Konservative vil afskaffe feriepengesystemet https://t.co/IaYTgwtdsZ #dkpol
657948501079379970,2015-10-24 15:55:21,"ENSTEMMIGT #klr15 vedtager mit forslag om, at vi ikke skal have målsætning på vores svageste børn.#inklusion https://t.co/0W4DVcWRjU"
