id,created_at,text
783394776280367104,2016-10-04 19:54:04,Vores pensionsalder skal stige fordi levealderen gør. Hvorfor forholder @larsloekke sig ikke til forskellene i levealder pga job? #dkpol
744249039680602112,2016-06-18 19:22:53,RT @LRisgaard: Hepper på seje sosu @AgnesDaugbjerg som lige om dyster i #dmidebat på #fmdk Vigtigt m stærke faglige stemmer! https://t.co/p…
737021002413182977,2016-05-29 20:41:14,RT @SandKjaer: Jeg forstår ik 20 min interview skal være så konfrontatorisk. Det er som en politiker som udgangspunkt ik vil dele sin holdn…
708036449577345025,2016-03-10 21:06:58,@_MiaJo @Charlotteped83 Jeg tager det hensyn når jeg kan. Hvorfor ik? Jeg vælger også selv kønnet på den læge der skal se mig uden tøj.
702234651109232640,2016-02-23 20:52:42,#dkpol https://t.co/u0gXatRI4l
699693985355427840,2016-02-16 20:37:00,Politik er ikke komplekst. Politik er at ville en retning for samfundet! Så rigtigt! #dkpol  https://t.co/9iJ412FvWW
699691918901518336,2016-02-16 20:28:47,@sttthomsen selvfølgelig skal der være arbejde nok til folk. Men arbejdspladserne kunne jo så droppe nogen af de mange 8 timers stillinger.
699229629769498624,2016-02-15 13:51:49,Det skal også være muligt at have fuldtidsarbejde i sosu fagene hvis man vil!  #fuldtidjatak #arbejde https://t.co/668WAiwfdP
689133456564039680,2016-01-18 17:13:14,"@hansensh1 Ja det mener nogen, desværre."
689132043528220672,2016-01-18 17:07:37,"Når der spares 1% på velfærd, er taberne de mange der har brug for nogen til at gribe dem! #dkpol #arbejde  https://t.co/D38Iuav9dj"
673187476987633664,2015-12-05 17:09:36,RT @SandKjaer: Er stolt og ydmyg over at være blevet valgt som formand for DUF - @danskungdom. Glæder mig til at sætte demokratiet på dagso…
668141357341519873,2015-11-21 18:58:07,@omDSB regner I med ændringer på togene fra København til Jylland imorgen?
667361119770660865,2015-11-19 15:17:44,"DF har sikret ældreplejen en milliard. Eller nej, pengene er de samme som DF tog fra området, for bare et par måneder siden! #dkpol"
661639160646758404,2015-11-03 20:20:43,RT @SandKjaer: Skriver i @informeren sammen med ungdomsformændene om konsekvenserne af EUD-besparelserne i #fl16 - det er ikke smart! #dkpo…
660500239770603521,2015-10-31 16:55:03,RT @LRisgaard: Nedslidte sosu'ere mfl. skal kunne trække sig tilbage efter et langt arbejdsliv u at stå m hatten i hånden #arbejde https://…
660482645726466048,2015-10-31 15:45:08,Udtaler mig idag om pension til avisen.dk. Jeg kan ikke være i mit job til jeg er 72 år. https://t.co/zqm4Egm1xI #dkpol #arbejde
659109761019965440,2015-10-27 20:49:47,"Nyvalgt formand for LO @LRisgaard vi skal organisere bredt! Rigtig, og tillykke med valget #dkpol #arbejde https://t.co/AUf41E1JV4"
659107195687194625,2015-10-27 20:39:35,RT @SandKjaer: Det er op af bakke når selv @QuistDR i @DRNyheder TV-avisen kalder LO for et fagforbund. Det er en hovedorganisation for 17 …
658931757018972160,2015-10-27 09:02:27,"RT @SandKjaer: Børsting på #lokongres: ""LO Ungdom er vigtig. I er vores fremtid"" https://t.co/QqK6IzoREI"
658619348106485760,2015-10-26 12:21:03,"@x01rose politikerne må få øjne op. For uanset hvor meget vi passer på os selv. Så tror jeg ikke den går, for mange af os."
658616182161973248,2015-10-26 12:08:28,@x01rose ja sådan tror jeg desværre det vil blive for mange.
658590262000812032,2015-10-26 10:25:29,@bevib08 tak 😃
658585823487619072,2015-10-26 10:07:50,Talte i dag på #lokongres om vigtigheden i differentieret pensionsalder. Som sosu holder jeg ik til jeg er 72 #dkpol https://t.co/aUKzMjK2je
651452726770057216,2015-10-06 17:43:28,.@tv2danmark #Lorry. Ansat på plejehjem i Sverige har tid til daglig snak. Journalist mener ikke det kræver ressourcer. Det gør det! #dkpol
647394258475970560,2015-09-25 12:56:33,"RT @SimoneR_FOA: .@venstre Claus Hjort mener ikke vi er vigtige nok #FOAUngdom #dkpol #arbejde #Fagligstolthed
http://t.co/iDppX9j60F http:…"
643875553905405952,2015-09-15 19:54:29,"RT @PukDamsgaard: Jeg foreslår en uges ophold i #Syrien til dem, der mener afghanere og syrere er bekvemmelighedsflygtninge. http://t.co/6r…"
642218738713034752,2015-09-11 06:10:53,"Venstre vil have en europæisk løsning - DK skal bare ikke være med. Når problemet er stort fralægges ansvaret åbenbart, trist. #dkpol"
642074413714808832,2015-09-10 20:37:24,"@frostwhisp kan godt være ""I"" eller nogen ikke vil, men de er her. Og i den periode de er det, bør det være rimeligt med et værdigt liv."
642071160243548166,2015-09-10 20:24:28,"DF brokker sig over at udlændinge ikke kan dansk. Samtidig skal #flygtninge blive på centre og ikke integreres, det giver ik mening. #dkpol"
641332585617051648,2015-09-08 19:29:38,"RT @krissangknud: Suzanne Bjerrehuus er sur over at krigsflygtninge får lov at gå på motorvejen. ""Der skal være lighed for loven"" Nåja: htt…"
641308990790610945,2015-09-08 17:55:53,En del politikere er sikkert stolte over at flygtninge ikke vil blive i DK. Hvis I spørger mig er det et kedeligt omdømme vi har fået #dkpol
620636251406901248,2015-07-13 16:49:47,"Differentieret pensionsalder er nødvendigt. Os der arbejder med ældrepleje, skal ik ha samme alder og skavanker som dem vi hjælper. #dkpol"
611265031716634624,2015-06-17 20:11:54,"RT @afriishansen: #TV2valg til Helle: Er du statsminister om 24 timer? Svaret er 100% ja, Dronningen arbejder ikke kl. 22 torsdag aften... …"
611260337401278464,2015-06-17 19:53:15,"@LoneYalcinkaya ja du får den Lone, du har ret. :)"
611259338112561152,2015-06-17 19:49:17,@LoneYalcinkaya det da sjovt han siger han ikke ved hvem hun er? Men rigtigt det politiske indhold er vigtigere.
611258043146354688,2015-06-17 19:44:08,.@larsloekke minder om de demente på plejehjemmet. Ved ikke hvem Helle er? #tv2valg
611256288354430976,2015-06-17 19:37:10,. @SorenPape har respekt for dem der betaler topskat. Jeg har også respekt for dem på kontanthjælp der hver dag kæmper for et job. #tv2valg
611255074984214528,2015-06-17 19:32:21,Den tid vi spare ved mindre bureaukrati skal bruges på borgerne - ikke spares væk fra områderne! #tv2valg
611254229588684800,2015-06-17 19:28:59,Politikerne har talt om bureaukrati i de sidste mange mange år. Kom nu frem til noget handling efter valget! #tv2valg
611252146496012289,2015-06-17 19:20:42,@mitfredensborg for mig er det ikke et skræmmebillede. Men et hverdagsproblem at dem der bestemmer vores vilkår ikke har tillid til os.
611250584981762050,2015-06-17 19:14:30,@mitfredensborg det forstår jeg ikke du ikke kan se.
611250510709063680,2015-06-17 19:14:12,"@mitfredensborg hørte det ik. ALLE politikker bør tale pænt om offentlige ansatte! De bestemmer arb. vilkårne, og skal tage ansvar for det."
611248182379606016,2015-06-17 19:04:57,".@SorenPape ja fedt at beholde penge når man har nogen. Men hvad med de familier på kontanthjælp, hvis penge du vil tage? #tv2valg"
611242540994588672,2015-06-17 18:42:32,"For halvanden uge side sagde @larsloekke, vi ikke ville høre ham tale om løftebrud i valgkampen. Er det løftebrud, når han gør det? #fv15"
611229530439684096,2015-06-17 17:50:50,"@MsMariaOien minus væksten skyldes sanktionerne i budgetloven. Så med mindre man ændre den, så bruger kommunerne forsat mindre."
611228345905336320,2015-06-17 17:46:08,"Kommunerne har mindre i dag end da du var STM @larsloekke, men hvor meget vil de ha med nulvækst? Nok mindre, for mindre penge! #DRdinstemme"
611226851139321856,2015-06-17 17:40:12,RT @LasseQuvang: Løkke. Du vil/kan jo ikke stoppe flygtningestrømmene. Du vil bare gøre vilkårene for flygtninge værre #DRdinstemme
611226729106022400,2015-06-17 17:39:42,@MortenDahlin og Lars Løkke taler udenom. Lad det nu handle om politik.
611226382417440769,2015-06-17 17:38:20,"Hvis folk der kommer hertil skal forstå vores værdier, skal de ikke leve i mere isolation! #DRdinstemme"
611220204543176704,2015-06-17 17:13:47,"Hvordan kan færre penge, give flere penge? At omrokere i vores velfærd, gør vel ikke vores velfærd mindre?"
611043450369245184,2015-06-17 05:31:25,RT @SmedegaardRikke: Du gik hjemme? Respekt! @StigGrenov Jeg blev alene da børnene var hh 5 mdr &amp; 2 år. Kvinder arb! Velkommen til virkelig…
610906640166993920,2015-06-16 20:27:47,RT @Cevea: Meningsdanner #SOSU @camillalouped nej tak til nulvækst og lavere ydelser https://t.co/fjHRWabFFr #fv15 #nyestemmer  https://t.c…
610894900234575872,2015-06-16 19:41:08,RT @SandKjaer: .@venstredk taler meget om at det skal kunne betale sig at arbejde for en SOSU - men hvad nytter det hvis de skal fyres pga …
610885784212783105,2015-06-16 19:04:55,"@LoneYalcinkaya godt med skattelettelser til lavindkomst grupperne. Men ligeså usympatisk finansering, som det i anfægter i jeres opslag."
610884715051151360,2015-06-16 19:00:40,@LoneYalcinkaya altså I vil lave et kontakthjælpsloft for at finansiere skattelettelser?
610882913522065408,2015-06-16 18:53:30,"@venstredk går I ikke til valg på endnu lavere kontakthjælp, for flere skattelettelser?"
610881096327299076,2015-06-16 18:46:17,"Hvis ikke LLR mener det handler om mistillid, hvorfor tror han så mennesker får sig et job, hvis de bliver fattige?"
610880092487708672,2015-06-16 18:42:18,RT @SandKjaer: Bare til info: hvis man fjerner fradrag for fagligt kontingent kan det betale sig mindre at #arbejde #DRdinstemme #fv15
610878238907351040,2015-06-16 18:34:56,"Når man gør ydelserne dårligere, giver man ikke mig som sosu respekt. Man gør mig bange for at miste mit job! #DRdinstemme"
610877425896001536,2015-06-16 18:31:42,@EllenTraneNorby men skal folk være fattige imens?
610876556005801984,2015-06-16 18:28:15,"RT @afriishansen: Det er en hån mod kontanthjælpsmodtagere at regne ydelser vi alle får med som en del af deres ""løn"" #DRdinstemme #fv15"
610874429241958400,2015-06-16 18:19:48,@LiberalAlliance Nej jeg har også tillid til læger. Men selvfølgelig åbner man ikke en praksis hvis den ikke kan løbe rundt.
610873953557585920,2015-06-16 18:17:54,@LiberalAlliance @annikaskov læger er private aktører. Det er vel en del af problemet. Fordi det handler om overskud og ikke mennesker.
610873405521399808,2015-06-16 18:15:44,@annikaskov @LiberalAlliance læger er jo private aktører?
610871877188366337,2015-06-16 18:09:39,RT @SandKjaer: Hvorfor ikke gøre lægerne offentligt ansatte i stedet for den markedskapitalisme der i dag hersker i den del a sundhedssyste…
610728192140296192,2015-06-16 08:38:42,RT @Astridkrag: Venstres prioritering er helt i skoven: afskaffer hjemmehjælps-klippekortet for at bruge pengene på indvandrer-udspil http:…
