id,created_at,text
791591329000198144,2016-10-27 10:44:14,RT @oestergaard: Det offentlige skal under ingen omstændigheder til at udføre religiøse ritualer i form af omskæring. Bedre og sikrere at l…
785427332379119616,2016-10-10 10:30:43,"RT @martinlidegaard: Espergærde Gymnasium &amp; HF skal skære 17,8 mio, vil gå ud over kvaliteten siger elevrådsfmd Caroline &amp; @donatzky #dkpol…"
777441414363934720,2016-09-18 09:37:32,@nevadonoah så ham i spejlet her til morgen. Ja lad os tales ved.
746228444225110017,2016-06-24 06:28:20,Farage shows his lack of knowledge once again. There is a large majority for EU in Denmark. No Dexit here. #EUref
745988869582127104,2016-06-23 14:36:20,RT @StuartWilksHeeg: #EUref Counting areas with 15 largest % increase in electors since Dec 2015. Mostly London Boroughs and uni towns. htt…
745587161542557696,2016-06-22 12:00:06,"I love Britain and hope you will #VoteRemain in #EUref tomorrow. For the sake of UK, Europe, Denmark and the rest of the world."
743748007099674626,2016-06-17 10:11:57,@mortenhelveg taler med Michael K. Rasmussen fra @VELUX om EU's betydning for vækst- og jobskabelse i Danmark. https://t.co/VhxSDkEO4p
722744401286598656,2016-04-20 11:11:07,RT @creoDK_CphEU: Direktør @birwed beretter om #CopenhagenEUOffice resultater #Årsrapport2015 #viergodtpåvej @RegionH https://t.co/tMrAO9wi…
719612008782553090,2016-04-11 19:44:07,RT @martinlidegaard: Tak @donatzky f klar tale: Læg et godt spor f livet for flygtningebørn &amp; byg på evidens #dkpol #MenneskerMedMeninger h…
711122526987018240,2016-03-19 09:29:57,"Har kommentar i dagens @berlingske om demokratiets tilstand &amp; med et bud på en kur, der nok provokerer nogen. #dkpol https://t.co/iZ3c0T0XEX"
705364244934615040,2016-03-03 12:08:35,"Så begynder battlen til #boosthelsingør. Glæder mig til at se elevernes løsninger på ""Fra flygtning til medborger"". https://t.co/ijujTfoEEi"
689802919730872320,2016-01-20 13:33:26,Ole Iversen til #butm1016: Fejl er en forudsætning for fremgang. Derfor satser vi på innovation i #Helsingørs skoler https://t.co/phpzSeo2LL
689796033132564480,2016-01-20 13:06:04,Agi Csonka til #butm2016: Hvorfor bruger I ikke forskningen om hvad der virker i jeres skolebeslutninger? https://t.co/eVUQnyia0t
689793926241345537,2016-01-20 12:57:42,Thomas Nordahl til #butm2016: Skoler med forskningsbaseret pædagogisk praksis øger sandsynlighed for uddannelse x 3. https://t.co/KFoui15aKi
689472415542345728,2016-01-19 15:40:08,Anders Bondo kommer med praksisnært eksempel til #butm2016. Fra sin egen skoletid. #ahem
689471467440869376,2016-01-19 15:36:22,@BergmannEml @bupldk til #butm2016: Flere uddannede pædagoger=højere kvalitet i daginstitutioner. #Helsingør har vi besluttet 70 % pædagoger
689419761910808576,2016-01-19 12:10:54,Den sociale arv er på ingen måde brudt. Vores samfunds største skandale #butm2016 https://t.co/vVNkzAoaMY
687611431135645698,2016-01-14 12:25:15,"RT @Mich_Ziegler: Hvis Claus Hjorts holdning og forståelse for @kommunerne ikke ændrer sig inden juni, bliver det en økonomiaftale uden min…"
