id,created_at,text
518466735419424768,2014-10-04 18:24:37,"Inspirerende dag med engagerede venstre folk til V.s landsmøde i 
Herning tegner godt for det kommende folketingsvalg."
499650212080910337,2014-08-13 20:14:28,Udkast til ny visionær Sundhedsaftale i Region Syddanmark sendes nu i høring.
493666743651688448,2014-07-28 07:58:18,"@Jesperfr @CarlHolst @FOLKETING @venstre 
Han bliver en god og indflydelsesrig repræsentant for vores landsdel."
486866115298357248,2014-07-09 13:35:02,"@jens_vind Ja, tysk fodbold landsholdsspiller:-)"
473759973923880961,2014-06-03 09:35:54,Ekstra Bladet og Se og Hør er sg lige usmagelige. Gid de må kvæles i deres eget snavs.
472696015280013313,2014-05-31 11:08:06,"Mister totalt respekten for fremtrædende Venstre medlemmer, der ukritisk ""råber op"" i diverse medier."
472099905667100673,2014-05-29 19:39:23,@Jesperfr Vi er helt enige.
452913924166672384,2014-04-06 21:01:08,Dejligt som indsamler at være med til at sætte indsamlingsrekord for Kræftens Bekæmpelse.
380779803852689408,2013-09-19 19:45:54,Esbjerg er nu medlem af det globale netværk mellem verdens 20 største energibyer.
378533219827994624,2013-09-13 14:58:47,"Venstre, Socialdemokraterne, SF og 2 løsgængere, svarende til 28 af 31 byrådsmedlemmer, har i dag indgået budgetforlig i Esbjerg."
367016239928840195,2013-08-12 20:14:25,"40 dages ubetinget fængsel for at sprøjte med vand fra en vandpistol.
Det virker helt ude i hampen."
357213797431255041,2013-07-16 19:03:00,Helt helt galt at nogle børnehaver ikke vil bruge svinekød. Hvad ligger de dog under for?
313772943366844416,2013-03-18 22:04:33,"Vel overstået studietur til San Fransisco, Silicon Valley og Phønix."
293455880609992704,2013-01-21 20:31:48,Årets første byrådsmøde godt overstået. Så er vi godt i gang :-)
45187927441027072,2011-03-08 18:23:36,Spændende ministerrokade
44353006489178112,2011-03-06 11:05:55,"et søndagsvejr, der må kunne få Team Rynkby rytterne på hjul :-))"
27330023220,2010-10-14 11:02:14,Budgetvedtagelse i Esbjerg Kommune med 29 stemmer for og 2 imod (DF)
25384133596,2010-09-24 07:33:25,"Bredt budgetforlig indgået mellem Venstre,Soc. SF, Konservative og løsg.,Ahlquist, 29 af 31 byrådsmedl. i Esbjerg Kommune."
25334036847,2010-09-23 19:16:29,Årets budgetforhandlinger i Esbjerg kommune nærmer sig sin afslutning.
24876149458,2010-09-18 20:01:10,"Har i dag deltaget i overrækkelsen af en check på 4,7 mill. fra Team Rynkeby til Børnecancerfonden ved et arrangement i Ringe."
22987704289,2010-09-04 16:21:14,"Var til vin festival i Ribe. Godt vejr, dejlig stemning. Mødte rigtig mange bekendte til en go´ vinsnak."
