id,created_at,text
747048303670534144,2016-06-26 12:46:09,Kom til trylleshow i Næstved Byråd d. 28.6.16. To politikere tryller deres løfter om Karrebæk Skole pist væk!... https://t.co/k3QQRQHmRi
745711591425978368,2016-06-22 20:14:32,"Privatskolerne udvider i stor stil i Næstved Kommune!
Et tegn på, hvor dygtige politikerne er til at skabe en... https://t.co/TnZZ5IWnvq"
743926706990350336,2016-06-17 22:02:03,"Her en en mand fra Næstved Kommune med en mission, nemlig Oluf Christensen, som kæmper for at forhindre... https://t.co/LOfp5pbu6N"
742447060142673920,2016-06-13 20:02:27,"Fornuften sejrede, nu ændres dimensionerne i 50 m. bassinet i det kommende vandkulturhus. Banerne bliver nu 2,5 m... https://t.co/wOIPkO2wqv"
742076952866095105,2016-06-12 19:31:47,"Offentligt møde om fremtidens skole og uddannelse. Mød op på Næstved Bibliotek, hvis du har lyst at lytte og tale... https://t.co/Ky8pTcaCVo"
740287235400966145,2016-06-07 21:00:05,"Kan man bygge et svømmeanlæg til et par hundrede mio kr og så ikke lave svømmebanerne brede nok? Ja, i Næstved... https://t.co/CkGFtEO3tG"
737391605150289920,2016-05-30 21:13:53,Se video: Helge Adam og Carsten Rasmussen garanterer 0-6. klasse på Karrebæk Skole indtil 2022. Men nu bryder de... https://t.co/xQcqCZ9cZO
737385915329466368,2016-05-30 20:51:16,https://t.co/lss7FLbCNW
737384722934996993,2016-05-30 20:46:32,I posted a new video to Facebook https://t.co/li2hyJd7Lx
735571043281195008,2016-05-25 20:39:37,"Millionerne rullede afsted på byrådsmødet, ca 500 mio kr.....
Vel næsten alle borgere i Næstved Kommune, som er... https://t.co/kaTPAWn6nS"
735212753615478784,2016-05-24 20:55:54,"Hvorfor stemmer Radikale imod det nye vandkulturhus, når vi i mange år har kæmpet for et nyt?
Kort fortalt kan... https://t.co/8HmO40kEiX"
734833781673197568,2016-05-23 19:50:00,"Tillykke til Kristian Skov Andersen, som her til aften er valgt som spidskandidat for Venstre til det kommende... https://t.co/ySobJyguao"
734334319599177728,2016-05-22 10:45:19,"Her er et indlæg, som forhåbentlig ses af alle politikere i Næstved Kommune, da det tydeliggør, hvad det er for... https://t.co/QsCRLGDFOI"
730125485263323136,2016-05-10 20:00:55,"Mange ubesvarede spørgsmål omkring stadion, nu skal de fleste heldigvis besvares! 
Havde socialdemokraterne fået... https://t.co/DYRv3OpFjt"
725064620268990464,2016-04-26 20:50:51,"Dækningsafgiften under afvikling!
Aftenens byrådsmøde viste et massivt flertal for at afskaffe eller nedsætte... https://t.co/EHt7cLXS9N"
719954754592501761,2016-04-12 18:26:04,"Seneste skitser af kommende vandkulturhus i Næstved- Lad os få gang i debatten!
Her følger de seneste skitser,... https://t.co/Pwby3H0PXn"
719555407430217728,2016-04-11 15:59:12,"Specialundervisningsområdet, hvad sker der?
Som politiker har jeg fået flere henvendelser på det seneste omkring... https://t.co/Rf6Fl7QIw5"
719551943262224389,2016-04-11 15:45:26,"Intet flertal for at sikre kortere transporttid for skoleelever, men dog opbakning fra Venstre!
Der vil fra... https://t.co/XgVArLSVhl"
719548714818220032,2016-04-11 15:32:36,De gamle skolenavne fejlede ikke noget. Næsten alle skoler i Næstved Kommune har i dag fået nye navne. Det blev... https://t.co/GMoOzzm2Hk
718167827111395328,2016-04-07 20:05:27,"Offentliggørelse af skitser til minimumskrav til kommende vandkulturhus i Næstved!
Disse skitser viser de to... https://t.co/up87HZNLO4"
718153281818783748,2016-04-07 19:07:39,Nu bliver sagen om det kommende vandkulturhus i Næstved snart åbnet for offentligheden takket være radikale... https://t.co/c3fOE6iDGc
714873850991886336,2016-03-29 17:56:22,"3 mio kr. til ny kunstgræsbane i NIF
Dagens møde i kulturudvalget betød at NIF har fået 3 mio kr. til en... https://t.co/z8LhcuZkpg"
714385183370256384,2016-03-28 09:34:35,"Masser af spændende punkter på Kulturudvalgsmøde tirsdag!
Morgendagens kulturudvalgsmøde er mere spændende end de... https://t.co/fpxcx4E70S"
714023847801040897,2016-03-27 09:38:45,"Lyver jeg? NEJ, jeg læser blot det med småt......

I lørdagens udgave af Sjællandske siger Helge Adam Møller, at... https://t.co/1R41gk3dDz"
711316868791984132,2016-03-19 22:22:11,"Jeg har bedt Søren Dysted om en orientering!
Umiddelbart skulle man tro, at politikerne var nogenlunde informeret... https://t.co/rFrbPMm306"
710557320481214469,2016-03-17 20:04:01,"Karsten Nonbo bliver aldrig borgmester............ så har Venstre ambitioner, skal de nok vælge en af de to andre. https://t.co/8V7kohNlBA"
709437503334445056,2016-03-14 17:54:16,"Urimelige transporttider i den nye skolestruktur!
Børne/skoleudvalget fik i dag en gennemgang af, hvorledes... https://t.co/Jwu9wRNzp9"
709434956993404928,2016-03-14 17:44:09,"Skoledagens længde kan nu også ændres i Næstved Kommune!
På forslag fra Enh. listen, SF og Radikale er det nu... https://t.co/hBnuH0VYMv"
