id,created_at,text
635741194753048576,2015-08-24 09:11:26,SR-regeringen har photoshoppet dansk økonomi. Claus Hjort er chef! #dkpol
618068593390034944,2015-07-06 14:46:50,Hvis de første tre etaper her sætter standarden for resten af Touren.. Hold nu op for en Tour vi får i år! #tourtv2
615547361239146497,2015-06-29 15:48:21,http://t.co/FWa4u0Oi6d #dkpol
615072204368289792,2015-06-28 08:20:15,RT @SydDR: Lars Løkke Rasmussens nye regering får fire ministre her fra landsdelen http://t.co/A5Ng6hMGsz #dkpol http://t.co/rN7YvxGAPS
608952882067574784,2015-06-11 11:04:15,"I kommer for sent, S. #dkpol http://t.co/LpAfMlCu6n"
607616768866185216,2015-06-07 18:35:01,Helle afbryder og skælder ud. Big L er chef. #DRdinstemme
607611525587705857,2015-06-07 18:14:11,"Lars tørrer roligt og sikkert gulvet med statsministeren. Skru lidt ned for arrogancen, Helle! #DRdinstemme"
558619490997764096,2015-01-23 13:37:19,Vigtigt!! http://t.co/NUf9Ko5mxK  #dkpol #Fredericia
550719633620488193,2015-01-01 18:26:07,"Har Helle glemt, at hun selv afskaffede starthjælpen? #nytaarstale"
550717919613956097,2015-01-01 18:19:18,"Hvem er Holger, og hvad blev der af @EHMadsen #nytaarstale"
541665379979108353,2014-12-07 18:47:44,Kære nyuddannede. Kom til #Esbjerg - Vi har 15.000 jobmuligheder klar til jer!  http://t.co/fLDcqrOV9a #esbjergpol #dkpol
535714706288545792,2014-11-21 08:41:53,Endnu en uddannelse til Esbjerg Kommunes vifte af studietilbud! #esbjergpol #Esbjerg http://t.co/W9i0AFk2Hp
533234403821244416,2014-11-14 12:26:03,"HelleT:""Vi har et samfund, der omfordeler fra rig til fattig""
Sludder!Et samfund, der omfordeler fra middelklassen til.. middelklasen #dkpol"
532931349272080384,2014-11-13 16:21:49,"#fl15 Kontant bonus på 28.584 kr. pr. år., hvis man dropper ud fra uddannelsen.""Vi skal jo have flere til at tage en uddannelse"" ?? #dkpol"
530387705738575872,2014-11-06 15:54:17,"RT @David_Cameron: While there's more to do, it's good that Britain is forecast to grow faster than any other leading economy in Europe: ht…"
529171090162331648,2014-11-03 07:19:54,så vigtigt!! Tall Ships 2018 til #Esbjerg http://t.co/vjaDfb2D7m
526759140652511232,2014-10-27 15:35:40,"Afskaffelsen af starthjælp har betydet færre indvandrere i arbejde, tilstår beskæftigelsesministeren. Stor fejl at i fjernede den! #dkpol"
521978588850315264,2014-10-14 10:59:28,RT @AlexVanopslagh: Bono: Lav skat mindsker fattigdom http://t.co/diOkfqe1ER #dkpol #SåForståDetDog
520134192571887616,2014-10-09 08:50:29,#ComedyLars #ftlive
506320218831220736,2014-09-01 05:58:41,Endnu en stærk vinkling fra EB..... http://t.co/qLgisgF34M
504203108948656129,2014-08-26 09:46:03,Det hele er selvfølgelig ikke så skidt - 65 mio. til Esbjerg Havn! #dkpol #esbjergpol #fl15
504199499045412864,2014-08-26 09:31:42,"""Er det økonomisk ansvarligt at øge det offentlige underskud med 38 mia.?"" ""Meget forsvarligt!""  mon dog, Corydon... #dkpol #fl15"
488684641210351616,2014-07-14 14:01:12,Først Froome. Nu Contador. Sikke et tab for Touren! #tourtv2
488434510447771648,2014-07-13 21:27:16,Stærkt!! #vmdk
487513163588730881,2014-07-11 08:26:10,"""Du og jeg har ikke mere at diskutere. Så må vi se, hvordan jeg kan regulere dig."" Hold nu op, hvor er det en arrogant udmelding #dkpol"
486875781973696512,2014-07-09 14:13:26,RT @tv2breaking: Chris Froome er ude af Tour de France: http://t.co/MPlAySiXyq #tourtv2
486608607400980480,2014-07-08 20:31:47,Hold nu op hvor der må være fedt at være tysker i dag!
485808938462748673,2014-07-06 15:34:11,Nibali lægger stærkt ud! #tourtv2
485728003667009537,2014-07-06 10:12:35,Selvfølgelig var det en god ide med Cavendish som min kaptajn på Tour manager. Stærkt træk Jens. #tourtv2
485379698160308224,2014-07-05 11:08:32,Voigt i udbrud? Den mand bliver bare ved og ved!
473864319474864128,2014-06-03 16:30:32,Kører de twitterwall til HB-Mødet?
470568981703962624,2014-05-25 14:16:02,næsten fire timer endnu! #stemforhelvede
469600793570447361,2014-05-22 22:08:48,Danmark er tilbage i top 10 over konkurrenceevne. Skatte- og afgiftslettelserne har virket! http://t.co/DxQh2QvCLh
469449614756941824,2014-05-22 12:08:04,Regeringen har besluttet ikke at lukke SKAT i Ribe. 200 ripensiske arbejdspladser bevares! #esbjergpol
469381750830145537,2014-05-22 07:38:24,RT @Loekkegaard_MEP: Vi skal have endnu flere unge i Erasmus-programmet. Følg med TV2 News om 5 min. #ep14dk #HelpErasmus #eupol
468670369612959744,2014-05-20 08:31:38,#SvejgaardTilBruxelles med VU Aabenraa #svejgaard14 http://t.co/tWmw1eXqjE
468471609318461440,2014-05-19 19:21:50,Tulle argumentation om patent hænger slet ikke sammen! #tv2valg
468470133678436352,2014-05-19 19:15:58,"""Hvem råber højest"" på TV2. #tv2valg"
468081142525349888,2014-05-18 17:30:15,RT @EsbjergfB: En flot sæson afsluttes med 0-0 mod Viborg FF #EfBVFF #liveefb
466938267867566080,2014-05-15 13:48:53,"RT @politiken: VU om Løkkes tøjkøb: Hvis han skal til møde med Barack Obama, så skal han ikke have Crocs på http://t.co/CX0zOFbXx1"
465802267829235712,2014-05-12 10:34:49,Håbløst. http://t.co/iovRaKFsI2
465153462146445314,2014-05-10 15:36:42,RT @NSvejgaard: Tolderne er enige med Venstre. Skal vi stadig have grænsebomme og døgnbemanding @MrMesserschmidt? #ep14dk #DF #dkpol http:/…
465141913205882881,2014-05-10 14:50:48,https://t.co/wbIB07uWTT Kampagnen bragte os til Kruså og den dansk-tyske grænse igår. Nej tak til DFs grænsebomme herfra! #ep14 #svejgaard14
464687653037027329,2014-05-09 08:45:44,"RT @fredearnholdt: Grænsebomme nytter ikke. Det ved @MrMesserschmidt og populisterne i DF godt. Fedt, at V tør sige fra! #dkpol"
464123187501232129,2014-05-07 19:22:45,RT @AndersFoghR: #NATO sent #Russia unmistakable message: your behaviour doesn’t belong in 21st century &amp; your rhetoric draws on outdated c…
463718109820776448,2014-05-06 16:33:07,"RT @David_Cameron: A sign our #LongTermEconomicPlan is working, meaning security #ForHardworkingPeople - OECD revises up our growth forecas…"
463595394749198337,2014-05-06 08:25:29,RT @StemLAURITZEN: Svaret er JA #dkpol #kjeldiEU http://t.co/4jMjq8ILbq
462551295434715138,2014-05-03 11:16:37,"Startede plakatophængningen kl. 00:00. Kl. 00:42 observeres det første hærværk mod #svejgaard14 - Det starter hurtigt denne gang, desværre!"
459298071843991552,2014-04-24 11:49:28,#Ukraine  http://t.co/UGZzqQSMrK
459090273206022144,2014-04-23 22:03:45,RT @Jesperfr: #Esbjerg har ikke landsbyer mener Carsten Hansen. LAG-midlerne fordufter. Tåbeligt. Vi har brug for en ny minister. #tvsyd #j…
458950353225269248,2014-04-23 12:47:45,Er også selv uenig i meget af HTS' politik. Men det er ingen undskyldning for at sabotere talen. Barnligt og pinligt! http://t.co/NoLYPOBaLw
455783694155137024,2014-04-14 19:04:35,RT @EsbjergfB: Kampen slutter 1-0 til EfB! #FCNEfB #liveefb
455412707819524096,2014-04-13 18:30:25,"28,3% er da OK. http://t.co/xG9UJHfBEv"
453457891828051968,2014-04-08 09:02:40,En af årets hidtil dummeste artikler. Information fatter intet af ligestilling.  http://t.co/HkvtvLerg3
453126035207622657,2014-04-07 11:04:00,Ny og anderledes ramme for indsatsen over for unge med behov for uddannelsesvejledning i Esbjerg! http://t.co/Sttc2o5F0s
453079953308139520,2014-04-07 08:00:53,"Dansk Erhverv: ""Virkeligheden er, at den høje afgift betyder, at vi går glip af turister og nye job i detailhandlen"" http://t.co/TYh4wAjw0v"
451679306138525696,2014-04-03 11:15:13,Skattestigninger i bunden - Regeringen viser sit sande ansigt. #dkpol http://t.co/F0yTV7YoHW
451420458668535808,2014-04-02 18:06:39,"http://t.co/JLTTGK6k4E Arh, Helle. Så ringe kan din hukommelse vel ikke være? #dkpol"
450545300776947712,2014-03-31 08:09:05,"@naturloven Både forkert og irrelevant. Den arbejdsløse faglærte er mere optaget af at få et job, end af en ideologisk krig mod iværksættere"
450541848889937920,2014-03-31 07:55:22,"@naturloven Så det er at ""nasse"" at beholde frugten af eget arbejde? Spreder man den attitude ville ingen turde starte egen virksomhed. :-)"
450539556207886336,2014-03-31 07:46:15,@naturloven Den påstand tror jeg ikke du finder mange der er enige med dig i.
450537916495036416,2014-03-31 07:39:44,Klar besked fra erhvervslivet - Der skal flere skattelettelser til! #dkpol http://t.co/36pYCDLU3u
449146274328379392,2014-03-27 11:29:51,"RT @MartinCEPOS: Fattigdomsgrænsens absurditet udstilles: højere beskæftigelsesfradrag giver flere ""fattige"" ifølge denne definition af fat…"
448424534283386881,2014-03-25 11:41:54,"http://t.co/yGYzr0Icla Søtrup forlod KL's bestyrelse - Vi mister vores direkte indflydelse, men samtidigt positivt med større lokalt fokus!"
448213824983007233,2014-03-24 21:44:37,"RT @David_Cameron: There are 450,000 fewer workless households since 2010 - more families with more financial security. Our #LongTermEconom…"
448019647108247552,2014-03-24 08:53:02,http://t.co/cpUzOFZvRy  #nets
447721188539006976,2014-03-23 13:07:04,"Godt nyt om Skibbro-projektet, og for de erhvervsdrivende i Ribe. 150.000,- tilbage! http://t.co/FB0s83ZnRQ"
447428110645207041,2014-03-22 17:42:29,"RT @MortenLond: Flere VU'ere til spisning på hot buns end DSU'ere til demo. Det må være en presset lørdag for Camilla Schwalbe.
#hotbuns #d…"
447333688209326080,2014-03-22 11:27:16,"Mindre velf.tur.snak,Fri bevægelighed er netto en gevinst for DK.Lad os hellere diskutere erhvervsudvikling og færre forbud fra EU! #ep14dk"
447329005646381056,2014-03-22 11:08:40,RT @fatmaoektem: Erdogan har aldrig været en demokrat Det var manden der sagde 'demokrati er et middel ikke et mål' #dkpol #VaagnOpTyekiet
446999833996693504,2014-03-21 13:20:39,#TwitterisblockedinTurkey - Mon HTS stadig vil kæmpe for tyrkisk EU-medlemskab?
446925221510262784,2014-03-21 08:24:10,"KL Topmøde dag2. Dagens tema er urbaniserings og ""Danmark i Forandring"". Tillykke til nyvalgt KL formand Martin Damm (V)!"
446638921993449472,2014-03-20 13:26:31,Til KL Topmøde 2014. Martin Damm (V) bliver ny KL-formand! #dkpol
394193923695865856,2013-10-26 20:08:49,"Plakatopsætning siden 00:01, kun 4 timers søvn i mellem! Tak for hjælpen til alle frivillige der hjalp! #esbjergpol"
391172583703339008,2013-10-18 12:03:06,Kan se at jeg er 100% enig med ham Jens Vind. Han virker som en fornuftig kandidat! https://t.co/fnqxREZwGr
390100661062209536,2013-10-15 13:03:40,Vi et så småt ved at være klar! #esbjergpol http://t.co/Ya4fBK9qhK
388969824644526080,2013-10-12 10:10:07,#landsstyrelsesmøde Hvordan har Christian Djurhuus det i dag?
388323297194041345,2013-10-10 15:21:03,"Finn Sørensen (MF, Enhedslisten) efter Mærsk donerede 1. mia. til den danske folkeskole: ""Vi har åbenbart ikke opkrævet nok i skat.""  #dkpol"
387584146844839936,2013-10-08 14:23:56,DSU vil kun tale om sko. De nægter at forholde sig til at gevinsten ved arbejde kontra kontanthjælp kun er 2000 kr om månedet. #dkpol
387229888648073216,2013-10-07 14:56:14,"Overværer byrådsmøde, 2. Behandling af budget. DF er kede af at skatten ikke stiger. Meget godt, at de øvrige partier er uenige! #esbjergpol"
387163699888521216,2013-10-07 10:33:13,Ekstra Bladet har tilsyneladende ikke andet at skrive om i dag end Lars Løkkes rejseaktiviteter.. Kom nu videre!
386996384101978112,2013-10-06 23:28:22,"Broncos 48 - 48 Cowboys, 2:39 tilbage. Det bliver noget af en afslutning!"
386443441515024384,2013-10-05 10:51:10,Blev desværre syg dagen op til Landsmødet. Heldigvis får man stadig det hele med ved at følge #vlm13
386134054208155648,2013-10-04 14:21:47,"http://t.co/elmBhCI2Zh av, av, av! #dkpol"
385755940437635072,2013-10-03 13:19:17,Ingen af regeringspartiernes ordførere vil forholde sig til at det for mange familier ikke kan betale sig for den ene at tage et job #ftlive
385739219819188224,2013-10-03 12:12:51,@EHMadsen Ikke med den attitude nej
385737373830496257,2013-10-03 12:05:31,I modsætning til Helle nævnte Sofie Carsten Nielsen ikke @EHMadsen på talerstolen. Hun fremhævede i stedet Emilie. #kreativt #ftlive
384993245458989056,2013-10-01 10:48:37,"RT @ConnoOhanlon: Kan du ikke bruge Emil som eksempel, ellers forstår jeg det simpelhent ikke, Helle T?  #dkpol #ftlive"
384991874068402177,2013-10-01 10:43:10,Endelig kommer hun ind på de reelle problemer - Der tales om fiskekvoter! #ftåbning
384990771960483840,2013-10-01 10:38:47,@EHMadsen Jeg gør ihvertfald. Hvad er din holdning @PeterLose ?#FlereSommerhusePåFanø #fanøpol
384990108518068224,2013-10-01 10:36:09,Folkeafstemning 25. maj om fælles europæisk patentsystem. Vi glæder os allerede helt vildt. Kan i sove i nat? #godtlavetHelle #ftlive
384989067093364737,2013-10-01 10:32:01,RT @MortenDahlin: Hell T taler VækstplanDK op. I virkeligheden er det en lille ubetydelig aftale. Hun forstår ikke omfanget af DKs probleme…
384988978572578816,2013-10-01 10:31:39,@EHMadsen Tror jeg. Eller også er hun vild med dig. Har hun ikke et sommerhus på Fanø?
384988059143397376,2013-10-01 10:28:00,"Nu tales der om affaldssortering. Sidder helt ude på kanten af stolen - Nøj, hvor er det en spændende åbningstale. #ftlive #ftåbning #dkpol"
384984635106549760,2013-10-01 10:14:24,Men @EHMadsen er træt af at Helle hele tiden spiller Emil-kortet... #ftlive #dkpol #ftåbning
384983487196823552,2013-10-01 10:09:50,"Fedt lige at spille Storebælt-kortet, Helle #ftlive #dkpol"
384290357535469568,2013-09-29 12:15:35,"8 minutter, og vi er allerede foran. Sydjylland er vores!"
382219399983136768,2013-09-23 19:06:20,3-1! #viliggernr2
381736300992528384,2013-09-22 11:06:41,Ny resolution: Forbyd @SebJust #vuls13
381360963309805568,2013-09-21 10:15:13,159/159 - Hold hold hold #vuls13
381348614523850752,2013-09-21 09:26:09,Hvem taler længst - Forsberg eller Holst? #vuls13
381338345114456064,2013-09-21 08:45:21,Hvem er @SandRasmus? #vuls13
381334359133151232,2013-09-21 08:29:30,Den der har lavet en falsk profil for mig - Stop venligst #vuls13
381328615079968768,2013-09-21 08:06:41,@JensHusted-skammel-joken bliver aldrig gammel. #vuls13
368319205277302784,2013-08-16 10:31:56,Jeg magter. Ikke de Radikales kampagnestrategi.
359235954919219201,2013-07-22 08:58:20,"""Ingen skal skyde os til tavshed."""
354631054499397633,2013-07-09 16:00:06,Sindsyg afslutning! #tourdefrance
354575329123241984,2013-07-09 12:18:40,"Stop nu jer selv, politikere. Facebook er en privat virksomhed. #dkpol http://t.co/8kZ9253aQ3"
354285026977923073,2013-07-08 17:05:07,"Politiken plejer jo ikke ligefrem at have de bedste ledere, men det her er jo fuldstændigt håbløst! #dkpol #venstre  http://t.co/wvzJUOWIoe"
351813057158197252,2013-07-01 21:22:23,RT @TV2Loegny: Breaking. USA dropper aflytning af Udenrigsminister Søvndal efter at 20 NSA-sproggenier har prøvet at oversætte hans engelsk…
351470639871307779,2013-06-30 22:41:45,Stærk redning! #ConfederationsCup
351461712207155203,2013-06-30 22:06:16,Kan ikke være sjovt at holde med Spanien lige nu... #ConfederationsCup
348527523530948609,2013-06-22 19:46:51,http://t.co/HVOMMLPtjW  Let's hope not... #dkpol
348118687242403840,2013-06-21 16:42:17,http://t.co/jVVt1cP5mb Nu må det her feministiske vanvid simpelthen til at stoppe!  #dkpol
346014323015024641,2013-06-15 21:20:17,"http://t.co/3x3vaGroxQ""Mænd med for stort mellemrum mellem knæene optager plads og udtrykker derved deres maskulinitet #KunISverige #håbløst"
345881168102699008,2013-06-15 12:31:11,http://t.co/zq3NXL1erV
344927299755442176,2013-06-12 21:20:51,@williamnordby  Unødvendigt spild af ressourcer. Hun klarer den snildt alene! #denerhjemme #Tv2
344925831459647488,2013-06-12 21:15:01,@williamnordby  1  TV2News - Tyrkiet  0. #denerhjemme
344925333247639553,2013-06-12 21:13:02,"RT @williamnordby: TV2 har sendt deres tunge skyts til Tyrkiet! ""Ulla Therkelsen, Istanbul"" #Tyrkiet #GrandOldLady"
344566007970553856,2013-06-11 21:25:12,Vi slukkede for kampen efter det 3. Armenien-målen. Kan fornemme at det var den helt rigtige beslutning. #landskamp #landsholdet #vmkval
