id,created_at,text
750600683288756224,2016-07-06 08:02:03,"Spændende efterår, hvor vi skal se om DF er røde eller blå...#dkpol
https://t.co/dW8JyTWL8p"
745871807866081280,2016-06-23 06:51:11,"Mange ældre ville gerne bytte med det mad de får leveret fra kommunerne #madspild
https://t.co/vyFyufY9pV"
742970172848365568,2016-06-15 06:41:07,"Katastrofal udvikling. Flertallet af offentlige medarbejders har mundkurv på - afspejler DDR tilstande

https://t.co/SZ9au3t2iu"
742254000448372736,2016-06-13 07:15:18,"Hvem tager ansvar for den manglende ledelse og de mange fejlinvesteringer i IT projekter?

https://t.co/ZKiHOiVaZ7"
741898459100368896,2016-06-12 07:42:31,"Danskerne har kun set begyndelsen, hvis det her cirkus fortsætter

https://t.co/cMjc4NfOjv"
741681493337083904,2016-06-11 17:20:22,"Skolelederen burede have en medalje
https://t.co/OhwKjCrw0V"
741159088143339520,2016-06-10 06:44:31,"Et opgør med konvektioner er nødvendigt !

https://t.co/0YoM4yVd9W"
740815451891093504,2016-06-09 07:59:02,"Indfødsretsprøven er for let, hvis alle består !

https://t.co/QqdRXEXGw1"
740445411282964480,2016-06-08 07:28:37,"Hvordan mon det ser ud i Danmark?
https://t.co/WjZJ1YlHrI"
740074485638955009,2016-06-07 06:54:41,"Ingen skatetstigninger - PSO kan fjernes ved besparelser #tjekfinanslloven 

https://t.co/e9KcjYNWsx"
734734085382373376,2016-05-23 13:13:51,Sammen med Pernille Vermund og Peter Seier Christensen https://t.co/l1u5qttSXl
734733599531016192,2016-05-23 13:11:55,"Jeg har i dag meddelt ledelsen i LA og min lokalforening, at jeg har meldt mig ind i Nye Borgerlige. https://t.co/X4VjJRtHf0"
610884414931902464,2015-06-16 18:59:28,"Det er abstrakt hvad vi kan gøre for erhvervslivet siger Uffe?
#dinstenme #ftv15 #dkpol"
610881770263834624,2015-06-16 18:48:58,"kan vi ikke få fremlagt Radikales vækstplan?

#dinstenme  #ftv15 #dkvalg"
610871950068580354,2015-06-16 18:09:57,Hvad med lavere skat HTS?.
607622184232714240,2015-06-07 18:56:32,"Du taler jo Danmarks økonomi op HTS
#drpol #dkvalg #DRdinstemme"
607621688268865536,2015-06-07 18:54:34,"Hvad betyder råderum HTS?
Taler vi om lånte penge?
#fv15 #DRdinstemme #drvalg #drpol"
607621091788529664,2015-06-07 18:52:11,"@Yurict hvem skal betale?
Er vi ikke ved at få munden for fuld?"
607620692385898497,2015-06-07 18:50:36,"Det lyder som om det er godt med ventelister HTS.
Målet må være hurtigt behandling?
#valg2015 #drvalg #DRdinstemme"
607619023547863040,2015-06-07 18:43:58,Hvorfor er der blevet færre varme hænder under din vagt HTS? #valg2015 #DRdinstemme #drpol
607617438075789312,2015-06-07 18:37:40,tal du om din dagsorden HTS. Du behøver ikke markedsføre andre partier. Det klarer vi selv. #drpol #drvalg #valg2015 #DRdindstemme
